post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"3208160","How to generate an HMAC in Java equivalent to a Python example?","<p>I'm looking at implementing an app getting <a href=""http://apiwiki.twitter.com/Authentication"" rel=""noreferrer"">Twitter authorization via Oauth</a> in Java. The first step is <a href=""http://apiwiki.twitter.com/Twitter-REST-API-Method%3A-oauth-request_token"" rel=""noreferrer"">getting a request token</a>. Here is a <a href=""http://github.com/tav/tweetapp/blob/master/standalone/twitter_oauth_handler.py"" rel=""noreferrer"">Python example</a> for app engine. </p>

<p>To test my code, I am running Python and checking output with Java. Here is an example of Python generating a Hash-Based Message Authentication Code (HMAC):</p>

<pre><code>#!/usr/bin/python

from hashlib import sha1
from hmac import new as hmac

key = ""qnscAdgRlkIhAUPY44oiexBKtQbGY0orf7OV1I50""
message = ""foo""

print ""%s"" % hmac(key, message, sha1).digest().encode('base64')[:-1]
</code></pre>

<p>Output:</p>

<pre><code>$ ./foo.py
+3h2gpjf4xcynjCGU5lbdMBwGOc=
</code></pre>

<p>How does one replicate this example in Java?</p>

<p>I've seen an <a href=""http://exampledepot.8waytrips.com/egs/javax.crypto/GenMac.html"" rel=""noreferrer"">example of HMAC</a> in Java:</p>

<pre><code>try {
    // Generate a key for the HMAC-MD5 keyed-hashing algorithm; see RFC 2104
    // In practice, you would save this key.
    KeyGenerator keyGen = KeyGenerator.getInstance(""HmacMD5"");
    SecretKey key = keyGen.generateKey();

    // Create a MAC object using HMAC-MD5 and initialize with key
    Mac mac = Mac.getInstance(key.getAlgorithm());
    mac.init(key);

    String str = ""This message will be digested"";

    // Encode the string into bytes using utf-8 and digest it
    byte[] utf8 = str.getBytes(""UTF8"");
    byte[] digest = mac.doFinal(utf8);

    // If desired, convert the digest into a string
    String digestB64 = new sun.misc.BASE64Encoder().encode(digest);
} catch (InvalidKeyException e) {
} catch (NoSuchAlgorithmException e) {
} catch (UnsupportedEncodingException e) {
}
</code></pre>

<p>It uses <a href=""http://download.oracle.com/docs/cd/E17409_01/javase/6/docs/api/javax/crypto/Mac.html"" rel=""noreferrer"">javax.crypto.Mac</a>, all good. However, the <a href=""http://download.oracle.com/docs/cd/E17409_01/javase/6/docs/api/javax/crypto/SecretKey.html"" rel=""noreferrer"">SecretKey</a> constructors take bytes and an algorithm. </p>

<p>What's the algorithm in the Python example? How can one create a Java secret key without an algorithm?</p>
","<p>HmacSHA1 seems to be the algorithm name you need:</p>

<pre><code>SecretKeySpec keySpec = new SecretKeySpec(
        ""qnscAdgRlkIhAUPY44oiexBKtQbGY0orf7OV1I50"".getBytes(),
        ""HmacSHA1"");

Mac mac = Mac.getInstance(""HmacSHA1"");
mac.init(keySpec);
byte[] result = mac.doFinal(""foo"".getBytes());

BASE64Encoder encoder = new BASE64Encoder();
System.out.println(encoder.encode(result));
</code></pre>

<p>produces:</p>

<pre><code>+3h2gpjf4xcynjCGU5lbdMBwGOc=
</code></pre>

<p>Note that I've used <code>sun.misc.BASE64Encoder</code> for a quick implementation here, but you should probably use something that doesn't depend on the Sun JRE. <a href=""http://commons.apache.org/codec/apidocs/org/apache/commons/codec/binary/Base64.html"" rel=""noreferrer"">The base64-encoder in Commons Codec</a> would be a better choice, for example.</p>
","51938","<java><oauth><sha1><hmac><cryptoapi>","50","68","2","2015-11-12 08:45:51","3208472","0","19","5299236","","2015-11-12 08:45:51","2010-07-08 21:31:20",""
"3208160","How to generate an HMAC in Java equivalent to a Python example?","<p>I'm looking at implementing an app getting <a href=""http://apiwiki.twitter.com/Authentication"" rel=""noreferrer"">Twitter authorization via Oauth</a> in Java. The first step is <a href=""http://apiwiki.twitter.com/Twitter-REST-API-Method%3A-oauth-request_token"" rel=""noreferrer"">getting a request token</a>. Here is a <a href=""http://github.com/tav/tweetapp/blob/master/standalone/twitter_oauth_handler.py"" rel=""noreferrer"">Python example</a> for app engine. </p>

<p>To test my code, I am running Python and checking output with Java. Here is an example of Python generating a Hash-Based Message Authentication Code (HMAC):</p>

<pre><code>#!/usr/bin/python

from hashlib import sha1
from hmac import new as hmac

key = ""qnscAdgRlkIhAUPY44oiexBKtQbGY0orf7OV1I50""
message = ""foo""

print ""%s"" % hmac(key, message, sha1).digest().encode('base64')[:-1]
</code></pre>

<p>Output:</p>

<pre><code>$ ./foo.py
+3h2gpjf4xcynjCGU5lbdMBwGOc=
</code></pre>

<p>How does one replicate this example in Java?</p>

<p>I've seen an <a href=""http://exampledepot.8waytrips.com/egs/javax.crypto/GenMac.html"" rel=""noreferrer"">example of HMAC</a> in Java:</p>

<pre><code>try {
    // Generate a key for the HMAC-MD5 keyed-hashing algorithm; see RFC 2104
    // In practice, you would save this key.
    KeyGenerator keyGen = KeyGenerator.getInstance(""HmacMD5"");
    SecretKey key = keyGen.generateKey();

    // Create a MAC object using HMAC-MD5 and initialize with key
    Mac mac = Mac.getInstance(key.getAlgorithm());
    mac.init(key);

    String str = ""This message will be digested"";

    // Encode the string into bytes using utf-8 and digest it
    byte[] utf8 = str.getBytes(""UTF8"");
    byte[] digest = mac.doFinal(utf8);

    // If desired, convert the digest into a string
    String digestB64 = new sun.misc.BASE64Encoder().encode(digest);
} catch (InvalidKeyException e) {
} catch (NoSuchAlgorithmException e) {
} catch (UnsupportedEncodingException e) {
}
</code></pre>

<p>It uses <a href=""http://download.oracle.com/docs/cd/E17409_01/javase/6/docs/api/javax/crypto/Mac.html"" rel=""noreferrer"">javax.crypto.Mac</a>, all good. However, the <a href=""http://download.oracle.com/docs/cd/E17409_01/javase/6/docs/api/javax/crypto/SecretKey.html"" rel=""noreferrer"">SecretKey</a> constructors take bytes and an algorithm. </p>

<p>What's the algorithm in the Python example? How can one create a Java secret key without an algorithm?</p>
","<p>A minor thing but if you are looking for an equivalent to hmac(key,message) then by default the python library will use the MD5 algorithm, so you need to use the HmacMD5 algorithm in Java.</p>

<p>I mention this because I had this exact problem and found this answer which was helpful, but I missed the part where a digest method was passed in to hmac() and thus went down a rabbit hole. Hopefully this answer will prevent others doing the same in the future.</p>

<p>e.g. in Python REPL</p>

<pre><code>&gt;&gt;&gt; import hmac
&gt;&gt;&gt; hmac.new(""keyValueGoesHere"", ""secretMessageToHash"").hexdigest()
'1a7bb3687962c9e26b2d4c2b833b2bf2'
</code></pre>

<p>This is equivalent to the Java method:</p>

<pre><code>import org.apache.commons.codec.binary.Hex;
import javax.crypto.Mac;
import javax.crypto.spec.SecretKeySpec;

public class HashingUtility {
    public static String HMAC_MD5_encode(String key, String message) throws Exception {

        SecretKeySpec keySpec = new SecretKeySpec(
                key.getBytes(),
                ""HmacMD5"");

        Mac mac = Mac.getInstance(""HmacMD5"");
        mac.init(keySpec);
        byte[] rawHmac = mac.doFinal(message.getBytes());

        return Hex.encodeHexString(rawHmac);
    }
}
</code></pre>

<p>Note that in my example I'm doing the equivalent of .hexdigest()</p>
","51938","<java><oauth><sha1><hmac><cryptoapi>","50","21","2","2015-11-12 08:45:51","3208472","0","19","5299236","","2015-11-12 08:45:51","2010-07-08 21:31:20",""
"4796590","Window C/C++ Crypto API Examples and tips","<p>I'm asking this question because I've spent the best part of a day trawling through msdn docs and other opaque sources for simple straightforward guidelines on how to get started with the Windows C/C++ Crypto API.</p>

<p>What I'd like to see is some example code, typical include paths, linking guidelines, etc, anything useful really. I know this is an imprecise question but I reckon imprecise answers are better none at all.</p>

<p>I'll get the ball rolling with my own meager findings...</p>
","<p>The msdn docs are here: <a href=""http://msdn.microsoft.com/en-us/library/aa380252.aspx"">http://msdn.microsoft.com/en-us/library/aa380252.aspx</a></p>

<p>This is the main include file: <code>#include &lt;wincrypt.h&gt;</code></p>

<p>The cryptography bits are included as part of the <a href=""http://msdn.microsoft.com/en-us/windows/bb980924"">Windows SDK</a>, which is typically installed in <code>%PROGRAMFILES(x86)%\Microsoft SDKs\Windows\SDKVERSION</code> (e.g., <code>C:\Program Files\Microsoft SDKs\Windows\v6.0A</code>). The headers are typically in <code>%WINDOWSSDK%\Include</code>, and the related libraries are in <code>%WINDOWSSDK%\Lib</code>.</p>

<p>You must link to the cryptography libraries explicitly. Assuming you're in Visual Studio, you can add the reference by right clicking on the C++ project, choosing properties, and selecting Configuration Properties -> Linker on the treeview at left. You can then specify <code>crypt32.lib</code> in the input field on the right.</p>

<p>Alternately, (assuming you're using msvc++) add </p>

<pre><code>#pragma comment(lib, ""crypt32.lib"")
</code></pre>

<p>to your source.</p>
","41431","<c++><c><windows><cryptoapi><mscapi>","24","13","3","2019-04-14 17:06:48","4807830","3","19","608639","","2015-06-09 02:46:33","2011-01-25 17:07:10",""
"4796590","Window C/C++ Crypto API Examples and tips","<p>I'm asking this question because I've spent the best part of a day trawling through msdn docs and other opaque sources for simple straightforward guidelines on how to get started with the Windows C/C++ Crypto API.</p>

<p>What I'd like to see is some example code, typical include paths, linking guidelines, etc, anything useful really. I know this is an imprecise question but I reckon imprecise answers are better none at all.</p>

<p>I'll get the ball rolling with my own meager findings...</p>
","<p>Here's a bunch of examples I've found....</p>

<ul>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382363%28v=vs.85%29.aspx"" rel=""nofollow noreferrer"">Example C Program: Listing the Certificates in a Store</a></li>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382375%28v=vs.85%29.aspx"" rel=""nofollow noreferrer"">Example C Program: Using CryptAcquireContext</a></li>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382359%28v=VS.85%29.aspx"" rel=""nofollow noreferrer"">Example C Program: Enumerating CSP Providers and Provider Types</a></li>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382035%28v=vs.85%29.aspx"" rel=""nofollow noreferrer"">Example C Code for Opening Certificate Stores</a></li>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382367%28v=vs.85%29.aspx"" rel=""nofollow noreferrer"">Example C Program: Sending and Receiving a Signed and Encrypted Message</a></li>
<li><a href=""http://msdn.microsoft.com/en-us/library/aa382371%28v=vs.85%29.aspx"" rel=""nofollow noreferrer"">Example C Program: Signing a Hash and Verifying the Hash Signature</a></li>
</ul>

<p>MSDN has these examples scattered around the <a href=""http://msdn.microsoft.com/en-us/library/aa380252.aspx"" rel=""nofollow noreferrer"">docs</a></p>

<p>This <a href=""http://web.archive.org/web/20170212022801/https://etutorials.org/Programming/secure+programming/"" rel=""nofollow noreferrer"">website</a> provides a good overview of the concepts along with cross-platform examples</p>
","41431","<c++><c><windows><cryptoapi><mscapi>","24","26","3","2019-04-14 17:06:48","4807830","3","19","608639","","2015-06-09 02:46:33","2011-01-25 17:07:10",""
"4796590","Window C/C++ Crypto API Examples and tips","<p>I'm asking this question because I've spent the best part of a day trawling through msdn docs and other opaque sources for simple straightforward guidelines on how to get started with the Windows C/C++ Crypto API.</p>

<p>What I'd like to see is some example code, typical include paths, linking guidelines, etc, anything useful really. I know this is an imprecise question but I reckon imprecise answers are better none at all.</p>

<p>I'll get the ball rolling with my own meager findings...</p>
","<p>There is also a lengthy example <strong>""<a href=""http://www.codeproject.com/Articles/11578/Encryption-using-the-Win32-Crypto-API"" rel=""noreferrer"">Encryption using the Win32 Crypto API</a>""</strong> over at the Code Project.</p>
","41431","<c++><c><windows><cryptoapi><mscapi>","24","6","3","2019-04-14 17:06:48","4807830","3","19","608639","","2015-06-09 02:46:33","2011-01-25 17:07:10",""
"3869028","how to use CryptoAPI in the linux kernel 2.6","<p>I have been looking for some time but have not found anywhere near sufficient documentation / examples on how to use the CryptoAPI that comes with linux in the creation of syscalls / in kernel land.</p>

<p>If anyone knows of a good source please let me know, I would like to know how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
","<p>The best place to start is Documentation/crytpo in the kernel sources. dm-crypt is one of the many components that probably uses the kernel crypto API and you can refer to it to get an idea about usage.</p>
","18585","<linux-kernel><kernel><kernel-module><cryptoapi>","10","1","7","2017-04-17 09:40:43","3876665","0","7","","","","2010-10-06 01:58:48",""
"3869028","how to use CryptoAPI in the linux kernel 2.6","<p>I have been looking for some time but have not found anywhere near sufficient documentation / examples on how to use the CryptoAPI that comes with linux in the creation of syscalls / in kernel land.</p>

<p>If anyone knows of a good source please let me know, I would like to know how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
","<p>There are a couple of places in the kernel which use the crypto module: the eCryptfs file system (linux/fs/ecryptfs/) and the 802.11 wireless stack (linux/drivers/staging/rtl8187se/ieee80211/). Both of these use AES, but you may be able to extrapolate what you find there to MD5.</p>
","18585","<linux-kernel><kernel><kernel-module><cryptoapi>","10","6","7","2017-04-17 09:40:43","3876665","0","7","","","","2010-10-06 01:58:48",""
"3869028","how to use CryptoAPI in the linux kernel 2.6","<p>I have been looking for some time but have not found anywhere near sufficient documentation / examples on how to use the CryptoAPI that comes with linux in the creation of syscalls / in kernel land.</p>

<p>If anyone knows of a good source please let me know, I would like to know how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
","<blockquote>
  <p>how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
</blockquote>

<p>Example of hashing data using a two-element scatterlist:</p>

<pre>struct crypto_hash *tfm = crypto_alloc_hash(""sha1"", 0, CRYPTO_ALG_ASYNC);
if (tfm == NULL)
    fail;
char *output_buf = kmalloc(crypto_hash_digestsize(tfm), GFP_KERNEL);
if (output_buf == NULL)
    fail;
struct scatterlist sg[2];
struct hash_desc desc = {.tfm = tfm};
ret = crypto_hash_init(&desc);
if (ret != 0)
    fail;
sg_init_table(sg, ARRAY_SIZE(sg));
sg_set_buf(&sg[0], ""Hello"", 5);
sg_set_buf(&sg[1], "" World"", 6);
ret = crypto_hash_digest(&desc, sg, 11, output_buf);
if (ret != 0)
    fail;</pre>
","18585","<linux-kernel><kernel><kernel-module><cryptoapi>","10","1","7","2017-04-17 09:40:43","3876665","0","7","","","","2010-10-06 01:58:48",""
"3869028","how to use CryptoAPI in the linux kernel 2.6","<p>I have been looking for some time but have not found anywhere near sufficient documentation / examples on how to use the CryptoAPI that comes with linux in the creation of syscalls / in kernel land.</p>

<p>If anyone knows of a good source please let me know, I would like to know how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
","<p>Another good example is from the 2.6.18 kernel source in security/seclvl.c</p>

<p>Note: You can change CRYPTO_TFM_REQ_MAY_SLEEP if needed</p>

<pre><code>static int
plaintext_to_sha1(unsigned char *hash, const char *plaintext, unsigned int len)
{
  struct crypto_tfm *tfm;
  struct scatterlist sg;
  if (len &gt; PAGE_SIZE) {
    seclvl_printk(0, KERN_ERR, ""Plaintext password too large (%d ""
            ""characters).  Largest possible is %lu ""
            ""bytes.\n"", len, PAGE_SIZE);
    return -EINVAL;
  }
  tfm = crypto_alloc_tfm(""sha1"", CRYPTO_TFM_REQ_MAY_SLEEP);
  if (tfm == NULL) {
    seclvl_printk(0, KERN_ERR,
            ""Failed to load transform for SHA1\n"");
    return -EINVAL;
  }
  sg_init_one(&amp;sg, (u8 *)plaintext, len);
  crypto_digest_init(tfm);
  crypto_digest_update(tfm, &amp;sg, 1);
  crypto_digest_final(tfm, hash);
  crypto_free_tfm(tfm);
  return 0;
}
</code></pre>
","18585","<linux-kernel><kernel><kernel-module><cryptoapi>","10","6","7","2017-04-17 09:40:43","3876665","0","7","","","","2010-10-06 01:58:48",""
"3869028","how to use CryptoAPI in the linux kernel 2.6","<p>I have been looking for some time but have not found anywhere near sufficient documentation / examples on how to use the CryptoAPI that comes with linux in the creation of syscalls / in kernel land.</p>

<p>If anyone knows of a good source please let me know, I would like to know how to do SHA1 / MD5 and Blowfish / AES within the kernel space only.</p>
","<pre><code>#include &lt;linux/kernel.h&gt;
#include &lt;linux/init.h&gt;
#include &lt;linux/module.h&gt;
#include &lt;linux/crypto.h&gt;
#include &lt;linux/err.h&gt;
#include &lt;linux/scatterlist.h&gt;

#define SHA1_LENGTH     20

static int __init sha1_init(void)
{
    struct scatterlist sg;
    struct crypto_hash *tfm;
    struct hash_desc desc;
    unsigned char output[SHA1_LENGTH];
    unsigned char buf[10];
    int i;

    printk(KERN_INFO ""sha1: %s\n"", __FUNCTION__);

    memset(buf, 'A', 10);
    memset(output, 0x00, SHA1_LENGTH);

    tfm = crypto_alloc_hash(""sha1"", 0, CRYPTO_ALG_ASYNC);

    desc.tfm = tfm;
    desc.flags = 0;

    sg_init_one(&amp;sg, buf, 10);
    crypto_hash_init(&amp;desc);

    crypto_hash_update(&amp;desc, &amp;sg, 10);
    crypto_hash_final(&amp;desc, output);

    for (i = 0; i &lt; 20; i++) {
        printk(KERN_ERR ""%d-%d\n"", output[i], i);
    }

    crypto_free_hash(tfm);

    return 0;
}

static void __exit sha1_exit(void)
{
    printk(KERN_INFO ""sha1: %s\n"", __FUNCTION__);
}

module_init(sha1_init);
module_exit(sha1_exit);

MODULE_LICENSE(""Dual MIT/GPL"");
MODULE_AUTHOR(""Me"");
</code></pre>
","18585","<linux-kernel><kernel><kernel-module><cryptoapi>","10","11","7","2017-04-17 09:40:43","3876665","0","7","","","","2010-10-06 01:58:48",""
