post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>BCrypt is a very good library, and there is a <a href=""http://www.mindrot.org/projects/jBCrypt/"" rel=""noreferrer"">Java port</a> of it.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","27","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>You can comput hashes using <a href=""http://java.sun.com/javase/6/docs/api/java/security/MessageDigest.html"" rel=""nofollow noreferrer""><code>MessageDigest</code></a>, but this is wrong in terms of security. Hashes are not to be used for storing passwords, as they are easily breakable. </p>

<p>You should use another algorithm like bcrypt, PBKDF2 and scrypt to store you passwords. <a href=""http://techblog.bozho.net/bcrypt-salt-its-the-bare-minimum/"" rel=""nofollow noreferrer"">See here</a>.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","8","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>Here you have two links for MD5 hashing and other hash methods:</p>

<p>Javadoc API: <a href=""http://java.sun.com/j2se/1.4.2/docs/api/java/security/MessageDigest.html"" rel=""nofollow noreferrer"">http://java.sun.com/j2se/1.4.2/docs/api/java/security/MessageDigest.html</a></p>

<p>Tutorial: <a href=""http://www.twmacinta.com/myjava/fast_md5.php"" rel=""nofollow noreferrer"">http://www.twmacinta.com/myjava/fast_md5.php</a></p>
","142171","<java><passwords><cryptographic-hash-function>","168","2","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>Among all the standard hash schemes, LDAP ssha is the most secure one to use,</p>

<p><a href=""http://www.openldap.org/faq/data/cache/347.html"" rel=""nofollow noreferrer"">http://www.openldap.org/faq/data/cache/347.html</a></p>

<p>I would just follow the algorithms specified there and use MessageDigest to do the hash.</p>

<p>You need to store the salt in your database as you suggested.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","1","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>You can actually use a facility built in to the Java runtime to do this. The SunJCE in Java 6 supports PBKDF2, which is a good algorithm to use for password hashing.</p>

<pre><code>byte[] salt = new byte[16];
random.nextBytes(salt);
KeySpec spec = new PBEKeySpec(""password"".toCharArray(), salt, 65536, 128);
SecretKeyFactory f = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");
byte[] hash = f.generateSecret(spec).getEncoded();
Base64.Encoder enc = Base64.getEncoder();
System.out.printf(""salt: %s%n"", enc.encodeToString(salt));
System.out.printf(""hash: %s%n"", enc.encodeToString(hash));
</code></pre>

<p>Here's a utility class that you can use for PBKDF2 password authentication:</p>

<pre><code>import java.security.NoSuchAlgorithmException;
import java.security.SecureRandom;
import java.security.spec.InvalidKeySpecException;
import java.security.spec.KeySpec;
import java.util.Arrays;
import java.util.Base64;
import java.util.regex.Matcher;
import java.util.regex.Pattern;

import javax.crypto.SecretKeyFactory;
import javax.crypto.spec.PBEKeySpec;

/**
 * Hash passwords for storage, and test passwords against password tokens.
 * 
 * Instances of this class can be used concurrently by multiple threads.
 *  
 * @author erickson
 * @see &lt;a href=""http://stackoverflow.com/a/2861125/3474""&gt;StackOverflow&lt;/a&gt;
 */
public final class PasswordAuthentication
{

  /**
   * Each token produced by this class uses this identifier as a prefix.
   */
  public static final String ID = ""$31$"";

  /**
   * The minimum recommended cost, used by default
   */
  public static final int DEFAULT_COST = 16;

  private static final String ALGORITHM = ""PBKDF2WithHmacSHA1"";

  private static final int SIZE = 128;

  private static final Pattern layout = Pattern.compile(""\\$31\\$(\\d\\d?)\\$(.{43})"");

  private final SecureRandom random;

  private final int cost;

  public PasswordAuthentication()
  {
    this(DEFAULT_COST);
  }

  /**
   * Create a password manager with a specified cost
   * 
   * @param cost the exponential computational cost of hashing a password, 0 to 30
   */
  public PasswordAuthentication(int cost)
  {
    iterations(cost); /* Validate cost */
    this.cost = cost;
    this.random = new SecureRandom();
  }

  private static int iterations(int cost)
  {
    if ((cost &lt; 0) || (cost &gt; 30))
      throw new IllegalArgumentException(""cost: "" + cost);
    return 1 &lt;&lt; cost;
  }

  /**
   * Hash a password for storage.
   * 
   * @return a secure authentication token to be stored for later authentication 
   */
  public String hash(char[] password)
  {
    byte[] salt = new byte[SIZE / 8];
    random.nextBytes(salt);
    byte[] dk = pbkdf2(password, salt, 1 &lt;&lt; cost);
    byte[] hash = new byte[salt.length + dk.length];
    System.arraycopy(salt, 0, hash, 0, salt.length);
    System.arraycopy(dk, 0, hash, salt.length, dk.length);
    Base64.Encoder enc = Base64.getUrlEncoder().withoutPadding();
    return ID + cost + '$' + enc.encodeToString(hash);
  }

  /**
   * Authenticate with a password and a stored password token.
   * 
   * @return true if the password and token match
   */
  public boolean authenticate(char[] password, String token)
  {
    Matcher m = layout.matcher(token);
    if (!m.matches())
      throw new IllegalArgumentException(""Invalid token format"");
    int iterations = iterations(Integer.parseInt(m.group(1)));
    byte[] hash = Base64.getUrlDecoder().decode(m.group(2));
    byte[] salt = Arrays.copyOfRange(hash, 0, SIZE / 8);
    byte[] check = pbkdf2(password, salt, iterations);
    int zero = 0;
    for (int idx = 0; idx &lt; check.length; ++idx)
      zero |= hash[salt.length + idx] ^ check[idx];
    return zero == 0;
  }

  private static byte[] pbkdf2(char[] password, byte[] salt, int iterations)
  {
    KeySpec spec = new PBEKeySpec(password, salt, iterations, SIZE);
    try {
      SecretKeyFactory f = SecretKeyFactory.getInstance(ALGORITHM);
      return f.generateSecret(spec).getEncoded();
    }
    catch (NoSuchAlgorithmException ex) {
      throw new IllegalStateException(""Missing algorithm: "" + ALGORITHM, ex);
    }
    catch (InvalidKeySpecException ex) {
      throw new IllegalStateException(""Invalid SecretKeyFactory"", ex);
    }
  }

  /**
   * Hash a password in an immutable {@code String}. 
   * 
   * &lt;p&gt;Passwords should be stored in a {@code char[]} so that it can be filled 
   * with zeros after use instead of lingering on the heap and elsewhere.
   * 
   * @deprecated Use {@link #hash(char[])} instead
   */
  @Deprecated
  public String hash(String password)
  {
    return hash(password.toCharArray());
  }

  /**
   * Authenticate with a password in an immutable {@code String} and a stored 
   * password token. 
   * 
   * @deprecated Use {@link #authenticate(char[],String)} instead.
   * @see #hash(String)
   */
  @Deprecated
  public boolean authenticate(String password, String token)
  {
    return authenticate(password.toCharArray(), token);
  }

}
</code></pre>
","142171","<java><passwords><cryptographic-hash-function>","168","148","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>You can use the <a href=""https://cwiki.apache.org/confluence/display/SHIRO/Index"" rel=""noreferrer"" title=""Shiro"">Shiro</a> library's (formerly <a href=""http://www.jsecurity.org/"" rel=""noreferrer"" title=""JSecurity"">JSecurity</a>) <a href=""http://www.jsecurity.org/api/org/jsecurity/crypto/hash/package-summary.html"" rel=""noreferrer"" title=""JSecurity Hashing Utilities"">implementation</a> of what is described by <a href=""http://www.owasp.org/index.php/Hashing_Java"" rel=""noreferrer"" title=""OWASP"">OWASP</a>. </p>

<p>It also looks like the JASYPT library has a <a href=""http://www.jasypt.org/api/jasypt/apidocs/org/jasypt/digest/StandardStringDigester.html"" rel=""noreferrer"" title=""JASYPT Hashing"">similar utility</a>.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","6","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>Fully agree with Erickson that <strong>PBKDF2</strong> is the answer.</p>

<p>If you don't have that option, or only need to use a hash, Apache Commons DigestUtils is much easier than getting JCE code right:
<a href=""https://commons.apache.org/proper/commons-codec/apidocs/org/apache/commons/codec/digest/DigestUtils.html"" rel=""nofollow"">https://commons.apache.org/proper/commons-codec/apidocs/org/apache/commons/codec/digest/DigestUtils.html</a></p>

<p>If you use a hash, go with sha256 or sha512. This page has good recommendations on password handling and hashing (note it doesn't recommend hashing for password handling):
<a href=""http://www.daemonology.net/blog/2009-06-11-cryptographic-right-answers.html"" rel=""nofollow"">http://www.daemonology.net/blog/2009-06-11-cryptographic-right-answers.html</a></p>
","142171","<java><passwords><cryptographic-hash-function>","168","6","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>Here is a <strong>complete implementation</strong> with two methods doing exactly what you want:</p>

<pre><code>String getSaltedHash(String password)
boolean checkPassword(String password, String stored)
</code></pre>

<p>The point is that even if an attacker gets access to both your database and source code, the passwords are still safe.</p>

<pre><code>import javax.crypto.SecretKey;
import javax.crypto.SecretKeyFactory;
import javax.crypto.spec.PBEKeySpec;
import java.security.SecureRandom;
import org.apache.commons.codec.binary.Base64;

public class Password {
    // The higher the number of iterations the more 
    // expensive computing the hash is for us and
    // also for an attacker.
    private static final int iterations = 20*1000;
    private static final int saltLen = 32;
    private static final int desiredKeyLen = 256;

    /** Computes a salted PBKDF2 hash of given plaintext password
        suitable for storing in a database. 
        Empty passwords are not supported. */
    public static String getSaltedHash(String password) throws Exception {
        byte[] salt = SecureRandom.getInstance(""SHA1PRNG"").generateSeed(saltLen);
        // store the salt with the password
        return Base64.encodeBase64String(salt) + ""$"" + hash(password, salt);
    }

    /** Checks whether given plaintext password corresponds 
        to a stored salted hash of the password. */
    public static boolean check(String password, String stored) throws Exception{
        String[] saltAndHash = stored.split(""\\$"");
        if (saltAndHash.length != 2) {
            throw new IllegalStateException(
                ""The stored password must have the form 'salt$hash'"");
        }
        String hashOfInput = hash(password, Base64.decodeBase64(saltAndHash[0]));
        return hashOfInput.equals(saltAndHash[1]);
    }

    // using PBKDF2 from Sun, an alternative is https://github.com/wg/scrypt
    // cf. http://www.unlimitednovelty.com/2012/03/dont-use-bcrypt.html
    private static String hash(String password, byte[] salt) throws Exception {
        if (password == null || password.length() == 0)
            throw new IllegalArgumentException(""Empty passwords are not supported."");
        SecretKeyFactory f = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");
        SecretKey key = f.generateSecret(new PBEKeySpec(
            password.toCharArray(), salt, iterations, desiredKeyLen));
        return Base64.encodeBase64String(key.getEncoded());
    }
}
</code></pre>

<p>We are storing <code>'salt$iterated_hash(password, salt)'</code>. The salt are 32 random bytes and it's purpose is that if two different people choose the same password, the stored passwords will still look different.</p>

<p>The <code>iterated_hash</code>, which is basically <code>hash(hash(hash(... hash(password, salt) ...)))</code> makes it very expensive for a potential attacker who has access to your database to guess passwords, hash them, and look up hashes in the database. You have to compute this <code>iterated_hash</code> every time a user logs in, but it doesn't cost you that much compared to the attacker who spends nearly 100% of their time computing hashes.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","92","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>In addition to bcrypt and PBKDF2 mentioned in other answers, I would recommend looking at <a href=""http://www.tarsnap.com/scrypt.html"" rel=""nofollow noreferrer"">scrypt</a> </p>

<p>MD5 and SHA-1 are not recommended as they are relatively fast thus using ""rent per hour"" distributed computing (e.g. EC2) or a modern high end GPU one can ""crack"" passwords using brute force / dictionary attacks in relatively low costs and reasonable time.</p>

<p>If you must use them, then at least iterate the algorithm a predefined significant amount of times (1000+).</p>

<ul>
<li><p>See here for more: <a href=""https://security.stackexchange.com/questions/211/how-to-securely-hash-passwords"">https://security.stackexchange.com/questions/211/how-to-securely-hash-passwords</a></p></li>
<li><p>And here: <a href=""http://codahale.com/how-to-safely-store-a-password/"" rel=""nofollow noreferrer"">http://codahale.com/how-to-safely-store-a-password/</a> (criticizes SHA family, MD5 etc for password hashing purposes)</p></li>
<li>And here: <a href=""http://www.unlimitednovelty.com/2012/03/dont-use-bcrypt.html"" rel=""nofollow noreferrer"">http://www.unlimitednovelty.com/2012/03/dont-use-bcrypt.html</a> (criticizes bcrypt and recommends scrypt and PBKDF2)</li>
</ul>
","142171","<java><passwords><cryptographic-hash-function>","168","6","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
"2860943","How can I hash a password in Java?","<p>I need to hash passwords for storage in a database. How can I do this in Java?</p>

<p>I was hoping to take the plain text password, add a random salt, then store the salt and the hashed password in the database.</p>

<p>Then when a user wanted to log in, I could take their submitted password, add the random salt from their account information, hash it and see if it equates to the stored hash password with their account information.</p>
","<p>While the <a href=""https://stackoverflow.com/a/2861125/2448440"">NIST recommendation PBKDF2</a> has already been mentioned, I'd like to point out that there was a public <a href=""https://password-hashing.net/"" rel=""nofollow noreferrer"">password hashing competition</a> that ran from 2013 to 2015. In the end, <strong><a href=""https://github.com/p-h-c/phc-winner-argon2"" rel=""nofollow noreferrer"">Argon2</a></strong> was chosen as the recommended password hashing function.</p>

<p>There is a fairly well adopted <a href=""https://github.com/phxql/argon2-jvm"" rel=""nofollow noreferrer"">Java binding</a> for the original (native C) library that you can use.</p>

<p>In the average use-case, I don't think it does matter from a security perspective if you choose PBKDF2 over Argon2 or vice-versa. If you have strong security requirements, I recommend considering Argon2 in your evaluation.</p>

<p>For further information on the security of password hashing functions see <a href=""https://security.stackexchange.com/a/31846/152511"">security.se</a>.</p>
","142171","<java><passwords><cryptographic-hash-function>","168","4","12","2019-10-30 17:10:08","2861125","6","92","1768232","","2015-07-30 14:44:38","2010-05-18 20:35:16",""
