post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"34451214","How to sign and verify signature with ecdsa in python","<p>I need to sign a hash of 256 bits with ECDSA using a private key of 256 bits, just as bitcoin does, and I am reaching desperation because of the lack of documentation of ecdsa in python.</p>

<p>I found a lot of codes on the internet, but there was nothing as easy as just <code>ecdsa.sign(msg, privkey)</code> or similar, everything I found is a lot of code of mathematical stuff I don't understand, but yet they use the ecdsa library (I don't know why they wouldn't add a signing function in a library that is going to be used to sign stuff, instead a page of code is needed when using the library?).</p>

<p>This is the best code I found so far:</p>

<pre><code>def ecdsa_sign(val, secret_exponent):
    """"""Return a signature for the provided hash, using the provided
    random nonce. It is absolutely vital that random_k be an unpredictable
    number in the range [1, self.public_key.point.order()-1].  If
    an attacker can guess random_k, he can compute our private key from a
    single signature. Also, if an attacker knows a few high-order
    bits (or a few low-order bits) of random_k, he can compute our private
    key from many signatures. The generation of nonces with adequate
    cryptographic strength is very difficult and far beyond the scope
    of this comment.

    May raise RuntimeError, in which case retrying with a new
    random value k is in order.
    """"""
    G = ecdsa.SECP256k1
    n = G.order()
    k = deterministic_generate_k(n, secret_exponent, val)
    p1 = k * G
    r = p1.x()
    if r == 0: raise RuntimeError(""amazingly unlucky random number r"")
    s = ( ecdsa.numbertheory.inverse_mod( k, n ) * ( val + ( secret_exponent * r ) % n ) ) % n
    if s == 0: raise RuntimeError(""amazingly unlucky random number s"")

    return signature_to_der(r, s)

def deterministic_generate_k(generator_order, secret_exponent, val, hash_f=hashlib.sha256):
    """"""
    Generate K value according to https://tools.ietf.org/html/rfc6979
    """"""
    n = generator_order
    order_size = (bit_length(n) + 7) // 8
    hash_size = hash_f().digest_size
    v = b'\x01' * hash_size
    k = b'\x00' * hash_size
    priv = intbytes.to_bytes(secret_exponent, length=order_size)
    shift = 8 * hash_size - bit_length(n)
    if shift &gt; 0:
        val &gt;&gt;= shift
    if val &gt; n:
        val -= n
    h1 = intbytes.to_bytes(val, length=order_size)
    k = hmac.new(k, v + b'\x00' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()
    k = hmac.new(k, v + b'\x01' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()

    while 1:
        t = bytearray()

        while len(t) &lt; order_size:
            v = hmac.new(k, v, hash_f).digest()
            t.extend(v)

        k1 = intbytes.from_bytes(bytes(t))

        k1 &gt;&gt;= (len(t)*8 - bit_length(n))
        if k1 &gt;= 1 and k1 &lt; n:
            return k1

        k = hmac.new(k, v + b'\x00', hash_f).digest()
        v = hmac.new(k, v, hash_f).digest()
</code></pre>

<p>But I just can't trust a code like that because I have no idea what it does. Also, the comments in ecdsa_sign says that returns a signature given the value, the secret exponent, <strong>and a nonce</strong>. It says its very important to have a nonce, but I just can't figure out where that nonce is.</p>

<p>Is there any simple, one-line way to sign and verify ECDSA signatures using whatever trusted library in python on windows?</p>
","<p>You can try using the python ecdsa package, using Python3:</p>

<pre><code>pip3 install ecdsa
</code></pre>

<p>Usage:</p>

<pre><code>import ecdsa

# SECP256k1 is the Bitcoin elliptic curve
sk = ecdsa.SigningKey.generate(curve=ecdsa.SECP256k1) 
vk = sk.get_verifying_key()
sig = sk.sign(b""message"")
vk.verify(sig, b""message"") # True
</code></pre>

<p>To verify an existing signature with a public key:</p>

<pre><code>import ecdsa

message = b""message""
public_key = '98cedbb266d9fc38e41a169362708e0509e06b3040a5dfff6e08196f8d9e49cebfb4f4cb12aa7ac34b19f3b29a17f4e5464873f151fd699c2524e0b7843eb383'
sig = '740894121e1c7f33b174153a7349f6899d0a1d2730e9cc59f674921d8aef73532f63edb9c5dba4877074a937448a37c5c485e0d53419297967e95e9b1bef630d'

vk = ecdsa.VerifyingKey.from_string(bytes.fromhex(public_key), curve=ecdsa.SECP256k1)
vk.verify(bytes.fromhex(sig), message) # True
</code></pre>

<p>The package is compatible with Python 2 as well</p>
","17155","<python><ecdsa>","13","25","3","2019-01-31 23:58:42","","4","","","","","2015-12-24 10:20:58",""
"34451214","How to sign and verify signature with ecdsa in python","<p>I need to sign a hash of 256 bits with ECDSA using a private key of 256 bits, just as bitcoin does, and I am reaching desperation because of the lack of documentation of ecdsa in python.</p>

<p>I found a lot of codes on the internet, but there was nothing as easy as just <code>ecdsa.sign(msg, privkey)</code> or similar, everything I found is a lot of code of mathematical stuff I don't understand, but yet they use the ecdsa library (I don't know why they wouldn't add a signing function in a library that is going to be used to sign stuff, instead a page of code is needed when using the library?).</p>

<p>This is the best code I found so far:</p>

<pre><code>def ecdsa_sign(val, secret_exponent):
    """"""Return a signature for the provided hash, using the provided
    random nonce. It is absolutely vital that random_k be an unpredictable
    number in the range [1, self.public_key.point.order()-1].  If
    an attacker can guess random_k, he can compute our private key from a
    single signature. Also, if an attacker knows a few high-order
    bits (or a few low-order bits) of random_k, he can compute our private
    key from many signatures. The generation of nonces with adequate
    cryptographic strength is very difficult and far beyond the scope
    of this comment.

    May raise RuntimeError, in which case retrying with a new
    random value k is in order.
    """"""
    G = ecdsa.SECP256k1
    n = G.order()
    k = deterministic_generate_k(n, secret_exponent, val)
    p1 = k * G
    r = p1.x()
    if r == 0: raise RuntimeError(""amazingly unlucky random number r"")
    s = ( ecdsa.numbertheory.inverse_mod( k, n ) * ( val + ( secret_exponent * r ) % n ) ) % n
    if s == 0: raise RuntimeError(""amazingly unlucky random number s"")

    return signature_to_der(r, s)

def deterministic_generate_k(generator_order, secret_exponent, val, hash_f=hashlib.sha256):
    """"""
    Generate K value according to https://tools.ietf.org/html/rfc6979
    """"""
    n = generator_order
    order_size = (bit_length(n) + 7) // 8
    hash_size = hash_f().digest_size
    v = b'\x01' * hash_size
    k = b'\x00' * hash_size
    priv = intbytes.to_bytes(secret_exponent, length=order_size)
    shift = 8 * hash_size - bit_length(n)
    if shift &gt; 0:
        val &gt;&gt;= shift
    if val &gt; n:
        val -= n
    h1 = intbytes.to_bytes(val, length=order_size)
    k = hmac.new(k, v + b'\x00' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()
    k = hmac.new(k, v + b'\x01' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()

    while 1:
        t = bytearray()

        while len(t) &lt; order_size:
            v = hmac.new(k, v, hash_f).digest()
            t.extend(v)

        k1 = intbytes.from_bytes(bytes(t))

        k1 &gt;&gt;= (len(t)*8 - bit_length(n))
        if k1 &gt;= 1 and k1 &lt; n:
            return k1

        k = hmac.new(k, v + b'\x00', hash_f).digest()
        v = hmac.new(k, v, hash_f).digest()
</code></pre>

<p>But I just can't trust a code like that because I have no idea what it does. Also, the comments in ecdsa_sign says that returns a signature given the value, the secret exponent, <strong>and a nonce</strong>. It says its very important to have a nonce, but I just can't figure out where that nonce is.</p>

<p>Is there any simple, one-line way to sign and verify ECDSA signatures using whatever trusted library in python on windows?</p>
","<p>you can also use sep256k1 library in Python to ecdsa sign and verify. The public and private keys are the keys generated from Bip32 specifications and seed from Bip39 specifications.</p>

<pre><code> Private key  is  1149ab92fbc40993f21336206ca184a9dc2d5231eb575d2a0a6d56773bf0f356
 Public key  is  03c7ac999403591bceacca3d37598886f7c41943c8045c7e1cb5a9295d0003cc5b


from sawtooth_signing.secp256k1 import Secp256k1PrivateKey
from sawtooth_signing.secp256k1 import Secp256k1PublicKey

def sign_nonce(hex_private_key):
   nonce = random.randint(2**10, 2**32)
   checksum = hashlib.sha3_512(str(nonce).encode()).hexdigest()

   private_key = Secp256k1PrivateKey.from_hex(hex_private_key)
   message = private_key.secp256k1_private_key.ecdsa_sign(str(nonce).encode())
   serialized_message = private_key.secp256k1_private_key.ecdsa_serialize(message)
   hex_message = binascii.hexlify(serialized_message)
   return nonce, checksum, hex_message


def verify_nonce(nonce, checksum, message, hex_public_key):
   ##message is hex encoded
   message = binascii.unhexlify(message)
   public_key = Secp256k1PublicKey.from_hex(hex_public_key)
   unserialized = public_key.secp256k1_public_key.ecdsa_deserialize(message)
   result = public_key.secp256k1_public_key.ecdsa_verify(str(nonce).encode(),    unserialized)
  return result
</code></pre>

<p>The result will be True or False depending upon the verification.
i have used uint32(typings) or int as a nonce, but any byte array or string can be used. strings need to be converted to bytes. </p>
","17155","<python><ecdsa>","13","0","3","2019-01-31 23:58:42","","4","","","","","2015-12-24 10:20:58",""
"34451214","How to sign and verify signature with ecdsa in python","<p>I need to sign a hash of 256 bits with ECDSA using a private key of 256 bits, just as bitcoin does, and I am reaching desperation because of the lack of documentation of ecdsa in python.</p>

<p>I found a lot of codes on the internet, but there was nothing as easy as just <code>ecdsa.sign(msg, privkey)</code> or similar, everything I found is a lot of code of mathematical stuff I don't understand, but yet they use the ecdsa library (I don't know why they wouldn't add a signing function in a library that is going to be used to sign stuff, instead a page of code is needed when using the library?).</p>

<p>This is the best code I found so far:</p>

<pre><code>def ecdsa_sign(val, secret_exponent):
    """"""Return a signature for the provided hash, using the provided
    random nonce. It is absolutely vital that random_k be an unpredictable
    number in the range [1, self.public_key.point.order()-1].  If
    an attacker can guess random_k, he can compute our private key from a
    single signature. Also, if an attacker knows a few high-order
    bits (or a few low-order bits) of random_k, he can compute our private
    key from many signatures. The generation of nonces with adequate
    cryptographic strength is very difficult and far beyond the scope
    of this comment.

    May raise RuntimeError, in which case retrying with a new
    random value k is in order.
    """"""
    G = ecdsa.SECP256k1
    n = G.order()
    k = deterministic_generate_k(n, secret_exponent, val)
    p1 = k * G
    r = p1.x()
    if r == 0: raise RuntimeError(""amazingly unlucky random number r"")
    s = ( ecdsa.numbertheory.inverse_mod( k, n ) * ( val + ( secret_exponent * r ) % n ) ) % n
    if s == 0: raise RuntimeError(""amazingly unlucky random number s"")

    return signature_to_der(r, s)

def deterministic_generate_k(generator_order, secret_exponent, val, hash_f=hashlib.sha256):
    """"""
    Generate K value according to https://tools.ietf.org/html/rfc6979
    """"""
    n = generator_order
    order_size = (bit_length(n) + 7) // 8
    hash_size = hash_f().digest_size
    v = b'\x01' * hash_size
    k = b'\x00' * hash_size
    priv = intbytes.to_bytes(secret_exponent, length=order_size)
    shift = 8 * hash_size - bit_length(n)
    if shift &gt; 0:
        val &gt;&gt;= shift
    if val &gt; n:
        val -= n
    h1 = intbytes.to_bytes(val, length=order_size)
    k = hmac.new(k, v + b'\x00' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()
    k = hmac.new(k, v + b'\x01' + priv + h1, hash_f).digest()
    v = hmac.new(k, v, hash_f).digest()

    while 1:
        t = bytearray()

        while len(t) &lt; order_size:
            v = hmac.new(k, v, hash_f).digest()
            t.extend(v)

        k1 = intbytes.from_bytes(bytes(t))

        k1 &gt;&gt;= (len(t)*8 - bit_length(n))
        if k1 &gt;= 1 and k1 &lt; n:
            return k1

        k = hmac.new(k, v + b'\x00', hash_f).digest()
        v = hmac.new(k, v, hash_f).digest()
</code></pre>

<p>But I just can't trust a code like that because I have no idea what it does. Also, the comments in ecdsa_sign says that returns a signature given the value, the secret exponent, <strong>and a nonce</strong>. It says its very important to have a nonce, but I just can't figure out where that nonce is.</p>

<p>Is there any simple, one-line way to sign and verify ECDSA signatures using whatever trusted library in python on windows?</p>
","<p>How to install it:</p>

<p><code>pip install starkbank-ecdsa</code></p>

<p>How to use it:</p>

<pre class=""lang-py prettyprint-override""><code># Generate Keys
privateKey = PrivateKey()
publicKey = privateKey.publicKey()

message = ""My test message""

# Generate Signature
signature = Ecdsa.sign(message, privateKey)

# Verify if signature is valid
print Ecdsa.verify(message, signature, publicKey)
</code></pre>

<p>Full reference: <a href=""https://github.com/starkbank/ecdsa-python"" rel=""nofollow noreferrer"">https://github.com/starkbank/ecdsa-python</a></p>
","17155","<python><ecdsa>","13","2","3","2019-01-31 23:58:42","","4","","","","","2015-12-24 10:20:58",""
"17893579","https with ECDHE-ECDSA-AES256-GCM-SHA384 in windows 2012","<p>I have been a long time reader but this is my first real post on a topic that I couldn't find a solution to.</p>

<p>I am currently hosting a website on Windows 2012 that I would like to get the latest TLS 1.2 ciphersuites running on.</p>

<p>I am aware of how to enable TLS 1.1 and TLS 1.2 in windows and have done so(via registry edits). I have also changed the cipher order to what I would like it to be.</p>

<p>My question is: How do i actually go through and set up my ECDHE / ECDSA portion of the cipher suite after this step?</p>

<p>When i view the site in the latest chrome beta (which supports ECDHE and ECDSA in TLS 1.2 provided you use the supported curves) it seems to skip all of the ECHDE ciphersuites.</p>

<p>Is there something else i need to do to get ECDHE/ECDSA properly enabled?</p>

<p>I have read around on the net trying to solve this myself and they mention making copies of your root cert and then modifying them to somehow support ECDHE. Am i barking up the wrong tree?</p>

<p>Thank you in advance for any and all support with this issue.</p>

<p>Edit: adding clarification/progress</p>

<p>After more research, I have found that in order to get ECDSA to work, you need an ECDSA certificate. The only way to get one at this time is to self-sign, as the cert-cartel has not yet come up with proper cross-licensing agreements and fee structures for Ellipic Curve Certificates yet.</p>

<p>Since self-signing is not an option for this site, I have removed all ECDSA suites from the cipher-order.</p>

<p>Unfortunately, because all of the AES Galois Counter Mode suites were also ECDSA, this rules those out for the time being.</p>

<p>This leaves me with a strongest cipher suite of ECDHE_RSA_WITH_AES_256_CBC_SHA384_P521 which I BELIEVE is supported by the latest version of Chrome beta correct? I can't seem to get Chrome to pick up anything beyond SHA-1. Is there no SHA-2 support? even in the latest beta?</p>
","<p>AES-GCM is about how you encrypt the data in your connexion, EC-DSA or RSA about how the server identifies itself to the client. There is therefore no reason why you couldn't do AES-GCM encryption with a RSA authentication.</p>

<p>RFC 5289 does define the needed suite for that :
<a href=""http://tools.ietf.org/html/rfc5289#section-3.2"" rel=""nofollow"">http://tools.ietf.org/html/rfc5289#section-3.2</a></p>

<blockquote>
<pre><code>CipherSuite TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256    = {0xC0,0x2F};
CipherSuite TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384    = {0xC0,0x30};
CipherSuite TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256     = {0xC0,0x31};
CipherSuite TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384     = {0xC0,0x32};
</code></pre>
</blockquote>

<p>It's not however necessarily easy to find both the client and the server that will support them.</p>
","11743","<windows><security><ssl><ssl-certificate><ecdsa>","6","3","2","2014-11-12 14:24:50","","2","1","2555174","","2013-07-29 09:24:20","2013-07-27 02:09:04",""
"17893579","https with ECDHE-ECDSA-AES256-GCM-SHA384 in windows 2012","<p>I have been a long time reader but this is my first real post on a topic that I couldn't find a solution to.</p>

<p>I am currently hosting a website on Windows 2012 that I would like to get the latest TLS 1.2 ciphersuites running on.</p>

<p>I am aware of how to enable TLS 1.1 and TLS 1.2 in windows and have done so(via registry edits). I have also changed the cipher order to what I would like it to be.</p>

<p>My question is: How do i actually go through and set up my ECDHE / ECDSA portion of the cipher suite after this step?</p>

<p>When i view the site in the latest chrome beta (which supports ECDHE and ECDSA in TLS 1.2 provided you use the supported curves) it seems to skip all of the ECHDE ciphersuites.</p>

<p>Is there something else i need to do to get ECDHE/ECDSA properly enabled?</p>

<p>I have read around on the net trying to solve this myself and they mention making copies of your root cert and then modifying them to somehow support ECDHE. Am i barking up the wrong tree?</p>

<p>Thank you in advance for any and all support with this issue.</p>

<p>Edit: adding clarification/progress</p>

<p>After more research, I have found that in order to get ECDSA to work, you need an ECDSA certificate. The only way to get one at this time is to self-sign, as the cert-cartel has not yet come up with proper cross-licensing agreements and fee structures for Ellipic Curve Certificates yet.</p>

<p>Since self-signing is not an option for this site, I have removed all ECDSA suites from the cipher-order.</p>

<p>Unfortunately, because all of the AES Galois Counter Mode suites were also ECDSA, this rules those out for the time being.</p>

<p>This leaves me with a strongest cipher suite of ECDHE_RSA_WITH_AES_256_CBC_SHA384_P521 which I BELIEVE is supported by the latest version of Chrome beta correct? I can't seem to get Chrome to pick up anything beyond SHA-1. Is there no SHA-2 support? even in the latest beta?</p>
","<p>I had similar experiences with Win2008 R2.
Depending on the certificate, GCM cipher is offered by the server or not.</p>

<p>With self-signed ECDSA certificate i got GCM to work but older browsers
or Windows XP can't connect to such a https-site.</p>

<p>Windows doesnt support any TLS_ECDHE_RSA...GCM... ciphers:
<a href=""http://msdn.microsoft.com/en-us/library/aa374757(v=vs.85).aspx"" rel=""nofollow"">http://msdn.microsoft.com/en-us/library/aa374757(v=vs.85).aspx</a>
Thus normal RSA-certificates don't work with GCM under Windows.</p>

<p>Browser compatibility:
<a href=""http://www.g-sec.lu/sslharden/SSL_comp_report2011.pdf"" rel=""nofollow"">http://www.g-sec.lu/sslharden/SSL_comp_report2011.pdf</a></p>
","11743","<windows><security><ssl><ssl-certificate><ecdsa>","6","3","2","2014-11-12 14:24:50","","2","1","2555174","","2013-07-29 09:24:20","2013-07-27 02:09:04",""
"25261823","ECDSA signature generation using secp256r1 curve and SHA256 algorithm - BouncyCastle","<p>I am trying to generate signature using ECDSA with secp256r1 curve (P256) and SHA256 algorithm for message hash. Also i am using Bouncy Castle libraries. 
Code below, </p>

<pre><code>public class MyTest {

    /**
     * @param args
     */
    public static void main(String[] args) {
        new MyTest().getSign();
    }

    void getSign() {
        // Get the instance of the Key Generator with ""EC"" algorithm

        try {
            KeyPairGenerator g = KeyPairGenerator.getInstance(""EC"");
            ECGenParameterSpec kpgparams = new ECGenParameterSpec(""secp256r1"");
            g.initialize(kpgparams);

            KeyPair pair = g.generateKeyPair();
            // Instance of signature class with SHA256withECDSA algorithm
            Signature ecdsaSign = Signature.getInstance(""SHA256withECDSA"");
            ecdsaSign.initSign(pair.getPrivate());

            System.out.println(""Private Keys is::"" + pair.getPrivate());
            System.out.println(""Public Keys is::"" + pair.getPublic());

            String msg = ""text ecdsa with sha256"";//getSHA256(msg)
            ecdsaSign.update((msg + pair.getPrivate().toString())
                    .getBytes(""UTF-8""));

            byte[] signature = ecdsaSign.sign();
            System.out.println(""Signature is::""
                    + new BigInteger(1, signature).toString(16));

            // Validation
            ecdsaSign.initVerify(pair.getPublic());
            ecdsaSign.update(signature);
            if (ecdsaSign.verify(signature))
                System.out.println(""valid"");
            else
                System.out.println(""invalid!!!!"");

        } catch (Exception e) {
            // TODO: handle exception
            e.printStackTrace();
        }

    }

}
</code></pre>

<p>Here key pairs are generated using KeyPair , but for my requirement I will be having a static privateKey and public key. Also, validation of signature is always returning false.</p>

<p>Need help, how can I have static private key and on validation part.</p>
","<p>Jackpot - nothing in your title is a problem!</p>

<p>First, you probably aren't actually using BouncyCastle. Sun/Oracle Java 7 and 8 now includes an EC provider (earlier versions did not) and the one-arg form of <code>getInstance</code> uses the first available provider, which is normally SunEC unless you or someone has altered the provider list.</p>

<p><strong>TO VERIFY A SIGNATURE:</strong> pass the <strong>same</strong> data to the verifying <code>Signature.update()</code> as you passed to the signing <code>Signature.update()</code>. <strong>Exactly</strong> the same, byte for byte. Pass the signature value <strong>only</strong> to <code>Signature.verify()</code>. Putting <code>PrivateKey.toString()</code> in the data is silly; this value is specific to the running Java process, so you'll have to send it to the receiving process (if different, as it normally should be) where it is useless and a waste of space.</p>

<p><strong>TO USE A STATIC KEY:</strong> do just that. Create a keypair and store it someplace, then read it in and use it. The easiest secure (password protected) store is a Java KeyStore (JKS) file, but that requires a certificate chain (perhaps a dummy one) which is a nuisance to code yourself; fortunately the <code>keytool</code> utility with <code>-genkeypair</code> generates a keypair with a dummy selfsigned certificate, and for <code>-keyalg ec -keysize 256</code> it uses the (very popular) secp256r1 curve. Also specify <code>-alias name</code> of your choice, <code>-keystore filename</code>, any names you like for the dummy cert, and passwords. To use a keypair from a JKS file:</p>

<ul>
<li><p>use <code>java.security.KeyStore.getInstance(""JKS"")</code> to create a store object and pass <code>.load(InputStream,char[])</code> a <code>FileInputStream</code> on the file, and the password.</p></li>
<li><p>use <code>.getKey(String alias,char[] password)</code> and cast to get the PrivateKey. Use for signing.</p></li>
<li><p>use <code>.getCertificateChain(String alias)[0].getPublicKey()</code> to get the PublicKey from the first (only) cert. Use for verifying.</p></li>
</ul>
","11708","<java><bouncycastle><sha256><ecdsa>","3","7","1","2014-11-05 05:03:06","25263424","0","3","2432317","","2014-11-05 05:03:06","2014-08-12 10:18:30",""
"23176231","no module named ecdsa with Paramiko","<p>I keep coming up with the error <code>no module named ecdsa</code> when I run a program with Paramiko. I have installed it using pip, and it says that it <em>has</em> installed, but when I run the program again, it comes up with the error again!</p>

<p>What can I do? I'm using Linux, by the way.</p>
","<p>Make sure you have <code>ecdsa</code> module installed in your linux system. Go to prompt, and try running the following commands:</p>

<pre><code>    mamun@bobolink:~$ python
    Python 2.7.5+ (default, Feb 27 2014, 19:37:08)
    [GCC 4.8.1] on linux2
    Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
    &gt;&gt;&gt; from ecdsa import SigningKey
    &gt;&gt;&gt; sk = SigningKey.generate() # uses NIST192p
    &gt;&gt;&gt;
</code></pre>

<p>If you get error, then try installing the <code>ecdsa</code> module by the following command:</p>

<pre><code>    mamun@bobolink:~$ sudo pip install ecdsa
</code></pre>

<p>And you will get the following output that would confirm that the package has been installed.</p>

<pre><code>    Downloading/unpacking ecdsa
      Downloading ecdsa-0.11.tar.gz (45kB): 45kB downloaded
      Running setup.py egg_info for package ecdsa

    Installing collected packages: ecdsa
      Running setup.py install for ecdsa

    Successfully installed ecdsa
    Cleaning up...
</code></pre>
","11549","<python><paramiko><ecdsa>","5","11","2","2016-05-03 15:35:38","23177224","0","","","","","2014-04-19 22:19:08",""
"23176231","no module named ecdsa with Paramiko","<p>I keep coming up with the error <code>no module named ecdsa</code> when I run a program with Paramiko. I have installed it using pip, and it says that it <em>has</em> installed, but when I run the program again, it comes up with the error again!</p>

<p>What can I do? I'm using Linux, by the way.</p>
","<p>If you are on Python 3.x you might have to use pip3 instead of pip:</p>

<pre><code>sudo pip3 install ecdsa
</code></pre>
","11549","<python><paramiko><ecdsa>","5","2","2","2016-05-03 15:35:38","23177224","0","","","","","2014-04-19 22:19:08",""
"13791219","SSH fingerprint verification for Amazon AWS EC2 server with ECDSA?","<p>When I create a new Amazon EC2 server, I connect to it using <code>ssh</code> as usual.</p>

<p>I see the typical warning:</p>

<pre><code>$ ssh myserver  
The authenticity of host 'ec2-12-34-567-890.compute-1.amazonaws.com (12.34.567.890)'     can't be established.
ECDSA key fingerprint is 31:66:15:d2:19:41:2b:09:8a:8f:9f:bd:de:c6:ff:07.
Are you sure you want to continue connecting (yes/no)? 
</code></pre>

<p>How do I verify the fingerprint before I sign in? </p>

<p>Ideally an answer is based on something besides the original creation console log -- because the log may get flushed out after a system restart, or during a large system installation script that generates a lot of output, or the connection is to an older system with keys that weren't tracked at creation time.</p>
","<p>Here are two solutions that worked for me during the creation of the EC2 system. </p>

<p><b>Solution 1: Use the Amazon EC2 dashboard</b></p>

<ul>
<li>Go to <a href=""https://console.aws.amazon.com"" rel=""noreferrer"">https://console.aws.amazon.com</a></li>
<li>Tap ""EC2"" link.</li>
<li>Tap ""Instances"" in the left column</li>
<li>Tap the instance name you want</li>
<li>Tap the select button ""Actions"" and choose ""Get System Log"" (a.k.a. ""Console Output"")</li>
<li>In the console output, you should see the keys being generated</li>
</ul>

<p><b>Solution 2: Use the AWS EC2 command line</b></p>

<p>You can use the <code>aws</code> command or <code>ec2-get-console-output</code> command. Both are available for download from Amazon.</p>

<p>To use your EC2 private key pem file, certificate pem file, region, and instance:</p>

<pre><code>ec2-get-console-output \
  --private-key pk-ABCDEF1234567890.pem \
  --cert cert-ABCDEF1234567890.pem \
  --region us-east-1c \
  i-e706689a   
</code></pre>

<p>The output shows the ssh host key fingerprints like this:</p>

<pre><code>ec2: -----BEGIN SSH HOST KEY FINGERPRINTS-----
ec2: 1024 e0:79:1e:ba:2e:3c:71:87:2c:f5:62:2b:0d:1b:6d:7b  root@ip-10-243-118-182 (DSA)
ec2: 256 31:66:15:d2:19:41:2b:09:8a:8f:9f:bd:de:c6:ff:07  root@ip-10-243-118-182 (ECDSA)
ec2: 2048 ce:ec:3b:d3:34:3f:f3:45:76:81:9e:76:7a:d9:f5:e8  root@ip-10-243-118-182 (RSA)
ec2: -----END SSH HOST KEY FINGERPRINTS-----
</code></pre>

<p>The <code>aws</code> tool works similarly. </p>

<p>Note: these solutions only work during creation time, or when you can get the console logs. For a broader solution that works any time, see Martin's answer.</p>
","11482","<ssh><amazon-web-services><amazon-ec2><fingerprint><ecdsa>","32","18","2","2019-06-27 13:07:31","24773982","1","10","528726","","2014-07-22 17:04:52","2012-12-09 20:02:32",""
"13791219","SSH fingerprint verification for Amazon AWS EC2 server with ECDSA?","<p>When I create a new Amazon EC2 server, I connect to it using <code>ssh</code> as usual.</p>

<p>I see the typical warning:</p>

<pre><code>$ ssh myserver  
The authenticity of host 'ec2-12-34-567-890.compute-1.amazonaws.com (12.34.567.890)'     can't be established.
ECDSA key fingerprint is 31:66:15:d2:19:41:2b:09:8a:8f:9f:bd:de:c6:ff:07.
Are you sure you want to continue connecting (yes/no)? 
</code></pre>

<p>How do I verify the fingerprint before I sign in? </p>

<p>Ideally an answer is based on something besides the original creation console log -- because the log may get flushed out after a system restart, or during a large system installation script that generates a lot of output, or the connection is to an older system with keys that weren't tracked at creation time.</p>
","<p>As @joelparkerhenderson's answer covers, you can collect host key fingerprint from server's initial start log, when host keys are generated (by the <code>cloud-init</code> script):</p>

<p><a href=""https://i.stack.imgur.com/G5Fej.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/G5Fej.png"" alt=""enter image description here""></a></p>

<hr>

<p>If you fail to collect the keys this way, you can get them by connecting to your target instance from another trusted instance within private Amazon network, thus keeping yourself safe from man-in-the-middle attacks. </p>

<p>When on the trusted instance (the one you know fingerprints for) terminal, you can use following commands to collect fingerprints (<code>172.33.31.199</code> is the private IP):</p>

<pre><code>$ ssh-keyscan 172.33.31.199 &gt; ec2key
$ ssh-keygen -l -f ec2key
256 SHA256:oZHeiMEPLKetRgd3M5Itgwaqr2zJJH93EvSdx5UoHbQ &lt;ip&gt; (ED25519)
2048 SHA256:8zg105EUFFrPFpVzdfTGsgXnxuSpTiQd85k0uNapUio &lt;ip&gt; (RSA)
256 SHA256:L7UXLw0djE5B9W7ZhvrkYVSTZyi1MEQ2dBaRtpkkUGY &lt;ip&gt; (ECDSA)
</code></pre>

<hr>

<p>If you do not have another instance, whose fingerprints you know, create new temporary instance, just for the purpose of collecting the keys. First find keys for the new temporary instance, using it's initial start log. Connect to the temporary instance from public network. Then collect keys of the target instance by connecting to it from the temporary instance, over private Amazon network. After that you can discard the temporary instance.</p>

<hr>

<p>I have prepared <a href=""https://winscp.net/eng/docs/guide_amazon_ec2"" rel=""nofollow noreferrer"">Guide for connecting to EC2 instance safely using WinSCP</a>.</p>
","11482","<ssh><amazon-web-services><amazon-ec2><fingerprint><ecdsa>","32","29","2","2019-06-27 13:07:31","24773982","1","10","528726","","2014-07-22 17:04:52","2012-12-09 20:02:32",""
