post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"9031537","Really simple encryption with C# and SymmetricAlgorithm","<p>I'm looking for a <strong>very</strong> simple crypt / decrypt method. I will be using always the same static key. I'm aware of the risks of this approach. Currently I'm using the following code but it does not generate the same result after crypting and decripting the same string (there is some garbage in the middle of the string).</p>

<pre><code>public static string Crypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] plaintextBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
        using (MemoryStream memoryStream = new MemoryStream())
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateEncryptor(), CryptoStreamMode.Write))
            {
                cryptoStream.Write(plaintextBytes, 0, plaintextBytes.Length);
            }

            result = Encoding.Unicode.GetString(memoryStream.ToArray());
        }
    }

    return result;
}

public static string Decrypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] encryptedBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[] { 1, 2, 3, 4, 5, 6, 7, 8 };
        using (MemoryStream memoryStream = new MemoryStream(encryptedBytes))
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateDecryptor(), CryptoStreamMode.Read))
            {
                byte[] decryptedBytes = new byte[encryptedBytes.Length];
                cryptoStream.Read(decryptedBytes, 0, decryptedBytes.Length);
                result = Encoding.Unicode.GetString(decryptedBytes);
            }
        }
    }

    return result;
}
</code></pre>

<p>I can change whatever is needed, no limits (but I want just to have on method to crypt and another one to decrypt without sharing variables between them).</p>

<p>Thanks.</p>
","<p>You'll need to set the cipher mode to CipherMode.ECB or use an IV.</p>

<pre><code>SymmetricAlgorithm symmetricAlgorithm = DES.Create();
symmetricAlgorithm.Key = new byte[8] { 1, 2, 3, 4, 5, 6, 7, 8 };
symmetricAlgorithm.Mode = CipherMode.ECB;
...
</code></pre>

<p>Another point is not to use Unicode encoding. Use Base64 instead. Unicode might ""destroy"" bytes that are not UTF-16.</p>
","68813","<c#><encryption><encryption-symmetric><des>","26","9","3","2019-03-06 18:02:29","9034247","1","11","185123","","2019-03-06 18:02:29","2012-01-27 09:56:58",""
"9031537","Really simple encryption with C# and SymmetricAlgorithm","<p>I'm looking for a <strong>very</strong> simple crypt / decrypt method. I will be using always the same static key. I'm aware of the risks of this approach. Currently I'm using the following code but it does not generate the same result after crypting and decripting the same string (there is some garbage in the middle of the string).</p>

<pre><code>public static string Crypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] plaintextBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
        using (MemoryStream memoryStream = new MemoryStream())
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateEncryptor(), CryptoStreamMode.Write))
            {
                cryptoStream.Write(plaintextBytes, 0, plaintextBytes.Length);
            }

            result = Encoding.Unicode.GetString(memoryStream.ToArray());
        }
    }

    return result;
}

public static string Decrypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] encryptedBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[] { 1, 2, 3, 4, 5, 6, 7, 8 };
        using (MemoryStream memoryStream = new MemoryStream(encryptedBytes))
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateDecryptor(), CryptoStreamMode.Read))
            {
                byte[] decryptedBytes = new byte[encryptedBytes.Length];
                cryptoStream.Read(decryptedBytes, 0, decryptedBytes.Length);
                result = Encoding.Unicode.GetString(decryptedBytes);
            }
        }
    }

    return result;
}
</code></pre>

<p>I can change whatever is needed, no limits (but I want just to have on method to crypt and another one to decrypt without sharing variables between them).</p>

<p>Thanks.</p>
","<p>How about something like this?</p>

<p><em>Code</em></p>

<pre><code>using System;
using System.Security.Cryptography;
using System.Text;

public static class StringUtil
{
    private static byte[] key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
    private static byte[] iv = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};

    public static string Crypt(this string text)
    {
        SymmetricAlgorithm algorithm = DES.Create();
        ICryptoTransform transform = algorithm.CreateEncryptor(key, iv);
        byte[] inputbuffer = Encoding.Unicode.GetBytes(text);
        byte[] outputBuffer = transform.TransformFinalBlock(inputbuffer, 0, inputbuffer.Length);
        return Convert.ToBase64String(outputBuffer);
    }

    public static string Decrypt(this string text)
    {
        SymmetricAlgorithm algorithm = DES.Create();
        ICryptoTransform transform = algorithm.CreateDecryptor(key, iv);
        byte[] inputbuffer = Convert.FromBase64String(text);
        byte[] outputBuffer = transform.TransformFinalBlock(inputbuffer, 0, inputbuffer.Length);
        return Encoding.Unicode.GetString(outputBuffer);
    }
}
</code></pre>

<p><em>Unit Test</em></p>

<pre><code>[Test]
public void Test()
{
    string expected = ""this is my test string"";
    string a = expected.Crypt();
    Debug.WriteLine(a);
    string actual = a.Decrypt();
    Assert.AreEqual(expected, actual);
}
</code></pre>

<hr>

<p><strong>EDIT:</strong></p>

<p>To clarify: I am aware this is not good practice. </p>

<blockquote>
  <p>""I'm aware of the risks of this approach. ""</p>
</blockquote>

<p>Iv'e made the assumption that the OP is also aware and will make relevant code changes before considering using anything like this in a production environment.</p>

<p>The question emphasizes simplicity over good practice.</p>
","68813","<c#><encryption><encryption-symmetric><des>","26","33","3","2019-03-06 18:02:29","9034247","1","11","185123","","2019-03-06 18:02:29","2012-01-27 09:56:58",""
"9031537","Really simple encryption with C# and SymmetricAlgorithm","<p>I'm looking for a <strong>very</strong> simple crypt / decrypt method. I will be using always the same static key. I'm aware of the risks of this approach. Currently I'm using the following code but it does not generate the same result after crypting and decripting the same string (there is some garbage in the middle of the string).</p>

<pre><code>public static string Crypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] plaintextBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
        using (MemoryStream memoryStream = new MemoryStream())
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateEncryptor(), CryptoStreamMode.Write))
            {
                cryptoStream.Write(plaintextBytes, 0, plaintextBytes.Length);
            }

            result = Encoding.Unicode.GetString(memoryStream.ToArray());
        }
    }

    return result;
}

public static string Decrypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] encryptedBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[] { 1, 2, 3, 4, 5, 6, 7, 8 };
        using (MemoryStream memoryStream = new MemoryStream(encryptedBytes))
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateDecryptor(), CryptoStreamMode.Read))
            {
                byte[] decryptedBytes = new byte[encryptedBytes.Length];
                cryptoStream.Read(decryptedBytes, 0, decryptedBytes.Length);
                result = Encoding.Unicode.GetString(decryptedBytes);
            }
        }
    }

    return result;
}
</code></pre>

<p>I can change whatever is needed, no limits (but I want just to have on method to crypt and another one to decrypt without sharing variables between them).</p>

<p>Thanks.</p>
","<p>If you don't want to handle keys yourself then let the operating system do it for your. E.g. use <a href=""http://msdn.microsoft.com/en-us/library/ms995355.aspx"" rel=""noreferrer"">Windows Data Protection</a> (DPAPI).</p>

<p>You can write your own, <code>string</code>-based, version of <a href=""http://msdn.microsoft.com/en-us/library/system.security.cryptography.protecteddata.protect.aspx"" rel=""noreferrer""><code>System.Security.Cryptography.ProtectedData.Protect</code></a> and <a href=""http://msdn.microsoft.com/en-us/library/system.security.cryptography.protecteddata.unprotect.aspx"" rel=""noreferrer""><code>Unprotect</code></a> methods by using something like:</p>

<pre><code>public static string Crypt (this string text)
{
    return Convert.ToBase64String (
        ProtectedData.Protect (
            Encoding.Unicode.GetBytes (text) ) );
}

public static string Derypt (this string text)
{
    return Encoding.Unicode.GetString (
        ProtectedData.Unprotect (
             Convert.FromBase64String (text) ) );
}
</code></pre>
","68813","<c#><encryption><encryption-symmetric><des>","26","55","3","2019-03-06 18:02:29","9034247","1","11","185123","","2019-03-06 18:02:29","2012-01-27 09:56:58",""
"6770370","AES-256 encryption in PHP","<p>I need a PHP function, <code>AES256_encode($dataToEcrypt)</code> to encrypt the <code>$data</code> into AES-256 and another one <code>AES256_decode($encryptedData)</code> do the opposite. Does anyone know what code should this functions have?</p>
","<p>Look at the <a href=""http://php.net/manual/en/book.mcrypt.php"" rel=""noreferrer"">mcrypt module</a></p>

<p>AES-Rijndael example taken from <a href=""http://www.php.net/manual/en/function.mcrypt-encrypt.php"" rel=""noreferrer"">here</a></p>

<pre><code>$iv_size = mcrypt_get_iv_size(MCRYPT_RIJNDAEL_128, MCRYPT_MODE_CBC);
$iv = mcrypt_create_iv($iv_size, MCRYPT_DEV_URANDOM);
$key = pack('H*', ""bcb04b7e103a0cd8b54763051cef08bc55abe029fdebae5e1d417e2ffb2a00a3"");
# show key size use either 16, 24 or 32 byte keys for AES-128, 192
# and 256 respectively
$key_size =  strlen($key);
echo ""Key size: "" . $key_size . ""\n"";
$text = ""Meet me at 11 o'clock behind the monument."";
echo strlen($text) . ""\n"";

$crypttext = mcrypt_encrypt(MCRYPT_RIJNDAEL_128, $key, $text, MCRYPT_MODE_CBC, $iv);
echo strlen($crypttext) . ""\n"";
</code></pre>

<p>This is the <a href=""http://www.php.net/manual/en/function.mcrypt-decrypt.php"" rel=""noreferrer"">decrypt function</a></p>
","56626","<php><security><encryption><aes><encryption-symmetric>","24","16","4","2019-06-10 22:45:29","6770394","1","10","2224584","","2018-11-18 05:07:33","2011-07-21 01:24:35",""
"6770370","AES-256 encryption in PHP","<p>I need a PHP function, <code>AES256_encode($dataToEcrypt)</code> to encrypt the <code>$data</code> into AES-256 and another one <code>AES256_decode($encryptedData)</code> do the opposite. Does anyone know what code should this functions have?</p>
","<p><strong>MCRYPT_RIJNDAEL_256</strong> is not equivalent to AES_256.</p>

<p>The way to make RIJNDAEL be decrypted from AES is to use MCRYPT_RIJNDAEL_128 and padd the string to encrypt before encrypting</p>

<p>AES-256 has BlockSize=128bit and KeySize=256bit
Rijndael-256 has BlockSize=256bit and KeySize=256bit</p>

<p>Just AES/Rijndael 128bit are identical.
Rijndael-192 and Rijndael-256 are not identical to AES-192 and AES-256 (block sizes and number of rounds differ).</p>
","56626","<php><security><encryption><aes><encryption-symmetric>","24","13","4","2019-06-10 22:45:29","6770394","1","10","2224584","","2018-11-18 05:07:33","2011-07-21 01:24:35",""
"6770370","AES-256 encryption in PHP","<p>I need a PHP function, <code>AES256_encode($dataToEcrypt)</code> to encrypt the <code>$data</code> into AES-256 and another one <code>AES256_decode($encryptedData)</code> do the opposite. Does anyone know what code should this functions have?</p>
","<pre><code>$key = '324325923495kdfgiert734t'; // key used for decryption in jasper code
$text = 'string_to_be_encrypted';
$encrypted = fnEncrypt($text, $key);




function fnEncrypt( $plaintext, $key )
{
$plaintext = pkcs5_pad($plaintext, 16);

return bin2hex(mcrypt_encrypt(MCRYPT_RIJNDAEL_256, hex2bin($key), $plaintext, MCRYPT_MODE_ECB));

}


function pkcs5_pad ($text, $blocksize)
{
$pad = $blocksize - (strlen($text) % $blocksize);
return $text . str_repeat(chr($pad), $pad);
}



function hex2bin($hexdata) 
{
$bindata = """";

    for ($i = 0; $i &lt; strlen($hexdata); $i += 2) 
    {
      $bindata .= chr(hexdec(substr($hexdata, $i, 2)));
    }

return $bindata;
}
</code></pre>
","56626","<php><security><encryption><aes><encryption-symmetric>","24","-2","4","2019-06-10 22:45:29","6770394","1","10","2224584","","2018-11-18 05:07:33","2011-07-21 01:24:35",""
"6770370","AES-256 encryption in PHP","<p>I need a PHP function, <code>AES256_encode($dataToEcrypt)</code> to encrypt the <code>$data</code> into AES-256 and another one <code>AES256_decode($encryptedData)</code> do the opposite. Does anyone know what code should this functions have?</p>
","<blockquote>
  <p>I need a PHP function, <code>AES256_encode($dataToEcrypt)</code> to encrypt the <code>$data</code> into AES-256 and another one <code>AES256_decode($encryptedData)</code> do the opposite. Does anyone know what code should this functions have?</p>
</blockquote>

<p>There is a <a href=""https://paragonie.com/blog/2015/08/you-wouldnt-base64-a-password-cryptography-decoded"" rel=""nofollow noreferrer"">difference between encrypting and encoding</a>.</p>

<p>Do you <em>really</em> need AES-256? The security of AES-256 versus AES-128 isn't that significant; you're more likely to screw up at the protocol layer than get hacked because you used a 128-bit block cipher instead of a 256-bit block cipher.</p>

<h2>Important - Use A Library</h2>

<p><a href=""https://i.stack.imgur.com/F3hKZ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/F3hKZ.png"" alt=""A flowchart for PHP users""></a></p>

<ul>
<li><a href=""https://github.com/defuse/php-encryption"" rel=""nofollow noreferrer"">defuse/php-encryption</a></li>
<li><a href=""https://pecl.php.net/package/libsodium"" rel=""nofollow noreferrer"">PECL libsodium</a></li>
<li><a href=""https://github.com/paragonie/halite"" rel=""nofollow noreferrer"">Halite</a> (libsodium wrapper, now stable)</li>
</ul>

<h3>A Quick and Dirty AES-256 Implementation</h3>

<p>If you're interested in building your own <strong>not for the sake of deploying it in production</strong> but rather for the sake of your own education, I've included a sample AES256</p>

<pre><code>/**
 * This is a quick and dirty proof of concept for StackOverflow.
 * 
 * @ref http://stackoverflow.com/q/6770370/2224584
 * 
 * Do not use this in production.
 */
abstract class ExperimentalAES256DoNotActuallyUse
{
    /**
     * Encrypt with AES-256-CTR + HMAC-SHA-512
     * 
     * @param string $plaintext Your message
     * @param string $encryptionKey Key for encryption
     * @param string $macKey Key for calculating the MAC
     * @return string
     */
    public static function encrypt($plaintext, $encryptionKey, $macKey)
    {
        $nonce = random_bytes(16);
        $ciphertext = openssl_encrypt(
            $plaintext,
            'aes-256-ctr',
            $encryptionKey,
            OPENSSL_RAW_DATA,
            $nonce
        );
        $mac = hash_hmac('sha512', $nonce.$ciphertext, $macKey, true);
        return base64_encode($mac.$nonce.$ciphertext);
    }

    /**
     * Verify HMAC-SHA-512 then decrypt AES-256-CTR
     * 
     * @param string $message Encrypted message
     * @param string $encryptionKey Key for encryption
     * @param string $macKey Key for calculating the MAC
     */
    public static function decrypt($message, $encryptionKey, $macKey)
    {
        $decoded = base64_decode($message);
        $mac = mb_substr($message, 0, 64, '8bit');
        $nonce = mb_substr($message, 64, 16, '8bit');
        $ciphertext = mb_substr($message, 80, null, '8bit');

        $calc = hash_hmac('sha512', $nonce.$ciphertext, $macKey, true);
        if (!hash_equals($calc, $mac)) {
            throw new Exception('Invalid MAC');
        }
        return openssl_decrypt(
            $ciphertext,
            'aes-256-ctr',
            $encryptionKey,
            OPENSSL_RAW_DATA,
            $nonce
        );
    }
}
</code></pre>

<h3>Usage</h3>

<p>First, generate two keys (yes, two of them) and store them somehow.</p>

<pre><code>$eKey = random_bytes(32);
$aKey = random_bytes(32);
</code></pre>

<p>Then to encrypt/decrypt messages:</p>

<pre><code>$plaintext = 'This is just a test message.';
$encrypted = ExperimentalAES256DoNotActuallyUse::encrypt($plaintext, $eKey, $aKey);
$decrypted = ExperimentalAES256DoNotActuallyUse::decrypt($encrypted, $eKey, $aKey);
</code></pre>

<p>If you don't have <code>random_bytes()</code>, get <a href=""https://github.com/paragonie/random_compat"" rel=""nofollow noreferrer"">random_compat</a>.</p>
","56626","<php><security><encryption><aes><encryption-symmetric>","24","15","4","2019-06-10 22:45:29","6770394","1","10","2224584","","2018-11-18 05:07:33","2011-07-21 01:24:35",""
"17567996","Illegal Block Size Exception Input length must be multiple of 16 when decrypting with padded cipher","<p>In my application I am encrypting and decrypting data using secretKey. For that I am using AES algorithm. But I am getting exception in decrypt, one value out of three already encrypted values using secret key. </p>

<p><strong>Exception is:</strong> </p>

<pre><code>Illegal Block Size Exception Input length must be multiple of 16 when decrypting with padded cipher.
</code></pre>

<p>Below is my code:</p>

<p><strong>Function to encyrpt value</strong></p>

<pre><code>public static String symmetricEncrypt(String text, String secretKey) {
    BASE64Decoder decoder = new BASE64Decoder();
    byte[] raw;
    String encryptedString;
    SecretKeySpec skeySpec;
    BASE64Encoder bASE64Encoder = new BASE64Encoder();
    byte[] encryptText = text.getBytes();
    Cipher cipher;
    try {
        raw = decoder.decodeBuffer(secretKey);
        skeySpec = new SecretKeySpec(raw, ""AES"");
        cipher = Cipher.getInstance(""AES"");
        cipher.init(Cipher.ENCRYPT_MODE, skeySpec);
        encryptedString = bASE64Encoder.encode(cipher.doFinal(encryptText));
    } 
    catch (Exception e) {
        e.printStackTrace();
        return ""Error"";
    }
    return encryptedString;
}
</code></pre>

<p><strong>Function to decrypt value</strong></p>

<pre><code>public static String symmetricDecrypt(String text, String secretKey) {
    BASE64Decoder decoder = new BASE64Decoder();
    BASE64Decoder base64Decoder = new BASE64Decoder();
    Cipher cipher;
    String encryptedString;
    byte[] encryptText = null;
    byte[] raw;
    SecretKeySpec skeySpec;
    try {
        raw = decoder.decodeBuffer(secretKey);
        skeySpec = new SecretKeySpec(raw, ""AES"");
        encryptText = base64Decoder.decodeBuffer(text);
        cipher = Cipher.getInstance(""AES"");
        cipher.init(Cipher.DECRYPT_MODE, skeySpec);
        encryptedString = new String(cipher.doFinal(encryptText));
    } catch (Exception e) {
        e.printStackTrace();
        return ""Error"";
    }
    return encryptedString;
}
</code></pre>

<p>Following are the values that I am encrypting and decrypting</p>

<pre><code>String secretKey = ""XMzDdG4D03CKm2IxIWQw7g=="";
String value1= ""ABCD"";
String enctypedValue1= ""3uweh4pzoVyH1uODQmVNJA=="";
String enctypedValue2= ""37PTC20w4DMZYjG3f+GWepSvAbEJUccMXwS/lXilLav1qM/PrCTdontw5/82OdC1zzyhDEsFVRGo rV6gXAQcm+Zai15hliiUQ8l8KRMtUl4="";
String value4= ""20000"";

/**  Ecnryption and decryption of value1 **/
String encryptedValue1= symmetricEncrypt(value1, secretKey);
String decryptedValue1 = symmetricDecrypt(encryptedValue1, secretKey);

/**  Decryption of  enctypedValue1 **/
String decryptedValue2 = symmetricDecrypt(enctypedValue1, secretKey);
System.out.println(decryptedValue2);

/**  Decryption of  enctypedValue2 (Not decrypted)**/
String decryptedValue3 = symmetricDecrypt(enctypedValue2, secretKey);
System.out.println(decryptedValue3);

/**  Ecnryption and decryption of value4 **/
String encryptedValue4= symmetricEncrypt(value4, secretKey);
String decryptedValue4 = symmetricDecrypt(encryptedValue4, secretKey);
</code></pre>

<p>In the test function, I have written the following three test cases.</p>

<ol>
<li>A new value (value1) being encrypted and decrypted using a secret key.</li>
<li>Two example encrypted values (enctypedValue1, enctypedValue2) which are being decrypted using same secret key. encryptedValue2 which got a problem while decrypting using same secret key.</li>
<li>A new value (value4) being encrypted and decrypted using a secret key.</li>
</ol>

<p>On decrypting encryptedValue2 I am getting the following exception:</p>

<pre><code>Illegal Block Size Exception Input length must be multiple of 16 when decrypting with padded cipher
</code></pre>

<p>Following is what I have derived till now.</p>

<ol>
<li><p>The problematic value seems to have a problem while decoding it, it returns 81 length array which is unable to get decrypted?</p></li>
<li><p>If this problem was to happen it should have happened to all the values.</p></li>
<li><p>Is this a value specific problem or it is something related to padding or it can have a different behavior on different browser, different os?</p></li>
</ol>
","<p>I was able to run the code without any problem. However, I used Apache's Base64 for encoding/decoding...maybe your Base64 has bugs. If you wrote it yourself, there is a big chance that you missed some cases. For real production code, use heavily tested libraries such as Apache's.</p>

<p>You can find the library that I used for Base64 here: <a href=""http://commons.apache.org/proper/commons-codec/download_codec.cgi"" rel=""noreferrer"">http://commons.apache.org/proper/commons-codec/download_codec.cgi</a></p>

<p>Here is the full working code:</p>

<pre><code>    package security.symmatric;

    import javax.crypto.Cipher;
    import javax.crypto.spec.SecretKeySpec;

    import org.apache.commons.codec.binary.Base64;

    public class AES {
        public static String symmetricEncrypt(String text, String secretKey) {
            byte[] raw;
            String encryptedString;
            SecretKeySpec skeySpec;
            byte[] encryptText = text.getBytes();
            Cipher cipher;
            try {
                raw = Base64.decodeBase64(secretKey);
                skeySpec = new SecretKeySpec(raw, ""AES"");
                cipher = Cipher.getInstance(""AES"");
                cipher.init(Cipher.ENCRYPT_MODE, skeySpec);
                encryptedString = Base64.encodeBase64String(cipher.doFinal(encryptText));
            } 
            catch (Exception e) {
                e.printStackTrace();
                return ""Error"";
            }
            return encryptedString;
        }

        public static String symmetricDecrypt(String text, String secretKey) {
            Cipher cipher;
            String encryptedString;
            byte[] encryptText = null;
            byte[] raw;
            SecretKeySpec skeySpec;
            try {
                raw = Base64.decodeBase64(secretKey);
                skeySpec = new SecretKeySpec(raw, ""AES"");
                encryptText = Base64.decodeBase64(text);
                cipher = Cipher.getInstance(""AES"");
                cipher.init(Cipher.DECRYPT_MODE, skeySpec);
                encryptedString = new String(cipher.doFinal(encryptText));
            } catch (Exception e) {
                e.printStackTrace();
                return ""Error"";
            }
            return encryptedString;
        }

        public static void main(String[] args) {
            String secretKey = ""XMzDdG4D03CKm2IxIWQw7g=="";
            String value1= ""ABCD"";
            String enctypedValue1= ""3uweh4pzoVyH1uODQmVNJA=="";
            String enctypedValue2= ""37PTC20w4DMZYjG3f+GWepSvAbEJUccMXwS/lXilLav1qM/PrCTdontw5/82OdC1zzyhDEsFVRGo rV6gXAQcm+Zai15hliiUQ8l8KRMtUl4="";
            String value4= ""20000"";

            /**  Ecnryption and decryption of value1 **/
            String encryptedValue1= symmetricEncrypt(value1, secretKey);
            String decryptedValue1 = symmetricDecrypt(encryptedValue1, secretKey);
            System.out.println(decryptedValue1);

            /**  Decryption of  enctypedValue1 **/
            String decryptedValue2 = symmetricDecrypt(enctypedValue1, secretKey);
            System.out.println(decryptedValue2);

            /**  Decryption of  enctypedValue2 **/
            String decryptedValue3 = symmetricDecrypt(enctypedValue2, secretKey);
            System.out.println(decryptedValue3);

            /**  Ecnryption and decryption of value4 **/
            String encryptedValue4= symmetricEncrypt(value4, secretKey);
            String decryptedValue4 = symmetricDecrypt(encryptedValue4, secretKey);
            System.out.println(decryptedValue4);
        }
    }
</code></pre>
","37804","<java><security><encryption-symmetric>","7","11","1","2017-02-11 12:49:46","17587813","5","4","1075247","","2016-09-21 14:08:41","2013-07-10 10:13:10",""
"748622","Differences Between Rijndael and AES","<p>I'm investigating encryption algorithms - can someone give me a quick rundown of the differences between Rijndael and AES?</p>
","<p>AES is a United States federal standard, <a href=""http://csrc.nist.gov/publications/fips/fips197/fips-197.pdf"" rel=""noreferrer"">FIPS 197</a>, which is a subset of <a href=""http://web.archive.org/web/20070711123800/http://csrc.nist.gov/CryptoToolkit/aes/rijndael/Rijndael-ammended.pdf"" rel=""noreferrer"">Rijndael</a>:</p>

<blockquote>
  <p>AES has a fixed block size of 128 bits and a key size of 128, 192, or 256 bits, whereas Rijndael can be specified with block and key sizes in any multiple of 32 bits, with a minimum of 128 bits and a maximum of 256 bits.</p>
</blockquote>

<p>From <a href=""http://en.wikipedia.org/wiki/Advanced_Encryption_Standard"" rel=""noreferrer"">Advanced Encryption Standard on Wikipedia</a>.</p>
","35433","<security><encryption><encryption-symmetric>","35","47","4","2017-02-03 15:34:55","748645","0","7","811","","2009-04-14 17:39:53","2009-04-14 17:33:10",""
"748622","Differences Between Rijndael and AES","<p>I'm investigating encryption algorithms - can someone give me a quick rundown of the differences between Rijndael and AES?</p>
","<p>Actually in the crisis of 3DES(Triple Data Encryption Standard) NIST decided to establish a new standard. AES is the standard actually taken by the algorithm based on Rijndael algo which is nothing but the combination of two research scientists name Dr. Rijmen and Dr. Daemen according to the algo they fixed the size of the block length to 128bits and the key size also 128 or 256 bit. Later at standardization it is mentioned in Advanced Encryption Technique (AES) that the symmetric block cipher with 128 bits can support 128,192 and 256 bits or 16,24 and 32 byte</p>
","35433","<security><encryption><encryption-symmetric>","35","5","4","2017-02-03 15:34:55","748645","0","7","811","","2009-04-14 17:39:53","2009-04-14 17:33:10",""
