post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>There is no difference between keystore and truststore files. Both are files in the proprietary JKS file format. The distinction is in the use: To the best of my knowledge, Java will only use the store that is referenced by the <code>-Djavax.net.ssl.trustStore</code> system property to look for certificates to trust when creating SSL connections. Same for keys and <code>-Djavax.net.ssl.keyStore</code>. But in theory it's fine to use one and the same file for trust- and keystores.</p>
","220903","<java><ssl><keytool><jce>","237","24","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>The terminology is a bit confusing indeed, but both <code>javax.net.ssl.keyStore</code> and <code>javax.net.ssl.trustStore</code> are used to specify which keystores to use, for two different purposes. Keystores come in various formats and are not even necessarily files (see <a href=""https://stackoverflow.com/questions/6157550/question-on-java-keystores/6157716#6157716"">this question</a>), and <code>keytool</code> is just a tool to perform various operations on them (import/export/list/...).</p>

<p>The <code>javax.net.ssl.keyStore</code> and <code>javax.net.ssl.trustStore</code> parameters are the default parameters used to build <code>KeyManager</code>s and <code>TrustManager</code>s (respectively), then used to build an <code>SSLContext</code> which essentially contains the SSL/TLS settings to use when making an SSL/TLS connection via an <code>SSLSocketFactory</code> or an <code>SSLEngine</code>. These system properties are just where the default values come from, which is then used by <code>SSLContext.getDefault()</code>, itself used by <code>SSLSocketFactory.getDefault()</code> for example. (All of this can be customized via the API in a number of places, if you don't want to use the default values and that specific <code>SSLContext</code>s for a given purpose.)</p>

<p>The difference between the <code>KeyManager</code> and <code>TrustManager</code> (and thus between <code>javax.net.ssl.keyStore</code> and <code>javax.net.ssl.trustStore</code>) is as follows (quoted from the <a href=""http://download.oracle.com/javase/6/docs/technotes/guides/security/jsse/JSSERefGuide.html#RelsTM_KM"" rel=""noreferrer"">JSSE ref guide</a>):</p>

<blockquote>
  <p>TrustManager:     Determines whether the
  remote authentication credentials (and
  thus the connection) should be
  trusted.</p>
  
  <p>KeyManager:   Determines which
  authentication credentials to send to
  the remote host.</p>
</blockquote>

<p>(Other parameters are available and their default values are described in the <a href=""http://download.oracle.com/javase/6/docs/technotes/guides/security/jsse/JSSERefGuide.html#Customization"" rel=""noreferrer"">JSSE ref guide</a>. Note that while there is a default value for the trust store, there isn't one for the key store.)</p>

<p>Essentially, the keystore in <code>javax.net.ssl.keyStore</code> is meant to contain your private keys and certificates, whereas the <code>javax.net.ssl.trustStore</code> is meant to contain the CA certificates you're willing to trust when a remote party presents its certificate. In some cases, they can be one and the same store, although it's often better practice to use distinct stores (especially when they're file-based).</p>
","220903","<java><ssl><keytool><jce>","237","323","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>Keystore is used by a server to store private keys, and Truststore is used by third party client to store public keys provided by server to access. I have done that in my production application. Below are the steps for generating java certificates for SSL communication:</p>

<ol>
<li>Generate a certificate using keygen command in windows:</li>
</ol>

<p><code>keytool -genkey -keystore server.keystore -alias mycert -keyalg RSA -keysize 2048 -validity 3950</code></p>

<ol start=""2"">
<li>Self certify the certificate:</li>
</ol>

<p><code>keytool -selfcert -alias mycert -keystore server.keystore -validity 3950</code></p>

<ol start=""3"">
<li>Export certificate to folder:</li>
</ol>

<p><code>keytool -export -alias mycert -keystore server.keystore -rfc -file mycert.cer</code></p>

<ol start=""4"">
<li>Import Certificate into client Truststore:</li>
</ol>

<p><code>keytool -importcert -alias mycert -file mycert.cer -keystore truststore</code></p>
","220903","<java><ssl><keytool><jce>","237","21","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>keystore simply stores private keys, wheras truststore stores public keys. You will want to generate a java certificate for SSL communication. You can use a keygen command in windows, this will probably be the most easy solution.</p>
","220903","<java><ssl><keytool><jce>","237","-1","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>To explain in common usecase/purpose or layman way: </p>

<blockquote>
  <p><strong>TrustStore</strong> : As the name indicates, its normally used to store the certificates
  of trusted entities. A process can maintain a store of certificates of all its trusted parties
  which  it trusts.</p>
  
  <p><strong>keyStore</strong> : Used to store the server keys (both public and private)
  along with signed cert.</p>
</blockquote>

<p>During the SSL handshake, </p>

<ol>
<li><p>A client tries to access https:// </p></li>
<li><p>And thus, Server responds by providing a SSL certificate (which is stored in its keyStore)</p></li>
<li><p>Now, the client receives the SSL certificate and verifies it via trustStore (i.e the client's trustStore already has pre-defined set of certificates which it trusts.). Its like : Can I trust this server ? Is this the same server whom I am trying to talk to ? No middle man attacks ?</p></li>
<li><p>Once, the client verifies that it is talking to server which it trusts, then SSL communication can happen over a shared secret key. </p></li>
</ol>

<p>Note : I am not talking here anything about client authentication on server side. If a server wants to do a client authentication too, then the server also maintains a trustStore to verify client.</p>
","220903","<java><ssl><keytool><jce>","237","49","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>In simplest terms :</p>

<p><strong>Keystore</strong> is used to store your credential (server or client) while <strong>truststore</strong> is used to store others credential (Certificates from CA).</p>

<p>Keystore is needed when you are setting up server side on SSL, it is used to store server's identity certificate, which server will present to a client on the connection while trust store setup on client side must contain to make the connection work. If you browser to connect to any website over SSL it verifies certificate presented by server against its truststore.</p>
","220903","<java><ssl><keytool><jce>","237","-1","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"6340918","Trust Store vs Key Store - creating with keytool","<p>I understand that the keystore would usually hold private/public keys and the trust store only public keys (and represents the list of trusted parties you intend to communicate with). Well, that's my first assumption, so if that's not correct, I probably haven't started very well...</p>

<p><strong>I was interested though in understanding how / when you distinguish the stores when using keytool.</strong></p>

<p>So, far I've created a keystore using</p>

<pre><code>keytool -import -alias bob -file bob.crt -keystore keystore.ks
</code></pre>

<p>which creates my keystore.ks file. I answer <code>yes</code> to the question do I trust bob but it is unclear to me if this has created a keystore file or a truststore file? I can set up my application to use the file as either.</p>

<pre><code>-Djavax.net.ssl.keyStore=keystore.ks -Djavax.net.ssl.keyStorePassword=x
-Djavax.net.ssl.trustStore=keystore.ks -Djavax.net.ssl.trustStorePassword=x
</code></pre>

<p>and with <code>System.setProperty( ""javax.net.debug"", ""ssl"")</code> set, I can see the certificate under trusted certifications (but not under the keystore section). The particular certificate I'm importing has only a public key and I intend to use it to send stuff over an SSL connection to Bob (but perhaps that's best left for another question!).</p>

<p>Any pointers or clarifications would be much appreciated. Is the output of keytool the same whatever you import and its just convention that says one is a keystore and the other a trust store? What's the relationship when using SSL etc?</p>
","<p>These are the steps to create a Truststore in your local machine using Keytool.
Steps to create truststore for a URL in your local machine.</p>

<p>1) Hit the url in the browser using chrome</p>

<p>2) Check for the <strong>""i""</strong> icon to the left of the url in the chrome and click it</p>

<p>3) Check for <strong>certificate option</strong> and click it and a Dialog box will open</p>

<p>4) check the <strong>""certificate path"" tab</strong> for the number of certificates available to create the truststore</p>

<p>5) Go the <code>""details"" tab -&gt; click""Copy to File"" -&gt; Give the path and the name for the certificate</code> you want to create.</p>

<p>6) Check if it has parent certificates and follow the point <strong>""5""</strong>.</p>

<p>7) After all the certificates are being create open Command Prompt and navigate to the path where you created the certificates.</p>

<p>8) provide the below Keytool command to add the certificates and create a truststore.</p>

<pre><code>Sample: 
   keytool -import -alias abcdefg -file abcdefg.cer -keystore cacerts
        where ""abcdefg"" is the alias name and ""abcdefg.cer"" is the actual certificate name and ""cacerts"" is the truststore name
</code></pre>

<p>9) Provide the keytool command for all the certificates and add them to the trust store.</p>

<pre><code>    keytool -list -v -keystore cacerts
</code></pre>
","220903","<java><ssl><keytool><jce>","237","0","7","2019-10-24 07:36:06","6341566","4","114","3885376","","2015-02-17 16:39:57","2011-06-14 08:23:14",""
"3103652","Hash String via SHA-256 in Java","<p>By looking around here as well as the internet in general, I have found <a href=""http://www.bouncycastle.org"" rel=""noreferrer"">Bouncy Castle</a>. I want to use Bouncy Castle (or some other freely available utility) to generate a SHA-256 Hash of a String in Java. Looking at their documentation I can't seem to find any good examples of what I want to do. Can anybody here help me out?</p>
","<p>To hash a string, use the built-in <a href=""http://docs.oracle.com/javase/8/docs/api/java/security/MessageDigest.html"" rel=""noreferrer"">MessageDigest</a> class:</p>

<pre><code>import java.security.MessageDigest;
import java.security.NoSuchAlgorithmException;
import java.nio.charset.StandardCharsets;
import java.math.BigInteger;

public class CryptoHash {
  public static void main(String[] args) throws NoSuchAlgorithmException {
    MessageDigest md = MessageDigest.getInstance(""SHA-256"");
    String text = ""Text to hash, cryptographically."";

    // Change this to UTF-16 if needed
    md.update(text.getBytes(StandardCharsets.UTF_8));
    byte[] digest = md.digest();

    String hex = String.format(""%064x"", new BigInteger(1, digest));
    System.out.println(hex);
  }
}
</code></pre>

<p>In the snippet above, <code>digest</code> contains the hashed string and <code>hex</code> contains a hexadecimal ASCII string with left zero padding.</p>
","191566","<java><bouncycastle><sha256><jce>","108","255","8","2018-10-02 14:41:20","3103722","0","42","276076","","2016-07-21 10:54:55","2010-06-23 16:41:31",""
"3103652","Hash String via SHA-256 in Java","<p>By looking around here as well as the internet in general, I have found <a href=""http://www.bouncycastle.org"" rel=""noreferrer"">Bouncy Castle</a>. I want to use Bouncy Castle (or some other freely available utility) to generate a SHA-256 Hash of a String in Java. Looking at their documentation I can't seem to find any good examples of what I want to do. Can anybody here help me out?</p>
","<p>When using hashcodes with any jce provider you first try to get an 
instance of the algorithm, then update it with the data you want to be hashed 
and when you are finished you call digest to get the hash value. </p>

<pre><code>MessageDigest sha = MessageDigest.getInstance(""SHA-256"");
sha.update(in.getBytes());
byte[] digest = sha.digest();
</code></pre>

<p>you can use the digest to get a base64 or hex encoded version according to your needs</p>
","191566","<java><bouncycastle><sha256><jce>","108","8","8","2018-10-02 14:41:20","3103722","0","42","276076","","2016-07-21 10:54:55","2010-06-23 16:41:31",""
"3103652","Hash String via SHA-256 in Java","<p>By looking around here as well as the internet in general, I have found <a href=""http://www.bouncycastle.org"" rel=""noreferrer"">Bouncy Castle</a>. I want to use Bouncy Castle (or some other freely available utility) to generate a SHA-256 Hash of a String in Java. Looking at their documentation I can't seem to find any good examples of what I want to do. Can anybody here help me out?</p>
","<p>This is already implemented in the runtime libs.</p>

<pre><code>public static String calc(InputStream is) {
    String output;
    int read;
    byte[] buffer = new byte[8192];

    try {
        MessageDigest digest = MessageDigest.getInstance(""SHA-256"");
        while ((read = is.read(buffer)) &gt; 0) {
            digest.update(buffer, 0, read);
        }
        byte[] hash = digest.digest();
        BigInteger bigInt = new BigInteger(1, hash);
        output = bigInt.toString(16);
        while ( output.length() &lt; 32 ) {
            output = ""0""+output;
        }
    } 
    catch (Exception e) {
        e.printStackTrace(System.err);
        return null;
    }

    return output;
}
</code></pre>

<p>In a JEE6+ environment one could also use JAXB <a href=""http://docs.oracle.com/javaee/6/api/javax/xml/bind/DatatypeConverter.html"" rel=""nofollow noreferrer"">DataTypeConverter</a>:</p>

<pre><code>import javax.xml.bind.DatatypeConverter;

String hash = DatatypeConverter.printHexBinary( 
           MessageDigest.getInstance(""MD5"").digest(""SOMESTRING"".getBytes(""UTF-8"")));
</code></pre>
","191566","<java><bouncycastle><sha256><jce>","108","30","8","2018-10-02 14:41:20","3103722","0","42","276076","","2016-07-21 10:54:55","2010-06-23 16:41:31",""
