post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"20770072","AES/CBC/PKCS5Padding vs AES/CBC/PKCS7Padding with 256 key size performance java","<p>I am currently using <code>AES/CBC/PKCS5Padding</code> for encrypting files in Java with <strong>256 bytes</strong> key size, but while searching I found on stackexchange <a href=""https://crypto.stackexchange.com/questions/9043/what-is-the-difference-between-pkcs5-padding-and-pkcs7-padding"">PKCS#5-PKCS#7 Padding</a> and  it is mentioned,</p>

<blockquote>
  <p>PKCS#5 padding is a subset of PKCS#7 padding for 8 byte block sizes</p>
</blockquote>

<p>So I want to know  </p>

<ol>
<li>Will the performance of <code>AES/CBC/PKCS7Padding</code> will be better then <code>AES/CBC/PKCS5Padding</code> for the above configuration?</li>
<li>How can we configure the block size in Java as it is mentioned

<blockquote>
  <p>PKCS#7 padding would work for any block size from 1 to 255 bytes.</p>
</blockquote></li>
</ol>

<p>My sample code is,</p>

<pre><code>SecureRandom rnd = new SecureRandom();
IvParameterSpec iv = new IvParameterSpec(rnd.generateSeed(16));

KeyGenerator generator = KeyGenerator.getInstance(""AES"");
generator.init(256);
SecretKey k = generator.generateKey();

Cipher c = Cipher.getInstance(""AES/CBC/PKCS5Padding"");
c.init(Cipher.ENCRYPT_MODE, k, iv);
</code></pre>
","<p>The block size is a property of the used cipher algorithm. For AES it is always 16 bytes.</p>

<p>So strictly speaking, PKCS5Padding cannot be used with AES since it is defined only for a block size of 8 bytes. I assume, AES/CBC/PKCS5Padding is interpreted as AES/CBC/PKCS7Padding internally.</p>

<p>The only difference between these padding schemes is that PKCS7Padding has the block size as a parameter, while for PKCS5Padding it is fixed at 8 bytes. When the Block size is 8 bytes they do exactly the same.</p>
","69899","<java><encryption><aes><pkcs#7><pkcs#5>","21","34","1","2017-02-14 04:58:03","20770158","0","16","-1","","2017-04-13 12:48:18","2013-12-25 07:10:52",""
"15814569","Import PKCS7 (Chained Certificate) using KeyTool command to JKS","<p>I have a CA issued CERT in PKCS#7 format. It has certificates (chained) within it.
Keytool does not recognize the PKCS7 format. I have tried OpenSSL tool to convert PKCS7 format certificate to PEM format and it fails. I receive an error message ""Unable to load PKCS7 object"".</p>

<p>How do I import the PKCS7 cert chain to my JKS?</p>
","<p>As you can read in the <a href=""http://docs.oracle.com/javase/6/docs/technotes/tools/solaris/keytool.html#importCertCmd"">keytool reference</a> for <strong><em>-importcert</em></strong> command:</p>

<blockquote>
  <p>Reads the certificate or certificate chain (where the latter is supplied in a PKCS#7 formatted reply) from the file cert_file, and stores it in the keystore entry identified by alias. If no file is given, the certificate or PKCS#7 reply is read from stdin.</p>
  
  <p>keytool can import X.509 v1, v2, and v3 certificates, and PKCS#7 formatted certificate chains consisting of certificates of that type.</p>
</blockquote>

<p>Try to import the PKCS7 cert as it is.</p>

<p>Though, it doesn't always work. If you have problems, try to do the following (using OpenSSL):</p>

<ol>
<li><p>Print all the certs it contains to a PEM file </p>

<p><code>OpenSSL&gt; pkcs7 -in initial_file.p7b -inform DER -print_certs -outform PEM -out certs_chain.pem</code></p></li>
<li><p>Open the new PEM file (<strong>certs_chain.pem</strong>) with an editor and delete everything outside <code>-----BEGIN CERTIFICATE-----</code> and <code>-----END CERTIFICATE-----</code> boundaries (keep only the encoded content within the boundaries, the certificates themselves) and save it.</p></li>
</ol>

<p>Now keytool should not have problems to import your cert, using <strong>certs_chain.pem</strong> as <code>cert_file</code></p>
","54829","<certificate><keytool><pkcs#7><jks>","8","9","2","2014-12-12 00:20:30","","0","1","64046","","2014-12-12 00:20:30","2013-04-04 14:48:07",""
"15814569","Import PKCS7 (Chained Certificate) using KeyTool command to JKS","<p>I have a CA issued CERT in PKCS#7 format. It has certificates (chained) within it.
Keytool does not recognize the PKCS7 format. I have tried OpenSSL tool to convert PKCS7 format certificate to PEM format and it fails. I receive an error message ""Unable to load PKCS7 object"".</p>

<p>How do I import the PKCS7 cert chain to my JKS?</p>
","<p>Another approach is to use IE to create an X.509 certificate. You can find the steps in my article on doing SSL between WLS and IIS at <a href=""http://techblog.fywservices.com/2012/10/establishing-weblogic-server-https-trust-of-iis-using-a-microsoft-local-certificate-authority/"" rel=""nofollow"">http://techblog.fywservices.com/2012/10/establishing-weblogic-server-https-trust-of-iis-using-a-microsoft-local-certificate-authority/</a></p>
","54829","<certificate><keytool><pkcs#7><jks>","8","0","2","2014-12-12 00:20:30","","0","1","64046","","2014-12-12 00:20:30","2013-04-04 14:48:07",""
"7314901","How to add/remove PKCS7 padding from an AES encrypted string?","<p>I'm trying to encrypt/decrypt a string using 128 bit AES encryption (ECB). What I want to know is how I can add/remove the PKCS7 padding to it. It seems that the Mcrypt extension can take care of the encryption/decryption, but the padding has to be added/removed manually.</p>

<p>Any ideas?</p>
","<p>Let's see. PKCS #7 is described in RFC 5652 (Cryptographic Message Syntax).</p>

<p>The padding scheme itself is given in section <a href=""http://tools.ietf.org/html/rfc5652#section-6.3"" rel=""noreferrer"">6.3.  Content-encryption Process</a>. It essentially says: append that many bytes as needed to fill the given block size (but at least one), and each of them should have the padding length as value.</p>

<p>Thus, looking at the last decrypted byte we know how many bytes to strip off. (One could also check that they all have the same value.)</p>

<p>I could now give you a pair of PHP functions to do this, but my PHP is a bit rusty. So either do this yourself (then feel free to edit my answer to add it in), or have a look at the <a href=""http://php.net/manual/en/function.mcrypt-encrypt.php#usernotes"" rel=""noreferrer"">user-contributed notes</a> to the mcrypt documentation - quite some of them are about padding and provide an implementation of PKCS #7 padding.</p>

<hr>

<p>So, let's look on the <a href=""http://www.php.net/manual/en/function.mcrypt-encrypt.php#105173"" rel=""noreferrer"">first note there</a> in detail:</p>

<pre><code>&lt;?php

function encrypt($str, $key)
 {
     $block = mcrypt_get_block_size('des', 'ecb');
</code></pre>

<p>This gets the block size of the used algorithm. In your case, you would use <code>aes</code> or <code>rijndael_128</code> instead of <code>des</code>, I suppose (I didn't test it). (Instead, you could simply take <code>16</code> here for AES, instead of invoking the function.)</p>

<pre><code>     $pad = $block - (strlen($str) % $block);
</code></pre>

<p>This calculates the padding size. <a href=""http://de3.php.net/manual/en/function.strlen.php"" rel=""noreferrer""><code>strlen($str)</code></a> is the length of your data (in bytes), <code>% $block</code> gives the remainder modulo <code>$block</code>, i.e. the number of data bytes in the last block. <code>$block - ...</code> thus gives the number of bytes needed to fill this last block (this is now a number between <code>1</code> and <code>$block</code>, inclusive).</p>

<pre><code>     $str .= str_repeat(chr($pad), $pad);
</code></pre>

<p><a href=""http://de3.php.net/manual/en/function.str-repeat.php"" rel=""noreferrer""><code>str_repeat</code></a> produces a string consisting of a repetition of the same string, here a repetition of the <a href=""http://de3.php.net/manual/en/function.chr.php"" rel=""noreferrer"">character given by</a> <code>$pad</code>, <code>$pad</code> times, i.e. a string of length <code>$pad</code>, filled with <code>$pad</code>.
<code>$str .= ...</code> appends this padding string to the original data.</p>

<pre><code>     return mcrypt_encrypt(MCRYPT_DES, $key, $str, MCRYPT_MODE_ECB);
</code></pre>

<p>Here is the encryption itself. Use <a href=""http://de3.php.net/manual/en/mcrypt.ciphers.php"" rel=""noreferrer""><code>MCRYPT_RIJNDAEL_128</code></a> instead of <code>MCRYPT_DES</code>.</p>

<pre><code> }
</code></pre>

<p>Now the other direction:</p>

<pre><code> function decrypt($str, $key)
 {   
     $str = mcrypt_decrypt(MCRYPT_DES, $key, $str, MCRYPT_MODE_ECB);
</code></pre>

<p>The decryption. (You would of course change the algorithm, as above). $str is now the decrypted string, including the padding.</p>

<pre><code>     $block = mcrypt_get_block_size('des', 'ecb');
</code></pre>

<p>This is again the block size. (See above.)</p>

<pre><code>     $pad = ord($str[($len = strlen($str)) - 1]);
</code></pre>

<p>This looks a bit strange. Better write it in multiple steps:</p>

<pre><code>    $len = strlen($str);
    $pad = ord($str[$len-1]);
</code></pre>

<p><code>$len</code> is now the length of the padded string, and <code>$str[$len - 1]</code> is the last character of this string. <a href=""http://de3.php.net/manual/en/function.ord.php"" rel=""noreferrer""><code>ord</code></a> converts this to a number. Thus <code>$pad</code> is the number which we previously used as the fill value for the padding, and this is the padding length.</p>

<pre><code>     return substr($str, 0, strlen($str) - $pad);
</code></pre>

<p>So now we cut off the last <code>$pad</code> bytes from the string. (Instead of <code>strlen($str)</code> we could also write <code>$len</code> here: <code>substr($str, 0, $len - $pad)</code>.).</p>

<pre><code> }

?&gt;
</code></pre>

<p>Note that instead of using <code>substr($str, $len - $pad)</code>, one can also write <code>substr($str, -$pad)</code>, as the <code>substr</code> function in PHP has a special-handling for negative operands/arguments, to count from the end of the string. (I don't know if this is more or less efficient than getting the length first and and calculating the index manually.)</p>

<p>As said before and noted in the comment by rossum, instead of simply stripping off the padding like done here, you should check that it is correct - i.e. look at <code>substr($str, $len - $pad)</code>, and check that all its bytes are <code>chr($pad)</code>. This serves as a slight check against corruption (although this check is more effective if you use a chaining mode instead of ECB, and is not a replacement for a real MAC).</p>

<hr>

<p>(And still, tell your client they should think about changing to a more secure mode than ECB.)</p>
","35341","<php><encryption><aes><mcrypt><pkcs#7>","17","55","3","2017-12-22 10:42:11","7324793","4","16","49153","","2011-09-07 02:27:42","2011-09-06 04:23:54",""
"7314901","How to add/remove PKCS7 padding from an AES encrypted string?","<p>I'm trying to encrypt/decrypt a string using 128 bit AES encryption (ECB). What I want to know is how I can add/remove the PKCS7 padding to it. It seems that the Mcrypt extension can take care of the encryption/decryption, but the padding has to be added/removed manually.</p>

<p>Any ideas?</p>
","<p>I've created two methods to perform the padding and unpadding. The functions are documented using <code>phpdoc</code> and require PHP 5. As you will notice the unpad function contains a lot of exception handling, generating not less than 4 different messages for each possible error.</p>

<p>To get to the block size for PHP mcrypt, you can use <a href=""http://php.net/manual/en/function.mcrypt-get-block-size.php"" rel=""nofollow noreferrer""><code>mcrypt_get_block_size</code></a>, which also defines the block size to be in bytes instead of bits.</p>

<pre><code>/**
 * Right-pads the data string with 1 to n bytes according to PKCS#7,
 * where n is the block size.
 * The size of the result is x times n, where x is at least 1.
 * 
 * The version of PKCS#7 padding used is the one defined in RFC 5652 chapter 6.3.
 * This padding is identical to PKCS#5 padding for 8 byte block ciphers such as DES.
 *
 * @param string $plaintext the plaintext encoded as a string containing bytes
 * @param integer $blocksize the block size of the cipher in bytes
 * @return string the padded plaintext
 */
function pkcs7pad($plaintext, $blocksize)
{
    $padsize = $blocksize - (strlen($plaintext) % $blocksize);
    return $plaintext . str_repeat(chr($padsize), $padsize);
}

/**
 * Validates and unpads the padded plaintext according to PKCS#7.
 * The resulting plaintext will be 1 to n bytes smaller depending on the amount of padding,
 * where n is the block size.
 *
 * The user is required to make sure that plaintext and padding oracles do not apply,
 * for instance by providing integrity and authenticity to the IV and ciphertext using a HMAC.
 *
 * Note that errors during uppadding may occur if the integrity of the ciphertext
 * is not validated or if the key is incorrect. A wrong key, IV or ciphertext may all
 * lead to errors within this method.
 *
 * The version of PKCS#7 padding used is the one defined in RFC 5652 chapter 6.3.
 * This padding is identical to PKCS#5 padding for 8 byte block ciphers such as DES.
 *
 * @param string padded the padded plaintext encoded as a string containing bytes
 * @param integer $blocksize the block size of the cipher in bytes
 * @return string the unpadded plaintext
 * @throws Exception if the unpadding failed
 */
function pkcs7unpad($padded, $blocksize)
{
    $l = strlen($padded);

    if ($l % $blocksize != 0) 
    {
        throw new Exception(""Padded plaintext cannot be divided by the block size"");
    }

    $padsize = ord($padded[$l - 1]);

    if ($padsize === 0)
    {
        throw new Exception(""Zero padding found instead of PKCS#7 padding"");
    }    

    if ($padsize &gt; $blocksize)
    {
        throw new Exception(""Incorrect amount of PKCS#7 padding for blocksize"");
    }

    // check the correctness of the padding bytes by counting the occurance
    $padding = substr($padded, -1 * $padsize);
    if (substr_count($padding, chr($padsize)) != $padsize)
    {
        throw new Exception(""Invalid PKCS#7 padding encountered"");
    }

    return substr($padded, 0, $l - $padsize);
}
</code></pre>

<p>This does not invalidate the answer of Paŭlo Ebermann in any way, it's basically the same answer in code &amp; phpdoc instead of as description.</p>

<hr>

<p>Note that returning a padding error to an attacker might result in a <em>padding oracle attack</em> which completely breaks CBC (when CBC is used instead of ECB or a secure authenticated cipher).</p>
","35341","<php><encryption><aes><mcrypt><pkcs#7>","17","8","3","2017-12-22 10:42:11","7324793","4","16","49153","","2011-09-07 02:27:42","2011-09-06 04:23:54",""
"7314901","How to add/remove PKCS7 padding from an AES encrypted string?","<p>I'm trying to encrypt/decrypt a string using 128 bit AES encryption (ECB). What I want to know is how I can add/remove the PKCS7 padding to it. It seems that the Mcrypt extension can take care of the encryption/decryption, but the padding has to be added/removed manually.</p>

<p>Any ideas?</p>
","<p>Just call the following function after you decrypt the data</p>

<pre><code>function removePadding($decryptedText){
    $strPad = ord($decryptedText[strlen($decryptedText)-1]);
    $decryptedText= substr($decryptedText, 0, -$strPad);
    return $decryptedText;
}
</code></pre>
","35341","<php><encryption><aes><mcrypt><pkcs#7>","17","0","3","2017-12-22 10:42:11","7324793","4","16","49153","","2011-09-07 02:27:42","2011-09-06 04:23:54",""
"29232705","Encrypt text to AES/CBC/PKCS7Padding","<p>I am developing a web application to encrypt some texts with java 6. </p>

<p>The encrypted that I have to do is a AES (Rijndael) in CBC mode with PKCS7 padding and a 128-bit key.</p>

<p>I saw an article that explains how to encrypt in the same way I have to do, but with PKCS5 padding.</p>

<p>The link of the article is here:</p>

<p><a href=""https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/"" rel=""noreferrer"">https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/</a></p>

<p>I change </p>

<pre><code>private final static String cI = ""AES/CBC/PKCS5Padding"";
</code></pre>

<p>To</p>

<pre><code>private final static String cI = ""AES/CBC/PKCS7Padding"";
</code></pre>

<p>But Java couldn't find a provider for this.</p>

<p>Could someone tell me how I have to do?</p>
","<p>The Java specification list a number of encryption modes (and paddings) that needs to be supported. <code>PKCS7Padding</code> is not included.  </p>

<p>These are the AES/CBC modes any Java implementation must support.</p>

<ul>
<li>AES/CBC/NoPadding (128 bit key)</li>
<li>AES/CBC/PKCS5Padding (128 bit key)</li>
</ul>

<p>(See <a href=""https://stackoverflow.com/questions/10935068/what-are-the-cipher-padding-strings-in-java/10935308#10935308"">this answer</a> for more information)</p>

<p><a href=""http://www.bouncycastle.org"" rel=""nofollow noreferrer"">Bouncy Castle</a> does however have what you need.</p>
","30261","<java><encryption><aes><pkcs#7>","8","2","3","2017-05-08 22:56:05","29234136","1","3","1816580","","2015-03-24 19:21:27","2015-03-24 12:30:45",""
"29232705","Encrypt text to AES/CBC/PKCS7Padding","<p>I am developing a web application to encrypt some texts with java 6. </p>

<p>The encrypted that I have to do is a AES (Rijndael) in CBC mode with PKCS7 padding and a 128-bit key.</p>

<p>I saw an article that explains how to encrypt in the same way I have to do, but with PKCS5 padding.</p>

<p>The link of the article is here:</p>

<p><a href=""https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/"" rel=""noreferrer"">https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/</a></p>

<p>I change </p>

<pre><code>private final static String cI = ""AES/CBC/PKCS5Padding"";
</code></pre>

<p>To</p>

<pre><code>private final static String cI = ""AES/CBC/PKCS7Padding"";
</code></pre>

<p>But Java couldn't find a provider for this.</p>

<p>Could someone tell me how I have to do?</p>
","<p>Java only provides PKCS#5 padding, but it is the same as PKCS#7 padding. See this question on Crypto.SE:</p>

<p><a href=""https://crypto.stackexchange.com/questions/9043/what-is-the-difference-between-pkcs5-padding-and-pkcs7-padding"">What is the difference between PKCS#5 padding and PKCS#7 padding</a></p>

<p>They are interchangeable for the common block ciphers like AES and DES.</p>
","30261","<java><encryption><aes><pkcs#7>","8","18","3","2017-05-08 22:56:05","29234136","1","3","1816580","","2015-03-24 19:21:27","2015-03-24 12:30:45",""
"29232705","Encrypt text to AES/CBC/PKCS7Padding","<p>I am developing a web application to encrypt some texts with java 6. </p>

<p>The encrypted that I have to do is a AES (Rijndael) in CBC mode with PKCS7 padding and a 128-bit key.</p>

<p>I saw an article that explains how to encrypt in the same way I have to do, but with PKCS5 padding.</p>

<p>The link of the article is here:</p>

<p><a href=""https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/"" rel=""noreferrer"">https://bit502.wordpress.com/2014/06/27/codigo-java-encriptar-y-desencriptar-texto-usando-el-algoritmo-aes-con-cifrado-por-bloques-cbc-de-128-bits/</a></p>

<p>I change </p>

<pre><code>private final static String cI = ""AES/CBC/PKCS5Padding"";
</code></pre>

<p>To</p>

<pre><code>private final static String cI = ""AES/CBC/PKCS7Padding"";
</code></pre>

<p>But Java couldn't find a provider for this.</p>

<p>Could someone tell me how I have to do?</p>
","<p>Try this method</p>

<pre><code>String KEY_AES = ""**************"";
public String encrypt(String value) {
        try {
            byte[] key = KEY_AES.getBytes(""UTF-8"");
            byte[] ivs = KEY_AES.getBytes(""UTF-8"");
            Cipher cipher = Cipher.getInstance(""AES/CBC/PKCS7Padding"");
            SecretKeySpec secretKeySpec = new SecretKeySpec(key, ""AES"");
            AlgorithmParameterSpec paramSpec = new IvParameterSpec(ivs);
            cipher.init(Cipher.ENCRYPT_MODE, secretKeySpec, paramSpec);
            return Base64.encodeToString(cipher.doFinal(value.getBytes(""UTF-8"")), Base64.DEFAULT);
        } catch (Exception e) {
            e.printStackTrace();
        }
        return null;
    }
</code></pre>
","30261","<java><encryption><aes><pkcs#7>","8","3","3","2017-05-08 22:56:05","29234136","1","3","1816580","","2015-03-24 19:21:27","2015-03-24 12:30:45",""
"19635499","Not able to load P7B file into keystore file","<p>I received a new certificate in <code>crt</code> / <code>cert</code> format. When I open this file in a text editor they added the complete certificate chain to this file. Each certificate starts with:</p>

<pre><code>-----BEGIN CERTIFICATE-----
</code></pre>

<p>And ends with:</p>

<pre><code>-----END CERTIFICATE-----
</code></pre>

<p>There are no empty lines in between. Since I am not keen with <code>openssl</code>, I opened up the certificate into Windows and exported the certificate with the complete chain in <code>PKCS#7</code> format (test.p7b). When I open this file all looks fine in Windows and the root, intermediate and the certificate are all their in the chain.</p>

<p>When I put the file <code>test.p7b</code> on the server and try to import this with <code>keytool</code> as follows:</p>

<pre><code>keytool -import -trustcacerts -alias my.domain.com -keystore my.domain.keystore -keypass changeme -storepass changeme -file test.p7b
</code></pre>

<p>I get the following error:</p>

<pre><code>keytool error: java.lang.Exception: Input not an X.509 certificate
</code></pre>

<p>When I test the P7B file I also get errors:</p>

<pre><code>bash-4.1$ openssl x509 -in test.p7b -text
unable to load certificate
140009984849736:error:0906D06C:PEM routines:PEM_read_bio:no start line:pem_lib.c:698:Expecting: TRUSTED CERTIFICATE
</code></pre>

<p>or:</p>

<pre><code>bash-4.1$ openssl x509 -in test.p7b -inform DER -text
unable to load certificate
140396587853640:error:0D0680A8:asn1 encoding routines:ASN1_CHECK_TLEN:wrong tag:tasn_dec.c:1320:
140396587853640:error:0D07803A:asn1 encoding routines:ASN1_ITEM_EX_D2I:nested asn1 error:tasn_dec.c:382:Type=X509_CINF
140396587853640:error:0D08303A:asn1 encoding routines:ASN1_TEMPLATE_NOEXP_D2I:nested asn1 error:tasn_dec.c:752:Field=cert_info, Type=X509
</code></pre>

<p>Can someone help me out?</p>
","<p>When importing a certificate chain, keytool expects the certificates to be loaded in DER form. You can create such a bundle with openssl:</p>

<p>1 - Convert all certificates in DER format </p>

<pre><code>openssl x509 -in certificate.pem -outform DER -out certificate.crt
</code></pre>

<p>2 - Concat all DER certificates into one single file</p>

<pre><code>cat cert1.crt cert2.crt ... &gt; chain.der
</code></pre>

<p>3 - Now you can import the chain into your keystore with keytool </p>

<pre><code>keytool -importcert -trustcacerts -alias &lt;myalias&gt; -file chain.der -keystore keystore.jks -storepass &lt;mypassword&gt;
</code></pre>

<p>Note that <code>myalias</code> <strong>MUST be the same</strong> as the one used when the key was generated.</p>

<p>4 - verify that the chain was successfully imported</p>

<pre><code>keytool -list -v -keystore keystore.jks
</code></pre>
","24421","<openssl><certificate><keystore><keytool><pkcs#7>","6","4","1","2013-10-28 14:20:52","19637262","2","5","1800695","","2013-10-28 13:55:07","2013-10-28 13:00:17",""
