post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"13732826","Convert .pem to .crt and .key","<p>Can anyone tell me the correct way/command to extract/convert the certificate <code>.crt</code> and private key <code>.key</code> files from a <code>.pem</code> file? I just read they are interchangable, but not how.</p>
","<p>I was able to convert pem to crt using this:</p>

<pre><code>openssl x509 -outform der -in your-cert.pem -out your-cert.crt
</code></pre>
","585219","<ssl><certificate><private-key>","312","439","5","2019-11-08 10:13:21","14484363","2","149","","","","2012-12-05 21:30:54",""
"13732826","Convert .pem to .crt and .key","<p>Can anyone tell me the correct way/command to extract/convert the certificate <code>.crt</code> and private key <code>.key</code> files from a <code>.pem</code> file? I just read they are interchangable, but not how.</p>
","<p><strong>Converting Using OpenSSL</strong></p>

<p>These commands allow you to convert certificates and keys to different formats to make them compatible with specific types of servers or software.</p>

<ul>
<li><p>Convert a DER file (.crt .cer .der) to PEM</p>

<pre><code>openssl x509 -inform der -in certificate.cer -out certificate.pem
</code></pre></li>
<li><p>Convert a PEM file to DER</p>

<pre><code>openssl x509 -outform der -in certificate.pem -out certificate.der
</code></pre></li>
<li><p>Convert a PKCS#12 file (.pfx .p12) containing a private key and certificates to PEM</p>

<pre><code>openssl pkcs12 -in keyStore.pfx -out keyStore.pem -nodes

You can add -nocerts to only output the private key or add -nokeys to only output the certificates.
</code></pre></li>
<li><p>Convert a PEM certificate file and a private key to PKCS#12 (.pfx .p12)</p>

<pre><code>openssl pkcs12 -export -out certificate.pfx -inkey privateKey.key -in certificate.crt -certfile CACert.crt
</code></pre></li>
<li><p>Convert PEM to CRT (.CRT file)</p>

<pre><code>openssl x509 -outform der -in certificate.pem -out certificate.crt
</code></pre></li>
</ul>

<p><strong>OpenSSL Convert PEM</strong></p>

<ul>
<li><p>Convert PEM to DER</p>

<pre><code>openssl x509 -outform der -in certificate.pem -out certificate.der
</code></pre></li>
<li><p>Convert PEM to P7B</p>

<pre><code>openssl crl2pkcs7 -nocrl -certfile certificate.cer -out certificate.p7b -certfile CACert.cer
</code></pre></li>
<li><p>Convert PEM to PFX</p>

<pre><code>openssl pkcs12 -export -out certificate.pfx -inkey privateKey.key -in certificate.crt -certfile CACert.crt
</code></pre></li>
</ul>

<p><strong>OpenSSL Convert DER</strong></p>

<ul>
<li><p>Convert DER to PEM</p>

<pre><code>openssl x509 -inform der -in certificate.cer -out certificate.pem
</code></pre></li>
</ul>

<p><strong>OpenSSL Convert P7B</strong></p>

<ul>
<li><p>Convert P7B to PEM</p>

<pre><code>openssl pkcs7 -print_certs -in certificate.p7b -out certificate.cer
</code></pre></li>
<li><p>Convert P7B to PFX</p>

<pre><code>openssl pkcs7 -print_certs -in certificate.p7b -out certificate.cer

openssl pkcs12 -export -in certificate.cer -inkey privateKey.key -out certificate.pfx -certfile CACert.cer
</code></pre></li>
</ul>

<p><strong>OpenSSL Convert PFX</strong></p>

<ul>
<li><p>Convert PFX to PEM</p>

<pre><code>openssl pkcs12 -in certificate.pfx -out certificate.cer -nodes
</code></pre></li>
</ul>

<p><strong>Generate rsa keys by OpenSSL</strong></p>

<ul>
<li><p>Using OpenSSL on the command line you’d first need to generate a public and private key, you should password protect this file using the -passout argument, there are many different forms that this argument can take so consult the OpenSSL documentation about that.</p>

<pre><code>openssl genrsa -out private.pem 1024
</code></pre></li>
<li><p>This creates a key file called private.pem that uses 1024 bits. This file actually have both the private and public keys, so you should extract the public one from this file:</p>

<pre><code>openssl rsa -in private.pem -out public.pem -outform PEM -pubout

or

openssl rsa -in private.pem -pubout &gt; public.pem

or

openssl rsa -in private.pem -pubout -out public.pem
</code></pre>

<blockquote>
  <p>You’ll now have public.pem containing just your public key, you can freely share this with 3rd parties.
  You can test it all by just encrypting something yourself using your public key and then decrypting using your private key, first we need a bit of data to encrypt:</p>
</blockquote></li>
<li><p>Example file :</p>

<pre><code>echo 'too many secrets' &gt; file.txt
</code></pre></li>
<li><p>You now have some data in file.txt, lets encrypt it using OpenSSL and
the public key:</p>

<pre><code>openssl rsautl -encrypt -inkey public.pem -pubin -in file.txt -out file.ssl
</code></pre></li>
<li><p>This creates an encrypted version of file.txt calling it file.ssl, if
you look at this file it’s just binary junk, nothing very useful to
anyone. Now you can unencrypt it using the private key:</p>

<pre><code>openssl rsautl -decrypt -inkey private.pem -in file.ssl -out decrypted.txt
</code></pre></li>
<li><p>You will now have an unencrypted file in decrypted.txt:</p>

<pre><code>cat decrypted.txt
|output -&gt; too many secrets
</code></pre></li>
</ul>

<p><strong>RSA TOOLS Options in OpenSSL</strong></p>

<ul>
<li><p><strong>NAME</strong></p>

<blockquote>
  <p>rsa - RSA key processing tool</p>
</blockquote></li>
<li><p><strong>SYNOPSIS</strong></p>

<blockquote>
  <p>openssl rsa [-help] [-inform PEM|NET|DER] [-outform PEM|NET|DER] [-in filename] [-passin arg] [-out filename] [-passout arg] [-aes128] [-aes192] [-aes256] [-camellia128] [-camellia192] [-camellia256] [-des] [-des3] [-idea] [-text] [-noout] [-modulus] [-check] [-pubin] [-pubout] [-RSAPublicKey_in] [-RSAPublicKey_out] [-engine id]</p>
</blockquote></li>
<li><p><strong>DESCRIPTION</strong></p>

<blockquote>
  <p>The rsa command processes RSA keys. They can be converted between various forms and their components printed out. Note this command uses the traditional SSLeay compatible format for private key encryption: newer applications should use the more secure PKCS#8 format using the pkcs8 utility.</p>
</blockquote></li>
<li><p><strong>COMMAND OPTIONS</strong></p>

<pre><code>-help
</code></pre>

<blockquote>
  <p>Print out a usage message.</p>
</blockquote>

<pre><code>-inform DER|NET|PEM
</code></pre>

<blockquote>
  <p>This specifies the input format. The DER option uses an ASN1 DER encoded form compatible with the PKCS#1 RSAPrivateKey or SubjectPublicKeyInfo format. The PEM form is the default format: it consists of the DER format base64 encoded with additional header and footer lines. On input PKCS#8 format private keys are also accepted. The NET form is a format is described in the NOTES section.</p>
</blockquote>

<pre><code>-outform DER|NET|PEM
</code></pre>

<blockquote>
  <p>This specifies the output format, the options have the same meaning as the -inform option.</p>
</blockquote>

<pre><code>-in filename
</code></pre>

<blockquote>
  <p>This specifies the input filename to read a key from or standard input if this option is not specified. If the key is encrypted a pass phrase will be prompted for.</p>
</blockquote>

<pre><code>-passin arg
</code></pre>

<blockquote>
  <p>the input file password source. For more information about the format of arg see the PASS PHRASE ARGUMENTS section in openssl.</p>
</blockquote>

<pre><code>-out filename
</code></pre>

<blockquote>
  <p>This specifies the output filename to write a key to or standard output if this option is not specified. If any encryption options are set then a pass phrase will be prompted for. The output filename should not be the same as the input filename.</p>
</blockquote>

<pre><code>-passout password
</code></pre>

<blockquote>
  <p>the output file password source. For more information about the format of arg see the PASS PHRASE ARGUMENTS section in openssl.</p>
</blockquote>

<pre><code>-aes128|-aes192|-aes256|-camellia128|-camellia192|-camellia256|-des|-des3|-idea
</code></pre>

<blockquote>
  <p>These options encrypt the private key with the specified cipher before outputting it. A pass phrase is prompted for. If none of these options is specified the key is written in plain text. This means that using the rsa utility to read in an encrypted key with no encryption option can be used to remove the pass phrase from a key, or by setting the encryption options it can be use to add or change the pass phrase. These options can only be used with PEM format output files.</p>
</blockquote>

<pre><code>-text
</code></pre>

<blockquote>
  <p>prints out the various public or private key components in plain text in addition to the encoded version.</p>
</blockquote>

<pre><code>-noout
</code></pre>

<blockquote>
  <p>this option prevents output of the encoded version of the key.</p>
</blockquote>

<pre><code>-modulus
</code></pre>

<blockquote>
  <p>this option prints out the value of the modulus of the key.</p>
</blockquote>

<pre><code>-check
</code></pre>

<blockquote>
  <p>this option checks the consistency of an RSA private key.</p>
</blockquote>

<pre><code>-pubin
</code></pre>

<blockquote>
  <p>by default a private key is read from the input file: with this option a public key is read instead.</p>
</blockquote>

<pre><code>-pubout
</code></pre>

<blockquote>
  <p>by default a private key is output: with this option a public key will be output instead. This option is automatically set if the input is a public key.</p>
</blockquote>

<pre><code>-RSAPublicKey_in, -RSAPublicKey_out
</code></pre>

<blockquote>
  <p>like -pubin and -pubout except RSAPublicKey format is used instead.</p>
</blockquote>

<pre><code>-engine id
</code></pre>

<blockquote>
  <p>specifying an engine (by its unique id string) will cause rsa to attempt to obtain a functional reference to the specified engine, thus initialising it if needed. The engine will then be set as the default for all available algorithms.</p>
</blockquote></li>
<li><p><strong>NOTES</strong></p>

<p>The PEM private key format uses the header and footer lines:</p>

<pre><code>-----BEGIN RSA PRIVATE KEY-----

-----END RSA PRIVATE KEY-----
</code></pre>

<p>The PEM public key format uses the header and footer lines:</p>

<pre><code>-----BEGIN PUBLIC KEY-----

-----END PUBLIC KEY-----
</code></pre>

<p>The PEM RSAPublicKey format uses the header and footer lines:</p>

<pre><code>-----BEGIN RSA PUBLIC KEY-----

-----END RSA PUBLIC KEY-----
</code></pre>

<blockquote>
  <p>The NET form is a format compatible with older Netscape servers and Microsoft IIS .key files, this uses unsalted RC4 for its encryption. It is not very secure and so should only be used when necessary.</p>
  
  <p>Some newer version of IIS have additional data in the exported .key files. To use these with the utility, view the file with a binary editor and look for the string ""private-key"", then trace back to the byte sequence 0x30, 0x82 (this is an ASN1 SEQUENCE). Copy all the data from this point onwards to another file and use that as the input to the rsa utility with the -inform NET option.</p>
</blockquote>

<p><strong>EXAMPLES</strong></p>

<p>To remove the pass phrase on an RSA private key:</p>

<pre><code> openssl rsa -in key.pem -out keyout.pem
</code></pre>

<p>To encrypt a private key using triple DES:</p>

<pre><code> openssl rsa -in key.pem -des3 -out keyout.pem
</code></pre>

<p>To convert a private key from PEM to DER format:</p>

<pre><code>  openssl rsa -in key.pem -outform DER -out keyout.der
</code></pre>

<p>To print out the components of a private key to standard output:</p>

<pre><code>  openssl rsa -in key.pem -text -noout
</code></pre>

<p>To just output the public part of a private key:</p>

<pre><code>  openssl rsa -in key.pem -pubout -out pubkey.pem
</code></pre>

<p>Output the public part of a private key in RSAPublicKey format:</p>

<pre><code>  openssl rsa -in key.pem -RSAPublicKey_out -out pubkey.pem
</code></pre></li>
</ul>
","585219","<ssl><certificate><private-key>","312","333","5","2019-11-08 10:13:21","14484363","2","149","","","","2012-12-05 21:30:54",""
"13732826","Convert .pem to .crt and .key","<p>Can anyone tell me the correct way/command to extract/convert the certificate <code>.crt</code> and private key <code>.key</code> files from a <code>.pem</code> file? I just read they are interchangable, but not how.</p>
","<p>To extract the key and cert from a pem file:</p>

<h3>Extract key</h3>

<pre><code>openssl pkey -in foo.pem -out foo.key
</code></pre>

<p>Another method of extracting the key...</p>

<pre><code>openssl rsa -in foo.pem -out foo.key
</code></pre>

<h3>Extract all the certs, including the CA Chain</h3>

<pre><code>openssl crl2pkcs7 -nocrl -certfile foo.pem | openssl pkcs7 -print_certs -out foo.cert
</code></pre>

<h3>Extract the textually first cert as DER</h3>

<pre><code>openssl x509 -in foo.pem -outform DER -out first-cert.der
</code></pre>
","585219","<ssl><certificate><private-key>","312","35","5","2019-11-08 10:13:21","14484363","2","149","","","","2012-12-05 21:30:54",""
"13732826","Convert .pem to .crt and .key","<p>Can anyone tell me the correct way/command to extract/convert the certificate <code>.crt</code> and private key <code>.key</code> files from a <code>.pem</code> file? I just read they are interchangable, but not how.</p>
","<p>A .crt stores the certificate..  in pem format.  So a .pem, while it can also have other things like a csr (Certificate signing request), a private key, a public key, or other certs, when it is storing just a cert, is the same thing as a .crt.</p>

<p>A pem is a base 64 encoded file with a header and a footer between each section.</p>

<p>To extract a particular section, a perl script such as the following is totally valid, but feel free to use some of the openssl commands.</p>

<pre><code> perl -ne ""\$n++ if /BEGIN/; print if \$n == 1 &amp;&amp; /BEGIN/.../END/;"" mydomain.pem
</code></pre>

<p>where ==1 can be changed to which ever section you need.  Obviously if you know exactly the header and footer you require and there is only one of those in the file (usually the case if you keep just the cert and the key in there), you can simplify it:</p>

<pre><code> perl -ne ""print if /^-----BEGIN CERTIFICATE-----\$/.../END/;"" mydomain.pem
</code></pre>
","585219","<ssl><certificate><private-key>","312","2","5","2019-11-08 10:13:21","14484363","2","149","","","","2012-12-05 21:30:54",""
"13732826","Convert .pem to .crt and .key","<p>Can anyone tell me the correct way/command to extract/convert the certificate <code>.crt</code> and private key <code>.key</code> files from a <code>.pem</code> file? I just read they are interchangable, but not how.</p>
","<p>If you asked this question because you're using <code>mkcert</code> then the trick is that the <code>.pem</code> file is the cert and the <code>-key.pem</code> file is the key.</p>

<p>(You don't need to convert, just run <code>mkcert yourdomain.dev otherdomain.dev</code> )</p>
","585219","<ssl><certificate><private-key>","312","-1","5","2019-11-08 10:13:21","14484363","2","149","","","","2012-12-05 21:30:54",""
"18460035","Unable to load Private Key. (PEM routines:PEM_read_bio:no start line:pem_lib.c:648:Expecting: ANY PRIVATE KEY)","<p>I have a .key file which is PEM formatted private key file. I didn't make this file but I got this from somewhere.</p>

<p>I wanted to see its MD5 hash with openssl tool like below command.</p>

<pre><code>openssl rsa -in server.key -modulus -noout
</code></pre>

<p>But this generates below error.</p>

<pre><code>unable to load Private Key
13440:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib.c:648:Expecting: ANY PRIVATE KEY
</code></pre>

<p>Here's some asn1parse of the .key file.</p>

<pre><code>openssl asn1parse -in server.key
0:d=0  hl=4 l= 603 cons: SEQUENCE
4:d=1  hl=2 l=   1 prim: INTEGER           :00
7:d=1  hl=3 l= 129 prim: INTEGER           :C141201603899993919CBAA56985E9C7
C6A2AF713A02F5FE88D38CEFBED9304599689280B84B0AB577A9719CA20DDA1246A894AF397A2C57
EE5A582B036CC367E3667454DCD82DBDBF187C35FE39F61C71B517DDDF576F5471B4EC2E045E0F9D
619F5616C4E832F00CBD0DBF41B4BA3CBC4B4B603AE1FE61965917DA732E0DEF
139:d=1  hl=2 l=   3 prim: INTEGER           :010001
144:d=1  hl=3 l= 128 prim: INTEGER           :1687B9AE67562CEDEBDD7A531B84CDB7
093CE138519B93C34B7F626076FF0A262B16EA71904ACB6251A39307C04ADE202055BA13DD9F1539
6123EE408183361A9BC08B9413FA360EA928E48CC3F52B33ACF2980758F02BA2139F652F30A257C2
2E45D7C25835FC4D22B9ECECC12AB632318D4F47E1EBDAD9781B96BCFF03A2D1

 ...
</code></pre>

<p>Is there anything more I can try?</p>
","<pre><code>&gt; I have a .key file which is PEM formatted private key file.
&gt; ...
&gt; Here's some asn1parse of the .key file...
</code></pre>

<p>That it appears OK with <code>asn1parse</code> leads me to believe its <em>not</em> PEM encoded.</p>

<hr>

<blockquote>
  <p>Is there anything more I can try?</p>
</blockquote>

<p>Because it appears to be ASN.1, try:</p>

<pre><code>$ openssl rsa -in server.key -inform DER -modulus -noout
</code></pre>

<p>Notice the <code>-inform DER</code> to switch between encodings.</p>
","176473","<openssl><private-key>","64","6","8","2019-08-10 22:55:38","","2","13","608639","","2014-09-20 08:29:31","2013-08-27 07:58:17",""
"18460035","Unable to load Private Key. (PEM routines:PEM_read_bio:no start line:pem_lib.c:648:Expecting: ANY PRIVATE KEY)","<p>I have a .key file which is PEM formatted private key file. I didn't make this file but I got this from somewhere.</p>

<p>I wanted to see its MD5 hash with openssl tool like below command.</p>

<pre><code>openssl rsa -in server.key -modulus -noout
</code></pre>

<p>But this generates below error.</p>

<pre><code>unable to load Private Key
13440:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib.c:648:Expecting: ANY PRIVATE KEY
</code></pre>

<p>Here's some asn1parse of the .key file.</p>

<pre><code>openssl asn1parse -in server.key
0:d=0  hl=4 l= 603 cons: SEQUENCE
4:d=1  hl=2 l=   1 prim: INTEGER           :00
7:d=1  hl=3 l= 129 prim: INTEGER           :C141201603899993919CBAA56985E9C7
C6A2AF713A02F5FE88D38CEFBED9304599689280B84B0AB577A9719CA20DDA1246A894AF397A2C57
EE5A582B036CC367E3667454DCD82DBDBF187C35FE39F61C71B517DDDF576F5471B4EC2E045E0F9D
619F5616C4E832F00CBD0DBF41B4BA3CBC4B4B603AE1FE61965917DA732E0DEF
139:d=1  hl=2 l=   3 prim: INTEGER           :010001
144:d=1  hl=3 l= 128 prim: INTEGER           :1687B9AE67562CEDEBDD7A531B84CDB7
093CE138519B93C34B7F626076FF0A262B16EA71904ACB6251A39307C04ADE202055BA13DD9F1539
6123EE408183361A9BC08B9413FA360EA928E48CC3F52B33ACF2980758F02BA2139F652F30A257C2
2E45D7C25835FC4D22B9ECECC12AB632318D4F47E1EBDAD9781B96BCFF03A2D1

 ...
</code></pre>

<p>Is there anything more I can try?</p>
","<p>I changed the header and footer of the PEM file to </p>

<pre><code>-----BEGIN RSA PRIVATE KEY-----
</code></pre>

<p>and</p>

<pre><code>-----END RSA PRIVATE KEY-----
</code></pre>

<p>Finally, it works!</p>
","176473","<openssl><private-key>","64","41","8","2019-08-10 22:55:38","","2","13","608639","","2014-09-20 08:29:31","2013-08-27 07:58:17",""
"18460035","Unable to load Private Key. (PEM routines:PEM_read_bio:no start line:pem_lib.c:648:Expecting: ANY PRIVATE KEY)","<p>I have a .key file which is PEM formatted private key file. I didn't make this file but I got this from somewhere.</p>

<p>I wanted to see its MD5 hash with openssl tool like below command.</p>

<pre><code>openssl rsa -in server.key -modulus -noout
</code></pre>

<p>But this generates below error.</p>

<pre><code>unable to load Private Key
13440:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib.c:648:Expecting: ANY PRIVATE KEY
</code></pre>

<p>Here's some asn1parse of the .key file.</p>

<pre><code>openssl asn1parse -in server.key
0:d=0  hl=4 l= 603 cons: SEQUENCE
4:d=1  hl=2 l=   1 prim: INTEGER           :00
7:d=1  hl=3 l= 129 prim: INTEGER           :C141201603899993919CBAA56985E9C7
C6A2AF713A02F5FE88D38CEFBED9304599689280B84B0AB577A9719CA20DDA1246A894AF397A2C57
EE5A582B036CC367E3667454DCD82DBDBF187C35FE39F61C71B517DDDF576F5471B4EC2E045E0F9D
619F5616C4E832F00CBD0DBF41B4BA3CBC4B4B603AE1FE61965917DA732E0DEF
139:d=1  hl=2 l=   3 prim: INTEGER           :010001
144:d=1  hl=3 l= 128 prim: INTEGER           :1687B9AE67562CEDEBDD7A531B84CDB7
093CE138519B93C34B7F626076FF0A262B16EA71904ACB6251A39307C04ADE202055BA13DD9F1539
6123EE408183361A9BC08B9413FA360EA928E48CC3F52B33ACF2980758F02BA2139F652F30A257C2
2E45D7C25835FC4D22B9ECECC12AB632318D4F47E1EBDAD9781B96BCFF03A2D1

 ...
</code></pre>

<p>Is there anything more I can try?</p>
","<p>Remove any whitespace at the start of the .key file.</p>
","176473","<openssl><private-key>","64","5","8","2019-08-10 22:55:38","","2","13","608639","","2014-09-20 08:29:31","2013-08-27 07:58:17",""
"18460035","Unable to load Private Key. (PEM routines:PEM_read_bio:no start line:pem_lib.c:648:Expecting: ANY PRIVATE KEY)","<p>I have a .key file which is PEM formatted private key file. I didn't make this file but I got this from somewhere.</p>

<p>I wanted to see its MD5 hash with openssl tool like below command.</p>

<pre><code>openssl rsa -in server.key -modulus -noout
</code></pre>

<p>But this generates below error.</p>

<pre><code>unable to load Private Key
13440:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib.c:648:Expecting: ANY PRIVATE KEY
</code></pre>

<p>Here's some asn1parse of the .key file.</p>

<pre><code>openssl asn1parse -in server.key
0:d=0  hl=4 l= 603 cons: SEQUENCE
4:d=1  hl=2 l=   1 prim: INTEGER           :00
7:d=1  hl=3 l= 129 prim: INTEGER           :C141201603899993919CBAA56985E9C7
C6A2AF713A02F5FE88D38CEFBED9304599689280B84B0AB577A9719CA20DDA1246A894AF397A2C57
EE5A582B036CC367E3667454DCD82DBDBF187C35FE39F61C71B517DDDF576F5471B4EC2E045E0F9D
619F5616C4E832F00CBD0DBF41B4BA3CBC4B4B603AE1FE61965917DA732E0DEF
139:d=1  hl=2 l=   3 prim: INTEGER           :010001
144:d=1  hl=3 l= 128 prim: INTEGER           :1687B9AE67562CEDEBDD7A531B84CDB7
093CE138519B93C34B7F626076FF0A262B16EA71904ACB6251A39307C04ADE202055BA13DD9F1539
6123EE408183361A9BC08B9413FA360EA928E48CC3F52B33ACF2980758F02BA2139F652F30A257C2
2E45D7C25835FC4D22B9ECECC12AB632318D4F47E1EBDAD9781B96BCFF03A2D1

 ...
</code></pre>

<p>Is there anything more I can try?</p>
","<h1>Create CA certificate</h1>

<pre><code>c:\mycert&gt;openssl genrsa -out privateKey.pem 4096
c:\mycert&gt;openssl req -new -x509 -nodes -days 3600 -key privateKey.pem -out caKey.pem
</code></pre>
","176473","<openssl><private-key>","64","3","8","2019-08-10 22:55:38","","2","13","608639","","2014-09-20 08:29:31","2013-08-27 07:58:17",""
"18460035","Unable to load Private Key. (PEM routines:PEM_read_bio:no start line:pem_lib.c:648:Expecting: ANY PRIVATE KEY)","<p>I have a .key file which is PEM formatted private key file. I didn't make this file but I got this from somewhere.</p>

<p>I wanted to see its MD5 hash with openssl tool like below command.</p>

<pre><code>openssl rsa -in server.key -modulus -noout
</code></pre>

<p>But this generates below error.</p>

<pre><code>unable to load Private Key
13440:error:0906D06C:PEM routines:PEM_read_bio:no start line:.\crypto\pem\pem_lib.c:648:Expecting: ANY PRIVATE KEY
</code></pre>

<p>Here's some asn1parse of the .key file.</p>

<pre><code>openssl asn1parse -in server.key
0:d=0  hl=4 l= 603 cons: SEQUENCE
4:d=1  hl=2 l=   1 prim: INTEGER           :00
7:d=1  hl=3 l= 129 prim: INTEGER           :C141201603899993919CBAA56985E9C7
C6A2AF713A02F5FE88D38CEFBED9304599689280B84B0AB577A9719CA20DDA1246A894AF397A2C57
EE5A582B036CC367E3667454DCD82DBDBF187C35FE39F61C71B517DDDF576F5471B4EC2E045E0F9D
619F5616C4E832F00CBD0DBF41B4BA3CBC4B4B603AE1FE61965917DA732E0DEF
139:d=1  hl=2 l=   3 prim: INTEGER           :010001
144:d=1  hl=3 l= 128 prim: INTEGER           :1687B9AE67562CEDEBDD7A531B84CDB7
093CE138519B93C34B7F626076FF0A262B16EA71904ACB6251A39307C04ADE202055BA13DD9F1539
6123EE408183361A9BC08B9413FA360EA928E48CC3F52B33ACF2980758F02BA2139F652F30A257C2
2E45D7C25835FC4D22B9ECECC12AB632318D4F47E1EBDAD9781B96BCFF03A2D1

 ...
</code></pre>

<p>Is there anything more I can try?</p>
","<p>I'm on Windows 10 and I saved my key with <strong>Windows1252</strong> encoding and it worked for me. On another StackOverflow question some people were fixing this with <strong>UTF-8 with BOM</strong>.</p>

<p>In other words, it may be the file encoding.</p>
","176473","<openssl><private-key>","64","2","8","2019-08-10 22:55:38","","2","13","608639","","2014-09-20 08:29:31","2013-08-27 07:58:17",""
