post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","All of these schemes, except AES and Blowfish, have known vulnerabilities and should not be used.
However, Blowfish has been replaced by Twofish.
","249415","<aes><blowfish><des><tripledes>","138","25","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","AES is the currently accepted standard algorithm to use (hence the name Advanced Encryption Standard).
The rest are not.
","249415","<aes><blowfish><des><tripledes>","138","0","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","The encryption methods described are symmetric key block ciphers.
Data Encryption Standard (DES) is the predecessor, encrypting data in 64-bit blocks using a 56 bit key. Each block is encrypted in isolation, which is a security vulnerability.
Triple DES extends the key length of DES by applying three DES operations on each block: an encryption with key 0, a decryption with key 1 and an encryption with key 2. These keys may be related.
DES and 3DES are usually encountered when interfacing with legacy commercial products and services.
AES is considered the successor and modern standard. http://en.wikipedia.org/wiki/Advanced_Encryption_Standard
I believe the use of Blowfish is discouraged.
It is highly recommended that you do not attempt to implement your own cryptography and instead use a high-level implementation such as GPG for data at rest or SSL/TLS for data in transit. Here is an excellent and sobering video on encryption vulnerabilities http://rdist.root.org/2009/08/06/google-tech-talk-on-common-crypto-flaws/
","249415","<aes><blowfish><des><tripledes>","138","11","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","Use AES.
In more details:

DES is the old ""data encryption standard"" from the seventies. Its key size is too short for proper security (56 effective bits; this can be brute-forced, as has been demonstrated more than ten years ago). Also, DES uses 64-bit blocks, which raises some potential issues when encrypting several gigabytes of data with the same key (a gigabyte is not that big nowadays).
3DES is a trick to reuse DES implementations, by cascading three instances of DES (with distinct keys). 3DES is believed to be secure up to at least ""2112"" security (which is quite a lot, and quite far in the realm of ""not breakable with today's technology""). But it is slow, especially in software (DES was designed for efficient hardware implementation, but it sucks in software; and 3DES sucks three times as much).
Blowfish is a block cipher proposed by Bruce Schneier, and deployed in some softwares. Blowfish can use huge keys and is believed secure, except with regards to its block size, which is 64 bits, just like DES and 3DES. Blowfish is efficient in software, at least on some software platforms (it uses key-dependent lookup tables, hence performance depends on how the platform handles memory and caches).
AES is the successor of DES as standard symmetric encryption algorithm for US federal organizations (and as standard for pretty much everybody else, too). AES accepts keys of 128, 192 or 256 bits (128 bits is already very unbreakable), uses 128-bit blocks (so no issue there), and is efficient in both software and hardware. It was selected through an open competition involving hundreds of cryptographers during several years. Basically, you cannot have better than that.

So, when in doubt, use AES.
Note that a block cipher is a box which encrypts ""blocks"" (128-bit chunks of data with AES). When encrypting a ""message"" which may be longer than 128 bits, the message must be split into blocks, and the actual way you do the split is called the mode of operation or ""chaining"". The naive mode (simple split) is called ECB and has issues. Using a block cipher properly is not easy, and it is more important than selecting between, e.g., AES or 3DES.
","249415","<aes><blowfish><des><tripledes>","138","244","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","AES is a symmetric cryptographic algorithm, while RSA is an asymmetric (or public key) cryptographic algorithm. Encryption and decryption is done with a single key in AES, while you use separate keys (public and private keys) in RSA. The strength of a 128-bit AES key is roughly equivalent to 2600-bits RSA key.
","249415","<aes><blowfish><des><tripledes>","138","8","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","Although TripleDESCryptoServiceProvider is a safe and good method but it's too slow. If you want to refer to MSDN you will get that advise you to use AES rather TripleDES. Please check below link:
http://msdn.microsoft.com/en-us/library/system.security.cryptography.tripledescryptoserviceprovider.aspx
you will see this attention in the remark section:

Note 
  A newer symmetric encryption algorithm, Advanced Encryption
  Standard (AES), is available. Consider using the
  AesCryptoServiceProvider class instead of the
  TripleDESCryptoServiceProvider class. Use
  TripleDESCryptoServiceProvider only for compatibility with legacy
  applications and data.

Good luck
","249415","<aes><blowfish><des><tripledes>","138","4","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","                DES                               AES
Developed       1977                              2000
Key Length      56 bits                           128, 192, or 256 bits
Cipher Type     Symmetric                         Symmetric
Block Size      64 bits                           128 bits
Security        inadequate                        secure
Performance     Fast                              Slow

","249415","<aes><blowfish><des><tripledes>","138","0","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"5554526","Comparison of DES, Triple DES, AES, blowfish encryption for data","Does anyone have pros and cons together for comparing these encryption algorithms ?
","
DES is the old ""data encryption standard"" from the seventies. 
","249415","<aes><blowfish><des><tripledes>","138","1","8","2018-01-28 15:27:00","5559132","2","64","","","","2011-04-05 15:39:52",""
"9031537","Really simple encryption with C# and SymmetricAlgorithm","I'm looking for a very simple crypt / decrypt method. I will be using always the same static key. I'm aware of the risks of this approach. Currently I'm using the following code but it does not generate the same result after crypting and decripting the same string (there is some garbage in the middle of the string).
public static string Crypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] plaintextBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
        using (MemoryStream memoryStream = new MemoryStream())
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateEncryptor(), CryptoStreamMode.Write))
            {
                cryptoStream.Write(plaintextBytes, 0, plaintextBytes.Length);
            }

            result = Encoding.Unicode.GetString(memoryStream.ToArray());
        }
    }

    return result;
}

public static string Decrypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] encryptedBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[] { 1, 2, 3, 4, 5, 6, 7, 8 };
        using (MemoryStream memoryStream = new MemoryStream(encryptedBytes))
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateDecryptor(), CryptoStreamMode.Read))
            {
                byte[] decryptedBytes = new byte[encryptedBytes.Length];
                cryptoStream.Read(decryptedBytes, 0, decryptedBytes.Length);
                result = Encoding.Unicode.GetString(decryptedBytes);
            }
        }
    }

    return result;
}

I can change whatever is needed, no limits (but I want just to have on method to crypt and another one to decrypt without sharing variables between them).
Thanks.
","You'll need to set the cipher mode to CipherMode.ECB or use an IV.
SymmetricAlgorithm symmetricAlgorithm = DES.Create();
symmetricAlgorithm.Key = new byte[8] { 1, 2, 3, 4, 5, 6, 7, 8 };
symmetricAlgorithm.Mode = CipherMode.ECB;
...

Another point is not to use Unicode encoding. Use Base64 instead. Unicode might ""destroy"" bytes that are not UTF-16.
","68813","<c#><encryption><encryption-symmetric><des>","26","9","3","2019-03-06 18:02:29","9034247","1","11","185123","","2019-03-06 18:02:29","2012-01-27 09:56:58",""
"9031537","Really simple encryption with C# and SymmetricAlgorithm","I'm looking for a very simple crypt / decrypt method. I will be using always the same static key. I'm aware of the risks of this approach. Currently I'm using the following code but it does not generate the same result after crypting and decripting the same string (there is some garbage in the middle of the string).
public static string Crypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] plaintextBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
        using (MemoryStream memoryStream = new MemoryStream())
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateEncryptor(), CryptoStreamMode.Write))
            {
                cryptoStream.Write(plaintextBytes, 0, plaintextBytes.Length);
            }

            result = Encoding.Unicode.GetString(memoryStream.ToArray());
        }
    }

    return result;
}

public static string Decrypt(this string text)
{
    string result = null;

    if (!String.IsNullOrEmpty(text))
    {
        byte[] encryptedBytes = Encoding.Unicode.GetBytes(text);

        SymmetricAlgorithm symmetricAlgorithm = DES.Create();
        symmetricAlgorithm.Key = new byte[] { 1, 2, 3, 4, 5, 6, 7, 8 };
        using (MemoryStream memoryStream = new MemoryStream(encryptedBytes))
        {
            using (CryptoStream cryptoStream = new CryptoStream(memoryStream, symmetricAlgorithm.CreateDecryptor(), CryptoStreamMode.Read))
            {
                byte[] decryptedBytes = new byte[encryptedBytes.Length];
                cryptoStream.Read(decryptedBytes, 0, decryptedBytes.Length);
                result = Encoding.Unicode.GetString(decryptedBytes);
            }
        }
    }

    return result;
}

I can change whatever is needed, no limits (but I want just to have on method to crypt and another one to decrypt without sharing variables between them).
Thanks.
","How about something like this?
Code
using System;
using System.Security.Cryptography;
using System.Text;

public static class StringUtil
{
    private static byte[] key = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};
    private static byte[] iv = new byte[8] {1, 2, 3, 4, 5, 6, 7, 8};

    public static string Crypt(this string text)
    {
        SymmetricAlgorithm algorithm = DES.Create();
        ICryptoTransform transform = algorithm.CreateEncryptor(key, iv);
        byte[] inputbuffer = Encoding.Unicode.GetBytes(text);
        byte[] outputBuffer = transform.TransformFinalBlock(inputbuffer, 0, inputbuffer.Length);
        return Convert.ToBase64String(outputBuffer);
    }

    public static string Decrypt(this string text)
    {
        SymmetricAlgorithm algorithm = DES.Create();
        ICryptoTransform transform = algorithm.CreateDecryptor(key, iv);
        byte[] inputbuffer = Convert.FromBase64String(text);
        byte[] outputBuffer = transform.TransformFinalBlock(inputbuffer, 0, inputbuffer.Length);
        return Encoding.Unicode.GetString(outputBuffer);
    }
}

Unit Test
[Test]
public void Test()
{
    string expected = ""this is my test string"";
    string a = expected.Crypt();
    Debug.WriteLine(a);
    string actual = a.Decrypt();
    Assert.AreEqual(expected, actual);
}


EDIT:
To clarify: I am aware this is not good practice. 

""I'm aware of the risks of this approach. ""

Iv'e made the assumption that the OP is also aware and will make relevant code changes before considering using anything like this in a production environment.
The question emphasizes simplicity over good practice.
","68813","<c#><encryption><encryption-symmetric><des>","26","33","3","2019-03-06 18:02:29","9034247","1","11","185123","","2019-03-06 18:02:29","2012-01-27 09:56:58",""
