post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"19348501","PBKDF2WithHmacSHA512 Vs. PBKDF2WithHmacSHA1","I'm working on a Java authentication subsystem that specs the storage of passwords in the DB as PBKDF2-generated hashes, and I'm now trying to decide whether I should use SHA1 or SHA512 as PFR. I went through the specs of both but they are very mathematically intensive for me to follow. Can somebody with better crypto-understanding explain how PBKDF2WithHmacSHA512 differs from PBKDF2WithHmacSHA1?
Here's what I'm trying to do:
private static final int HASH_BYTE_SIZE = 64; // 512 bits
private static final int PBKDF2_ITERATIONS = 1000;      

// generate random salt
SecureRandom random = new SecureRandom();
byte salt[] = new byte[SALT_BYTE_SIZE]; // use salt size at least as long as hash
random.nextBytes(salt);

// generate Hash
PBEKeySpec spec = new PBEKeySpec(password, salt, PBKDF2_ITERATIONS, HASH_BYTE_SIZE);
SecretKeyFactory skf = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1""); // we would like this to be ""PBKDF2WithHmacSHA512"" instead? What Provider implements it?
byte[] hash = skf.generateSecret(spec).getEncoded();

// convert hash and salt to hex and store in DB as CHAR(64)...

","SHA512 belongs to the SHA2 family of cryptographic hash functions. Since SHA1 has theoretical weaknesses and SHA512 is slightly slower than SHA1 (slower is better when hashing passwords), SHA512 (or any of the SHA2 family) should be chosen over SHA1 for the purpose of hashing passwords.
Actually understanding the differences in the functions is not going to be simple, but you might have a better chance of getting an answer on the Crypto SE site.
","27577","<java><pbkdf2><secret-key><javax.crypto>","23","1","2","2017-09-21 13:21:32","19349227","0","12","","","","2013-10-13 18:09:19",""
"19348501","PBKDF2WithHmacSHA512 Vs. PBKDF2WithHmacSHA1","I'm working on a Java authentication subsystem that specs the storage of passwords in the DB as PBKDF2-generated hashes, and I'm now trying to decide whether I should use SHA1 or SHA512 as PFR. I went through the specs of both but they are very mathematically intensive for me to follow. Can somebody with better crypto-understanding explain how PBKDF2WithHmacSHA512 differs from PBKDF2WithHmacSHA1?
Here's what I'm trying to do:
private static final int HASH_BYTE_SIZE = 64; // 512 bits
private static final int PBKDF2_ITERATIONS = 1000;      

// generate random salt
SecureRandom random = new SecureRandom();
byte salt[] = new byte[SALT_BYTE_SIZE]; // use salt size at least as long as hash
random.nextBytes(salt);

// generate Hash
PBEKeySpec spec = new PBEKeySpec(password, salt, PBKDF2_ITERATIONS, HASH_BYTE_SIZE);
SecretKeyFactory skf = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1""); // we would like this to be ""PBKDF2WithHmacSHA512"" instead? What Provider implements it?
byte[] hash = skf.generateSecret(spec).getEncoded();

// convert hash and salt to hex and store in DB as CHAR(64)...

","Let us breakdown the word piece by piece:
PBKDF2--WithHmac--SHA512

Let's go over it part by part

PBKDF2
Stands for Password-based-Key-Derivative-Function, a successor of PBKDF1 and is used to implement a pseudorandom function, such as a cryptographic hash, cipher, or HMAC to the input password or passphrase along with a salt value and repeats the process many times to produce a derived key, which can then be used as a cryptographic key in subsequent operations.
HMAC
Stands for Keyed-Hash Message Authentication Code (HMAC) is a specific construction for calculating a message authentication code (MAC) involving a cryptographic hash function in combination with a secret cryptographic key. Any cryptographic hash function,may be used in the calculation of an HMAC; the resulting MAC algorithm is termed HMAC-MD5 or HMAC-SHA1 accordingly.
SHA512
Well, you know about it.. :P

Now, coming back to your question, the line of code:
SecretKeyFactory skf = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");

specifies the keyFactory to use the algorithm PDBKDF2WithHmacSHA1. When you would do something like:
SecretKeyFactory skf = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA512"");

you tell the factory to use algorithm PBDKF2WithHmacSHA512.
Essentialy the main difference between PBKDF2WithHmacSHA1 and PBKDF2WithHmacSHA512 is that:

The PBKDF2WithHmacSHA1 will produce a hash length of 160 bits.
The PBKDF2WithHmacSHA512 will produce a hash length of 512 bits.

Hence the latter is more secure. But there are arguments on both sides as to which is sufficient for encryption. No debate. Just saying.
Some additional information about the two algorithms:

HMACSHA1

HMACSHA1 is a type of keyed hash algorithm that is constructed from the SHA1 hash function and used as an HMAC, or hash-based message
  authentication code. The HMAC process mixes a secret key with the
  message data, hashes the result with the hash function, mixes that
  hash value with the secret key again, and then applies the hash
  function a second time. The output hash is 160 bits in length.

HMACSHA512

HMACSHA512 is a type of keyed hash algorithm that is constructed from
  the SHA-512 hash function and used as a Hash-based Message
  Authentication Code (HMAC). The HMAC process mixes a secret key with
  the message data and hashes the result. The hash value is mixed with
  the secret key again, and then hashed a second time. The output hash
  is 512 bits in length.


The main advantage is that HmacWith512 is more secure than HmacWith256. For e.g.
HMAC_SHA1(""key"",""The quick brown fox jumps over the lazy dog"") = 0xde7c9b85b8b78aa6bc8a7a36f70a90701c9db4d9

HMAC_SHA512(""key"",""The quick brown fox jumps over the lazy dog"") = 0xb42af09057bac1e2d41708e48a902e09b5ff7f12ab428a4fe86653c73dd248fb82f948a549f7b791a5b41915ee4d1ec3935357e4e2317250d0372afa2ebeeb3a

The difference is pretty huge (as seen). Hope it helps. :)
EDIT: As OP mentions 
PBEKeySpec(char[] password, byte[] salt, int iterationCount, int keyLength)

The parameter keyLength is used to indicate the preference on key length
for variable-key-size ciphers. The actual key size depends on each provider's implementation. Hence say, doing something like
PBEKeySpec(password, salt, int 100, 512) doesn't mean you will be using SHA1 to generate a keyLength of 512. It simply means that. SHA1 supports upto a maximum of 160 bits. You cannot exceed that. 
As for your second question, have a look at the HMAC-SHA1. There are many statements that say algorithms like SHA256 is pretty good if you a long hash. 
Also, as per the NSA :

The NSA specifies that ""Elliptic Curve Public Key Cryptography using
  the 256-bit prime modulus elliptic curve as specified in FIPS-186-2
  and SHA-256 are appropriate for protecting classified information up
  to the SECRET level. Use of the 384-bit prime modulus elliptic curve
  and SHA-384 are necessary for the protection of TOP SECRET
  information.

I think using a HMAC function in conjunction SHA512 is quite secure. 
","27577","<java><pbkdf2><secret-key><javax.crypto>","23","51","2","2017-09-21 13:21:32","19349227","0","12","","","","2013-10-13 18:09:19",""
"8674018","PBKDF2 with bouncycastle in Java","I'm trying to securely store a password in a database and for that I chose to store its hash generated using the PBKDF2 function. I want to do this using the bouncy castle library but I don't know why I cannot get it to work by using the JCE interface...
The problem is that generating the hash in 3 different modes: 
 1. using the PBKDF2WithHmacSHA1 secret key factory provided by sun 
 2. using the bouncy castle api directly 
 3. using the bouncy castle through JCE 
results in 2 distinct values: one common to the first two and one for the third.
Here is my code:
    //Mode 1

    SecretKeyFactory factory = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");
    KeySpec keyspec = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key key = factory.generateSecret(keyspec);
    System.out.println(key.getClass().getName());
    System.out.println(Arrays.toString(key.getEncoded()));

    //Mode 2

    PBEParametersGenerator generator = new PKCS5S2ParametersGenerator();
    generator.init(PBEParametersGenerator.PKCS5PasswordToUTF8Bytes((""password"").toCharArray()), salt, 1000);
    KeyParameter params = (KeyParameter)generator.generateDerivedParameters(128);
    System.out.println(Arrays.toString(params.getKey()));

    //Mode 3

    SecretKeyFactory factorybc = SecretKeyFactory.getInstance(""PBEWITHHMACSHA1"", ""BC"");
    KeySpec keyspecbc = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key keybc = factorybc.generateSecret(keyspecbc);
    System.out.println(keybc.getClass().getName());
    System.out.println(Arrays.toString(keybc.getEncoded()));
    System.out.println(keybc.getAlgorithm());

I know that PBKDF2 is implemented using HMAC SHA1 so that is why i chose as algorithm in the last method the ""PBEWITHHMACSHA1"" which i took from the bouncy castle java docs.
The output is the following:
com.sun.crypto.provider.SunJCE_ae
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
org.bouncycastle.jce.provider.JCEPBEKey
[14, -47, -87, -16, -117, -31, 91, -121, 90, -68, -82, -31, -27, 5, -93, -67, 30, -34, -64, -40]
PBEwithHmacSHA

Any ideas?
","In short, the reason for the difference is that PBKDF2 algorithm in modes #1 and #2 uses PKCS #5 v2 scheme 2 (PKCS5S2) for iterative key generation, but the BouncyCastle provider for ""PBEWITHHMACSHA1"" in mode #3 uses the PKCS #12 v1 (PKCS12) algorithm instead. These are completely different key-generation algorithms, so you get different results.
More detail on why this is so and why you get different sized results is explained below.
First, when you're constructing a JCE KeySpec, the keyLength parameter only expresses ""a preference"" to the provider what key size you want. From the API docs:

Note: this is used to indicate the preference on key length for variable-key-size ciphers. The actual key size depends on each provider's implementation.

The Bouncy Castle providers don't appear to respect this parameter, judging from the source of JCEPBEKey, so you should expect to get a 160-bit key back from any BC provider which uses SHA-1 when using the JCE API.
You can confirm this by programmatically accessing the getKeySize() method on the returned keybc variable in your test code:
Key keybc = factorybc.generateSecret(keyspecbc);
// ...
Method getKeySize = JCEPBEKey.class.getDeclaredMethod(""getKeySize"");
getKeySize.setAccessible(true);
System.out.println(getKeySize.invoke(keybc)); // prints '160'

Now, to understand what the ""PBEWITHHMACSHA1"" provider corresponds to, you can find the following in the source for BouncyCastleProvider:
put(""SecretKeyFactory.PBEWITHHMACSHA1"", 
    ""org.bouncycastle.jce.provider.JCESecretKeyFactory$PBEWithSHA"");

And the implementation of JCESecretKeyFactory.PBEWithSHA looks like this:
public static class PBEWithSHA
    extends PBEKeyFactory
{
    public PBEWithSHA()
    {
        super(""PBEwithHmacSHA"", null, false, PKCS12, SHA1, 160, 0);
    }
}

You can see above that this key factory uses the PKCS #12 v1 (PKCS12) algorithm for iterative key generation. But the PBKDF2 algorithm that you want to use for password hashing uses PKCS #5 v2 scheme 2 (PKCS5S2) instead. This is why you're getting different results.
I had a quick look through the JCE providers registered in BouncyCastleProvider, but couldn't see any key generation algorithms that used PKCS5S2 at all, let alone one which also uses it with HMAC-SHA-1.
So I guess you're stuck with either using the Sun implementation (mode #1 above) and losing portability on other JVMs, or using the Bouncy Castle classes directly (mode #2 above) and requiring the BC library at runtime.
Either way, you should probably switch to 160-bit keys, so you aren't truncating the generated SHA-1 hash unnecessarily.
","20044","<java><bouncycastle><jce><pbkdf2>","38","30","3","2019-01-12 05:44:39","10569975","4","20","3636601","","2017-07-11 09:48:25","2011-12-29 22:02:30",""
"8674018","PBKDF2 with bouncycastle in Java","I'm trying to securely store a password in a database and for that I chose to store its hash generated using the PBKDF2 function. I want to do this using the bouncy castle library but I don't know why I cannot get it to work by using the JCE interface...
The problem is that generating the hash in 3 different modes: 
 1. using the PBKDF2WithHmacSHA1 secret key factory provided by sun 
 2. using the bouncy castle api directly 
 3. using the bouncy castle through JCE 
results in 2 distinct values: one common to the first two and one for the third.
Here is my code:
    //Mode 1

    SecretKeyFactory factory = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");
    KeySpec keyspec = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key key = factory.generateSecret(keyspec);
    System.out.println(key.getClass().getName());
    System.out.println(Arrays.toString(key.getEncoded()));

    //Mode 2

    PBEParametersGenerator generator = new PKCS5S2ParametersGenerator();
    generator.init(PBEParametersGenerator.PKCS5PasswordToUTF8Bytes((""password"").toCharArray()), salt, 1000);
    KeyParameter params = (KeyParameter)generator.generateDerivedParameters(128);
    System.out.println(Arrays.toString(params.getKey()));

    //Mode 3

    SecretKeyFactory factorybc = SecretKeyFactory.getInstance(""PBEWITHHMACSHA1"", ""BC"");
    KeySpec keyspecbc = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key keybc = factorybc.generateSecret(keyspecbc);
    System.out.println(keybc.getClass().getName());
    System.out.println(Arrays.toString(keybc.getEncoded()));
    System.out.println(keybc.getAlgorithm());

I know that PBKDF2 is implemented using HMAC SHA1 so that is why i chose as algorithm in the last method the ""PBEWITHHMACSHA1"" which i took from the bouncy castle java docs.
The output is the following:
com.sun.crypto.provider.SunJCE_ae
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
org.bouncycastle.jce.provider.JCEPBEKey
[14, -47, -87, -16, -117, -31, 91, -121, 90, -68, -82, -31, -27, 5, -93, -67, 30, -34, -64, -40]
PBEwithHmacSHA

Any ideas?
","I found a BC Crypto-Only method (actually from the cms package of BC) which works to produce a UTF-8 based password encoding. This way I can generate KDF output which is compatible to
http://packages.python.org/passlib/lib/passlib.hash.cta_pbkdf2_sha1.html#passlib.hash.cta_pbkdf2_sha1
private byte[] calculatePasswordDigest(char[] pass, byte[] salt, int iterations)
    throws PasswordProtectionException
{
    try
    {
        /* JCE Version (does not work as BC uses PKCS12 encoding)
        SecretKeyFactory kf = SecretKeyFactory.getInstance(""PBEWITHHMACSHA1"",""BC"");
        PBEKeySpec ks = new PBEKeySpec(pass, salt, iterations,160);
        SecretKey digest = kf.generateSecret(ks);
        return digest.getEncoded();
        */
        PKCS5S2ParametersGenerator gen = new PKCS5S2ParametersGenerator();
        gen.init(PBEParametersGenerator.PKCS5PasswordToUTF8Bytes(pass), salt, iterations);
        byte[] derivedKey = ((KeyParameter)gen.generateDerivedParameters(160)).getKey();
        return derivedKey;
    }
    catch(Exception e)
    {
        LOG.error(""Failed to strengthen the password with PBKDF2."",e);
        throw new PasswordProtectionException();
    }
}

","20044","<java><bouncycastle><jce><pbkdf2>","38","3","3","2019-01-12 05:44:39","10569975","4","20","3636601","","2017-07-11 09:48:25","2011-12-29 22:02:30",""
"8674018","PBKDF2 with bouncycastle in Java","I'm trying to securely store a password in a database and for that I chose to store its hash generated using the PBKDF2 function. I want to do this using the bouncy castle library but I don't know why I cannot get it to work by using the JCE interface...
The problem is that generating the hash in 3 different modes: 
 1. using the PBKDF2WithHmacSHA1 secret key factory provided by sun 
 2. using the bouncy castle api directly 
 3. using the bouncy castle through JCE 
results in 2 distinct values: one common to the first two and one for the third.
Here is my code:
    //Mode 1

    SecretKeyFactory factory = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"");
    KeySpec keyspec = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key key = factory.generateSecret(keyspec);
    System.out.println(key.getClass().getName());
    System.out.println(Arrays.toString(key.getEncoded()));

    //Mode 2

    PBEParametersGenerator generator = new PKCS5S2ParametersGenerator();
    generator.init(PBEParametersGenerator.PKCS5PasswordToUTF8Bytes((""password"").toCharArray()), salt, 1000);
    KeyParameter params = (KeyParameter)generator.generateDerivedParameters(128);
    System.out.println(Arrays.toString(params.getKey()));

    //Mode 3

    SecretKeyFactory factorybc = SecretKeyFactory.getInstance(""PBEWITHHMACSHA1"", ""BC"");
    KeySpec keyspecbc = new PBEKeySpec(""password"".toCharArray(), salt, 1000, 128);
    Key keybc = factorybc.generateSecret(keyspecbc);
    System.out.println(keybc.getClass().getName());
    System.out.println(Arrays.toString(keybc.getEncoded()));
    System.out.println(keybc.getAlgorithm());

I know that PBKDF2 is implemented using HMAC SHA1 so that is why i chose as algorithm in the last method the ""PBEWITHHMACSHA1"" which i took from the bouncy castle java docs.
The output is the following:
com.sun.crypto.provider.SunJCE_ae
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
[-53, 29, 113, -110, -25, 76, 115, -127, -64, 74, -63, 102, 75, 81, -21, 74]
org.bouncycastle.jce.provider.JCEPBEKey
[14, -47, -87, -16, -117, -31, 91, -121, 90, -68, -82, -31, -27, 5, -93, -67, 30, -34, -64, -40]
PBEwithHmacSHA

Any ideas?
","PBKDF2WithHmacSHA1 is already supported in BouncyCastle 1.60
https://www.bouncycastle.org/specifications.html
Password Hashing and PBE
Test passed with OpenJDK Runtime Environment 18.9 (build 11.0.1+13):
    Security.addProvider(new BouncyCastleProvider());

    String password = ""xrS7AJk+V6L8J?B%"";
    SecureRandom rnd = new SecureRandom();
    int saltLength = 16;
    int keyLength = 128;
    int iterationCount = 10000;

    byte[] salt = new byte[saltLength];
    rnd.nextBytes(salt);

//SunJCE
    SecretKeyFactory factorySun = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"", ""SunJCE"");
    KeySpec keyspecSun = new PBEKeySpec(password.toCharArray(), salt, iterationCount, keyLength);
    SecretKey keySun = factorySun.generateSecret(keyspecSun);
    System.out.println(keySun.getClass().getName());
    System.out.println(Hex.toHexString(keySun.getEncoded()));

//BouncyCastle  
    SecretKeyFactory factoryBC = SecretKeyFactory.getInstance(""PBKDF2WithHmacSHA1"", ""BC"");
    KeySpec keyspecBC = new PBEKeySpec(password.toCharArray(), salt, iterationCount, keyLength);
    SecretKey keyBC = factoryBC.generateSecret(keyspecBC);
    System.out.println(keyBC.getClass().getName());
    System.out.println(Hex.toHexString(keyBC.getEncoded()));

    Assert.assertArrayEquals(keySun.getEncoded(), keyBC.getEncoded());

The output is:
com.sun.crypto.provider.PBKDF2KeyImpl
e9b01389fa91a6172ed6e95e1e1a2611
org.bouncycastle.jcajce.provider.symmetric.util.BCPBEKey
e9b01389fa91a6172ed6e95e1e1a2611

","20044","<java><bouncycastle><jce><pbkdf2>","38","0","3","2019-01-12 05:44:39","10569975","4","20","3636601","","2017-07-11 09:48:25","2011-12-29 22:02:30",""
"4433216","Password Encryption: PBKDF2 (using sha512 x 1000) vs Bcrypt","I've been reading about the Gawker incident and several articles have cropped up regarding only using bcrypt to hash passwords and I want to make sure my hashing mechanism is secure enough to avoid switching to another method. In my current application I have opted for a PBKDF2 implementation utilising sha2-512 and a minimum of 1000 iterations.
Can I ask for opinions on using PBKDF2 vs Bcrypt and whether or not I should implement a change?
","Comment (re: the title):

Don't use encryption (reversible) to store passwords unless you MUST.
Since you presented a hashing (non-reversible) option as an alternative, I assume you don't need reversibility.


opinions on using PBKDF2 vs Bcrypt and
  whether or not I should implement a
  change?

My opinion:
Use PBKDF2 over Bcrypt.  (I just have more faith in SHA than Blofish, for no reason)
As for whether you should 'implement a change', I don't know what you are asking.
Edited to more clearly separate the encryption / hashing discussion from stating my preferences w/r/t algorithm.
","19129","<passwords><hash><password-protection><bcrypt><pbkdf2>","15","-7","2","2012-08-11 14:58:51","5531194","0","18","13118","","2011-01-18 14:28:13","2010-12-13 20:31:25",""
"4433216","Password Encryption: PBKDF2 (using sha512 x 1000) vs Bcrypt","I've been reading about the Gawker incident and several articles have cropped up regarding only using bcrypt to hash passwords and I want to make sure my hashing mechanism is secure enough to avoid switching to another method. In my current application I have opted for a PBKDF2 implementation utilising sha2-512 and a minimum of 1000 iterations.
Can I ask for opinions on using PBKDF2 vs Bcrypt and whether or not I should implement a change?
","You're good with PBKDF2, no need to jump to bcrypt.
Although, the recommendation to use 1000 iterations was made in year 2000, now you'd want much more.
Also, you should take more care when using bcrypt:

It is also worth noting that while bcrypt is stronger than PBKDF2 for most types of passwords, it falls behind for long passphrases; this results from bcrypt’s inability to use more than the ﬁrst 55 characters of a passphrase While our estimated costs and NIST’s .
  estimates of passphrase entropy suggest that bcrypt’s 55-character limitation is not
  likely to cause problems at the present time, implementors of systems which rely on
  bcrypt might be well-advised to either work around this limitation (e.g., by “prehashing” a passphrase to make it ﬁt into the 55-character limit) or to take steps to
  prevent users from placing too much password entropy in the 56th and subsequent
  characters (e.g., by asking users of a website to type their password into an input
  box which only has space for 55 characters).

From scrypt paper [PDF]
That said, there's also scrypt.
Any comparisons would be incomplete without the table from the scrypt paper mentioned above:

Iteration counts for PBKDF2-HMAC-SHA256 used there are 86,000 and 4,300,000.
","19129","<passwords><hash><password-protection><bcrypt><pbkdf2>","15","27","2","2012-08-11 14:58:51","5531194","0","18","13118","","2011-01-18 14:28:13","2010-12-13 20:31:25",""
"9771212","How to use PKCS5_PBKDF2_HMAC_SHA1()","I am trying to use PKCS5_PBKDF2_HMAC_SHA1() and below is my sample program. I wanted to make sure if my result of PKCS5_PBKDF2_HMAC_SHA1() is correct so I verified the same with the website http://anandam.name/pbkdf2/ and I see a different result.  Am I using the API correctly? 
I am having doubts if I am passing salt value correctly.
I have pasted my result and website result after the program.
Please help me understand this.
#include <stdio.h>     
#include <types.h> 
#include <string.h> 
#include <stdio.h> 
#include <stdlib.h> 

#include <malloc.h> 

#include <openssl/hmac.h> 
#include <openssl/evp.h> 
#include <openssl/engine.h> 
#include <openssl/aes.h>
#include <openssl/rand.h> 

#include <proto.h> 
#define KEY_LEN    32// 32 bytes - 256 bits 
#define KEK_KEY_LEN   5 
#define ITERATION   1000 

unsigned char salt_value[KEY_LEN]; 
unsigned char AESkey[KEY_LEN]; 
unsigned char XTSkey[KEY_LEN]; 
u8 fuse_key[KEY_LEN]; 

void main() 
{ 
    s32 i=0; 
    s32 len =0; 
    u8 *out; 
    u8 *rspHMAC; 
    const s8 pwd[] = ""test""; 
    s8 rspPKCS5[KEK_KEY_LEN * 2]; 
    s32 ret; 

    rspHMAC = (unsigned char *) malloc(sizeof(char) * KEY_LEN); 
    out = (unsigned char *) malloc(sizeof(char) * KEK_KEY_LEN); 

    RAND_bytes(salt_value, KEY_LEN); 

    printf(""\n salt_value[0] = %x; salt_value[31]= %x"", salt_value[0], salt_value[31]); 
    printf(""\n strlen(salt_value) = %d; sizeof(salt_value) = %d\n"", strlen(salt_value), sizeof(salt_value));  

    for(i = 0; i < KEY_LEN; i++) { 
        printf(""%02x"", salt_value[i]); 
    } 

    ret = PKCS5_PBKDF2_HMAC_SHA1(pwd, strlen(pwd), salt_value, strlen(salt_value), ITERATION, KEK_KEY_LEN, out); 
    printf(""\n PKCS#5 :""); 

    for(len = 0; len < KEK_KEY_LEN; len++){ 
        printf(""%02x"", out[len]);

        sprintf(&rspPKCS5[len * 2], ""%02x"", out[len]); 
    } 

    printf(""\n""); 
} 

Sample Output:
salt_value[0] = e2; salt_value[31]= 12 
strlen(salt_value) = 32; sizeof(salt_value) = 32 
e258017933f3e629a4166cece78f3162a3b0b7edb2e94c93d76fe6c38198ea12 
PKCS#5 :7d7ec9f411 

Website result: 
The derived 40-bit key is: a5caf6a0d3 

","First, let's look at an official test vector for PBKDF2 HMAC-SHA1:
Input:
   P = ""password"" (8 octets)
   S = ""salt"" (4 octets)
   c = 1
   dkLen = 20

 Output:
   DK = 0c 60 c8 0f 96 1f 0e 71
        f3 a9 b5 24 af 60 12 06
        2f e0 37 a6             (20 octets)

So now we know what we're shooting for both on the web and in your program.  So using that info, we find out that the web site wants your salt as an ASCII string, which it will then convert to bytes.  This is important because you'll never be able to match the web page's output if you use RAND_bytes to generate a salt.
password
salt
1
20
0c60c80f961f0e71f3a9b524af6012062fe037a6

And you are using the salt incorrectly.  In your commented line, you're generating a string with ASCII characters.  If you want to use that salt, you'd have to declare it as an array of bytes.  Plus, you're missing a digit.
unsigned char salt_value[]= { 0x5d, 0x85, 0x94, 0x7b, … /* and so on */ };

And in the uncommented code, you're generating an array of bytes but treating it as a string.  You don't call strlen on an array of bytes because arrays of bytes can contain 0, which strlen will interpret as a null terminator.  So you either track the size manually (e.g., your KEK_KEY_LEN define for the array you malloc) or you use sizeof when appropriate.
PKCS5_PBKDF2_HMAC_SHA1(pwd, strlen(pwd), salt_value, sizeof(salt_value), ITERATION, KEK_KEY_LEN, out);

So now that we know all these things, we can put together a full program that matches the output of both the web site and the official test vector.
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

#include <openssl/evp.h>

#define KEY_LEN      32
#define KEK_KEY_LEN  20
#define ITERATION     1 

int main()
{
    size_t i;
    unsigned char *out;
    const char pwd[] = ""password"";
    unsigned char salt_value[] = {'s','a','l','t'};

    out = (unsigned char *) malloc(sizeof(unsigned char) * KEK_KEY_LEN);

    printf(""pass: %s\n"", pwd);
    printf(""ITERATION: %u\n"", ITERATION);
    printf(""salt: ""); for(i=0;i<sizeof(salt_value);i++) { printf(""%02x"", salt_value[i]); } printf(""\n"");

    if( PKCS5_PBKDF2_HMAC_SHA1(pwd, strlen(pwd), salt_value, sizeof(salt_value), ITERATION, KEK_KEY_LEN, out) != 0 )
    {
        printf(""out: ""); for(i=0;i<KEK_KEY_LEN;i++) { printf(""%02x"", out[i]); } printf(""\n"");
    }
    else
    {
        fprintf(stderr, ""PKCS5_PBKDF2_HMAC_SHA1 failed\n"");
    }

    free(out);

    return 0;
}

(and note that main needs to return an int and you should free your allocated memory)
gcc pkcs5.c -o pkcs5 -g -lcrypto -Wall
./pkcs5
pass: password
ITERATION: 1
salt: 73616c74
out: 0c60c80f961f0e71f3a9b524af6012062fe037a6

","18807","<openssl><salt><pbkdf2>","12","18","1","2015-06-07 12:23:56","","1","10","608639","","2015-06-07 12:21:10","2012-03-19 13:37:26",""
"8569555","PBKDF2 using CommonCrypto on iOS","I'm trying to use CommonCrypto to generate keys using PBKDF2 but I can't seem to import CommonCrypto/CommonKeyDerivation.h, I just errors that it is not found.
Any ideas?
edit: I should probably mention I have already added the security framework and I can import all of the other CommonCrypto headers.
","Are you building for iOS5 ? or earlier versions ?
Both API, CCKeyDerivationPBKDF and CCCalibratePBKDF, defined in the header file are only available on IOS5 (or OSX 10.7) and later.
You can make sure the file exists by executing this inside a terminal window:
$ find /Developer/ -name CommonKeyDerivation.h
/Developer//Platforms/iPhoneOS.platform/Developer/SDKs/iPhoneOS5.0.sdk/usr/include/CommonCrypto/CommonKeyDerivation.h
/Developer//Platforms/iPhoneSimulator.platform/Developer/SDKs/iPhoneSimulator5.0.sdk/usr/include/CommonCrypto/CommonKeyDerivation.h
/Developer//SDKs/MacOSX10.7.sdk/usr/include/CommonCrypto/CommonKeyDerivation.h

","15654","<objective-c><ios><pbkdf2><commoncrypto>","14","1","3","2013-09-03 10:05:32","9372343","0","18","960432","","2011-12-20 09:10:42","2011-12-20 00:53:51",""
"8569555","PBKDF2 using CommonCrypto on iOS","I'm trying to use CommonCrypto to generate keys using PBKDF2 but I can't seem to import CommonCrypto/CommonKeyDerivation.h, I just errors that it is not found.
Any ideas?
edit: I should probably mention I have already added the security framework and I can import all of the other CommonCrypto headers.
","Here's how i generate AES256 keys. The only interesting this is that i get CommonCrypto to estimate for me how many rounds to use. It seems pretty straightforwards.
#import <CommonCrypto/CommonKeyDerivation.h>

...

// Makes a random 256-bit salt
- (NSData*)generateSalt256 {
    unsigned char salt[32];
    for (int i=0; i<32; i++) {
        salt[i] = (unsigned char)arc4random();
    }
    return [NSData dataWithBytes:salt length:32];
}

...

// Make keys!
NSString* myPass = @""MyPassword1234"";
NSData* myPassData = [myPass dataUsingEncoding:NSUTF8StringEncoding];
NSData* salt = [self generateSalt256];

// How many rounds to use so that it takes 0.1s ?
int rounds = CCCalibratePBKDF(kCCPBKDF2, myPassData.length, salt.length, kCCPRFHmacAlgSHA256, 32, 100);

// Open CommonKeyDerivation.h for help
unsigned char key[32];
CCKeyDerivationPBKDF(kCCPBKDF2, myPassData.bytes, myPassData.length, salt.bytes, salt.length, kCCPRFHmacAlgSHA256, rounds, key, 32);

","15654","<objective-c><ios><pbkdf2><commoncrypto>","14","32","3","2013-09-03 10:05:32","9372343","0","18","960432","","2011-12-20 09:10:42","2011-12-20 00:53:51",""
