post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"944833","Specified initialization vector (IV) does not match the block size for this algorithm","I am working on a base encryption method. I am using RijndaelManaged. I got this code from somewhere a long time ago, but can't remember where.
I had my code working before, but something changed and I cannot quite figure it out.
When I run my code, I get the following error;

Specified initialization vector (IV)
  does not match the block size for this
  algorithm.

Here is my code:
string textToEncrypt = ""TEST STRING"";

int keySize = 256;
string hashAlgorithm = ""SHA1"";
string passPhrase = ""AH!PSB0%FGHR$"";
string saltValue = ""LRT%YUR#VBNL@1"";
string initVector = ""HR$2pIjHR$2pIj"";

byte[] initVectorBytes = Encoding.ASCII.GetBytes(initVector);
byte[] saltValueBytes = Encoding.ASCII.GetBytes(saltValue);

byte[] plainTextBytes = Encoding.UTF8.GetBytes(textToEncrypt);

var password = new PasswordDeriveBytes(passPhrase, saltValueBytes, hashAlgorithm, 2);

byte[] keyBytes = password.GetBytes(keySize / 8);

RijndaelManaged symmetricKey = new RijndaelManaged();

symmetricKey.Mode = CipherMode.CBC;

ICryptoTransform encryptor = symmetricKey.CreateEncryptor(keyBytes,initVectorBytes);

MemoryStream memoryStream = new MemoryStream();

var cryptoStream = new CryptoStream(memoryStream,encryptor,CryptoStreamMode.Write);
cryptoStream.Write(plainTextBytes, 0, plainTextBytes.Length);

cryptoStream.FlushFinalBlock();

byte[] cipherTextBytes = memoryStream.ToArray();

memoryStream.Close();
cryptoStream.Close();

string cipherText = Convert.ToBase64String(cipherTextBytes);

Any help will be appreciated.
","The problem is your initialization vector size needs to be 16 bytes.
Your initial vector size is 14 bytes.
You will need to increase the size of your initial vector by 2 bytes and your code will work.
Example:
string initVector = ""HR$2pIjHR$2pIj12"";

You will then get the output with your current code and the example IV (initialization vector) size provided:
hAC8hMf3N5Zb/DZhFKi6Sg==
This article provides a good explanation on what the initialization vector is.
http://en.wikipedia.org/wiki/Initialization_vector
","51310","<c#><encryption><rijndaelmanaged><rijndael>","27","59","2","2019-08-11 12:55:14","944845","1","6","107625","","2018-10-06 18:29:06","2009-06-03 13:44:14",""
"944833","Specified initialization vector (IV) does not match the block size for this algorithm","I am working on a base encryption method. I am using RijndaelManaged. I got this code from somewhere a long time ago, but can't remember where.
I had my code working before, but something changed and I cannot quite figure it out.
When I run my code, I get the following error;

Specified initialization vector (IV)
  does not match the block size for this
  algorithm.

Here is my code:
string textToEncrypt = ""TEST STRING"";

int keySize = 256;
string hashAlgorithm = ""SHA1"";
string passPhrase = ""AH!PSB0%FGHR$"";
string saltValue = ""LRT%YUR#VBNL@1"";
string initVector = ""HR$2pIjHR$2pIj"";

byte[] initVectorBytes = Encoding.ASCII.GetBytes(initVector);
byte[] saltValueBytes = Encoding.ASCII.GetBytes(saltValue);

byte[] plainTextBytes = Encoding.UTF8.GetBytes(textToEncrypt);

var password = new PasswordDeriveBytes(passPhrase, saltValueBytes, hashAlgorithm, 2);

byte[] keyBytes = password.GetBytes(keySize / 8);

RijndaelManaged symmetricKey = new RijndaelManaged();

symmetricKey.Mode = CipherMode.CBC;

ICryptoTransform encryptor = symmetricKey.CreateEncryptor(keyBytes,initVectorBytes);

MemoryStream memoryStream = new MemoryStream();

var cryptoStream = new CryptoStream(memoryStream,encryptor,CryptoStreamMode.Write);
cryptoStream.Write(plainTextBytes, 0, plainTextBytes.Length);

cryptoStream.FlushFinalBlock();

byte[] cipherTextBytes = memoryStream.ToArray();

memoryStream.Close();
cryptoStream.Close();

string cipherText = Convert.ToBase64String(cipherTextBytes);

Any help will be appreciated.
","You should be able to check how many bytes the IV needs to be using:
algorithm.BlockSize / 8

BlockSize is in bits, so 128 bits / 8 gives 16 bytes of ASCII, and you may also find Rfc2898DeriveBytes a useful class for producing keys.
algorithm.IV = rfc2898DeriveBytesForIV.GetBytes(algorithm.BlockSize / 8);

Hope it helps.
","51310","<c#><encryption><rijndaelmanaged><rijndael>","27","12","2","2019-08-11 12:55:14","944845","1","6","107625","","2018-10-06 18:29:06","2009-06-03 13:44:14",""
"3431950","Rijndael 256 Encrypt/decrypt between c# and php?","UPDATED
I have made the changes to the C# code so it uses a block size of 256. but now the hello world looks like this http://pastebin.com/5sXhMV11 and I cant figure out what I should use with rtrim() to get ride of the mess at the end.
Also when you say the IV should be random, by this do you mean don't use the same IV more then once or is the way I have coded it wrong?
Thanks again!
Hi,
I'm trying to decrypt a string with PHP that was encrypted in C#. I can't seem to get PHP to decrypt it using mcrypt and could do with some help please. I get the following error with php so I am guessing I'm not setting the IV correctly.
Error: The IV parameter must be as long as the blocksize
Both functions use the same cipher, key, IV and set to CBC mode:
encrypted text from c# = UmzUCnAzThH0nMkIuMisqg==
key 32 long = qwertyuiopasdfghjklzxcvbnmqwerty 
iv 16 long = 1234567890123456
C#
    public static string EncryptString(string message, string KeyString, string IVString)
    {
        byte[] Key = ASCIIEncoding.UTF8.GetBytes(KeyString);
        byte[] IV = ASCIIEncoding.UTF8.GetBytes(IVString);

        string encrypted = null;
        RijndaelManaged rj = new RijndaelManaged();
        rj.Key = Key;
        rj.IV = IV;
        rj.Mode = CipherMode.CBC;

        try
        {
            MemoryStream ms = new MemoryStream();

            using (CryptoStream cs = new CryptoStream(ms, rj.CreateEncryptor(Key, IV), CryptoStreamMode.Write))
            {
                using (StreamWriter sw = new StreamWriter(cs))
                {
                    sw.Write(message);
                    sw.Close();
                }
                cs.Close();
            }
            byte[] encoded = ms.ToArray();
            encrypted = Convert.ToBase64String(encoded);

            ms.Close();
        }
        catch (CryptographicException e)
        {
            Console.WriteLine(""A Cryptographic error occurred: {0}"", e.Message);
            return null;
        }
        catch (UnauthorizedAccessException e)
        {
            Console.WriteLine(""A file error occurred: {0}"", e.Message);
            return null;
        }
        catch (Exception e)
        {
            Console.WriteLine(""An error occurred: {0}"", e.Message);
        }
        finally
        {
            rj.Clear();
        }

        return encrypted;
    }

PHP
var $mcrypt_cipher = MCRYPT_RIJNDAEL_256;
var $mcrypt_mode = MCRYPT_MODE_CBC;

function decrypt($key, $iv, $encrypted)
{
    $encrypted = base64_decode($encrypted);

    $decrypted = rtrim(mcrypt_decrypt($this->mcrypt_cipher, $key, $encrypted, $this->mcrypt_mode, $iv), ""\0"");;
    return $decrypted;
}

Thanks
","If you want to use Rijndael256 in your C# application you have to set the BlockSize to 256.
RijndaelManaged rj = new RijndaelManaged();
rj.BlockSize = 256;

And then your iv has to be 256 bits long as well.
see SymmetricAlgorithm.BlockSize Property

Or the other way round: Currently your C# application uses Rijndael128 and so must your php script. 
<?php
class Foo {
  protected $mcrypt_cipher = MCRYPT_RIJNDAEL_128;
  protected $mcrypt_mode = MCRYPT_MODE_CBC;

  public function decrypt($key, $iv, $encrypted)
  {
    $iv_utf = mb_convert_encoding($iv, 'UTF-8');
    return mcrypt_decrypt($this->mcrypt_cipher, $key, base64_decode($encrypted), $this->mcrypt_mode, $iv_utf);
  }
}



$encrypted = ""UmzUCnAzThH0nMkIuMisqg=="";
$key = ""qwertyuiopasdfghjklzxcvbnmqwerty"";
$iv = ""1234567890123456"";

$foo = new Foo;
echo $foo->decrypt($key, $iv, $encrypted);

prints hello world
","29123","<c#><php><encryption><mcrypt><rijndael>","9","9","2","2011-09-09 10:15:37","3432024","2","4","388217","","2010-08-07 21:40:48","2010-08-07 20:34:55",""
"3431950","Rijndael 256 Encrypt/decrypt between c# and php?","UPDATED
I have made the changes to the C# code so it uses a block size of 256. but now the hello world looks like this http://pastebin.com/5sXhMV11 and I cant figure out what I should use with rtrim() to get ride of the mess at the end.
Also when you say the IV should be random, by this do you mean don't use the same IV more then once or is the way I have coded it wrong?
Thanks again!
Hi,
I'm trying to decrypt a string with PHP that was encrypted in C#. I can't seem to get PHP to decrypt it using mcrypt and could do with some help please. I get the following error with php so I am guessing I'm not setting the IV correctly.
Error: The IV parameter must be as long as the blocksize
Both functions use the same cipher, key, IV and set to CBC mode:
encrypted text from c# = UmzUCnAzThH0nMkIuMisqg==
key 32 long = qwertyuiopasdfghjklzxcvbnmqwerty 
iv 16 long = 1234567890123456
C#
    public static string EncryptString(string message, string KeyString, string IVString)
    {
        byte[] Key = ASCIIEncoding.UTF8.GetBytes(KeyString);
        byte[] IV = ASCIIEncoding.UTF8.GetBytes(IVString);

        string encrypted = null;
        RijndaelManaged rj = new RijndaelManaged();
        rj.Key = Key;
        rj.IV = IV;
        rj.Mode = CipherMode.CBC;

        try
        {
            MemoryStream ms = new MemoryStream();

            using (CryptoStream cs = new CryptoStream(ms, rj.CreateEncryptor(Key, IV), CryptoStreamMode.Write))
            {
                using (StreamWriter sw = new StreamWriter(cs))
                {
                    sw.Write(message);
                    sw.Close();
                }
                cs.Close();
            }
            byte[] encoded = ms.ToArray();
            encrypted = Convert.ToBase64String(encoded);

            ms.Close();
        }
        catch (CryptographicException e)
        {
            Console.WriteLine(""A Cryptographic error occurred: {0}"", e.Message);
            return null;
        }
        catch (UnauthorizedAccessException e)
        {
            Console.WriteLine(""A file error occurred: {0}"", e.Message);
            return null;
        }
        catch (Exception e)
        {
            Console.WriteLine(""An error occurred: {0}"", e.Message);
        }
        finally
        {
            rj.Clear();
        }

        return encrypted;
    }

PHP
var $mcrypt_cipher = MCRYPT_RIJNDAEL_256;
var $mcrypt_mode = MCRYPT_MODE_CBC;

function decrypt($key, $iv, $encrypted)
{
    $encrypted = base64_decode($encrypted);

    $decrypted = rtrim(mcrypt_decrypt($this->mcrypt_cipher, $key, $encrypted, $this->mcrypt_mode, $iv), ""\0"");;
    return $decrypted;
}

Thanks
","Encrypt using PHP;
/Generate public key for encrytion
$path = ""keys/"";

    $crt = openssl_x509_read(file_get_contents($path.""cert.crt""));
    $publickey = openssl_get_publickey($crt);

    //Encrypt using public key
    openssl_public_encrypt($source, $crypted, $publickey);

    //openssl_private_encrypt($source, $crypted, $privkey);
    echo base64_encode($crypted);

Decrypt using C#
    X509Certificate2 x509cert = new X509Certificate2(pKeyFilename);
    RSACryptoServiceProvider.UseMachineKeyStore = false;
    RSACryptoServiceProvider crypt = (RSACryptoServiceProvider)x509cert.PrivateKey;                

    byte[] decrypted = crypt.Decrypt(Convert.FromBase64String(data), false);
    return ASCIIEncoding.UTF8.GetString(decrypted);

where pKeyFilename is a Personal Information Exchange File created with the certificate file cert.crt. This examples uses a AES-256 encryption.
","29123","<c#><php><encryption><mcrypt><rijndael>","9","-1","2","2011-09-09 10:15:37","3432024","2","4","388217","","2010-08-07 21:40:48","2010-08-07 20:34:55",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","Somebody wrote a short tutorial on using AES is VBScript:
http://www.example-code.com/vbscript/AesIv.asp
The module mentioned in that tutorial can be found at:
http://www.chilkatsoft.com/refdoc/xChilkatCrypt2Ref.html
","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","1","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","One option would be to create a simple wrapper class in .NET for the RijndaelManaged class from the .NET framework and expose it via COM Interop so you can call it from VBScript.
","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","-1","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","One response suggested wrapping the RijndaelManaged class in COM. You could also wrap some other AES implementation in COM.  I just tried SlowAES, which is a JavaScript implementation of AES. Wrapping it in COM via a Windows Script Component makes it callable from VBScript.  I would recommend this only if you cannot use the .NET approach; I would guess the AES for .NET will be faster than the AES implemented in JavaScript. 
In my tests of the COM-wrapped-SlowAEs, I used CBC mode, and the encryption was completely compatible with the RijndaelManaged class in .NET. 
Here's the WSC; I left out the 3 .js files provided by SlowAES.  You need to insert them unchanged where I marked the file. 
<?xml version=""1.0""?>

<!--

//
// Ionic.COM.SlowAES.wsc
//
// This is a Windows Script Component that exposes the SlowAES
// encryption engine via COM. This AES can be used from any 
// COM-capable environment, including Javascript or VBScript. 
//
//
// This code is licensed under the Microsoft Public License. See the
// accompanying License.txt file for details.
//
// Copyright 2009 Dino Chiesa
//

-->

<package>

<component id=""Ionic.Com.SlowAES"">

  <comment>
SlowAES is a Javascript implementation of AES.  
     See http://code.google.com/p/slowaes.  
This is a COM package for SlowAES.
  </comment>

<?component error=""true"" debug=""true""?>

<registration
  description=""WSC Component for SlowAES""
  progid=""Ionic.Com.SlowAES""
  version=""1.00""
  classid=""{ba78383f-1bcc-4df6-9fb9-61cd639ebc94}""
  remotable=""False"">

  <!-- boilerplate registration/unregistration logic -->
  <script language=""VBScript"">
  <![CDATA[

strComponent = ""Ionic SlowAES""

Function Register
  MsgBox strComponent & "" - registered.""
End Function

Function Unregister
  MsgBox strComponent & "" - unregistered.""
End Function

  ]]>
  </script>
</registration>

<public>
  <method name=""EncryptString"">
<parameter name=""plainText""/>
  </method>

  <method name=""DecryptBytes"">
<parameter name=""cipherText""/>
  </method>

  <method name=""DecryptBytesToString"">
<parameter name=""cipherText""/>
  </method>

  <method name=""DecryptHexString"">
<parameter name=""hexStringCipherText""/>
  </method>

  <method name=""DecryptCommaDelimitedStringToString"">
<parameter name=""cipherText""/>
  </method>

  <property name=""Key"">
  <put/>
  </property>

  <property name=""Mode"">
  <put/>
  <get/>
  </property>

  <property name=""IV"">
  <put/>
  <get/>
  </property>

  <property name=""KeySize"">
  <put/>
  <get/>
  </property>
</public>

<script language=""JavaScript"">
<![CDATA[

// ...insert slowAES code here... //

// defaults
var _keysize = slowAES.aes.SIZE_128;
var _mode = slowAES.modeOfOperation.CBC;
var _iv = [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];
var _key;

/* 
* byteArrayToHexString
* convert a byte array to hex string.
*/
function byteArrayToHexString(a)
{
try { hexcase } catch(e) { hexcase=0; }
var hex_tab = hexcase ? ""0123456789ABCDEF"" : ""0123456789abcdef"";
var r= """";
for (var i = 0; i < a.length; i++)
{
    var b  = hex_tab.charAt((a[i] >> 4) & 0x0F) + 
    hex_tab.charAt(a[i] & 0x0F);
    r+= b;
}
return r;
}

/* 
* hexStringToByteArray
* convert a string of hex byts to a byte array
*/
function hexStringToByteArray(s)
{
var r= Array(s.length/2);
for (var i = 0; i < s.length; i+=2)
{
    r[i/2] = parseInt(s.substr(i,2),16);
}
return r;
}

function EncryptString(plainText)
{
 var bytesToEncrypt = cryptoHelpers.convertStringToByteArray(plainText);
 var result = slowAES.encrypt(bytesToEncrypt, 
     _mode,
     _key,
     _keysize,
     _iv);
return result['cipher'];
}

function DecryptBytesToString(cipherText)
{
var d = DecryptBytes(cipherText);
var s = cryptoHelpers.convertByteArrayToString(d);
s[cipherText.length]= 0;
return s;
}

function DecryptHexString(hexStringCipherText)
{
var cipherText = hexStringToByteArray(hexStringCipherText);
return DecryptBytesToString(cipherText);
}

function DecryptCommaDelimitedStringToString(cipherText)
{
var c = [];
var atoms = cipherText.split("","");
for (i=0; i < atoms.length; i++)
{
    c.push(parseInt(atoms[i], 10));
}
var d = DecryptBytes(c);
return cryptoHelpers.convertByteArrayToString(d);
}

function DecryptBytes(cipherText)
{
if (cipherText == undefined) return null;

var originalSize = cipherText.length;

var result = slowAES.decrypt(cipherText, 
    originalSize,
    _mode,
    _key,
    _keysize,
    _iv);

return result;
}

function put_Key(keyString)
{
  _key = hexStringToByteArray(keyString);
}

function put_KeySize(size)
{
if (size == 128) _keysize = slowAES.aes.keySize.SIZE_128;
else if (size == 192) _keysize = slowAES.aes.keySize.SIZE_192;
else if (size == 256) _keysize = slowAES.aes.keySize.SIZE_256;
else
    throw ""Unsupported key size.  Must be one of { 128, 192, 256 }."";
}

function get_KeySize()
{
if (_keysize == slowAES.aes.keySize.SIZE_128) return 128;
else if (_keysize == slowAES.aes.keySize.SIZE_192) return 192;
else if (_keysize == slowAES.aes.keySize.SIZE_256) return 256;
else return -1;
}

function put_IV(ivString)
{
    _iv = hexStringToByteArray(ivString);
}

function get_IV()
{
return byteArrayToHexString(_iv);
}

function put_Mode(mode)
{
if (mode == ""CBC"") _mode= slowAES.modeOfOperation.CBC;
else if (mode == ""OFB"") _mode= slowAES.modeOfOperation.OFB;
else if (mode == ""CFB"") _mode= slowAES.modeOfOperation.CFB;
else throw ""Unsupported mode.  Must be one of {CBC, OFB, CFB}"";
}

function get_Mode()
{
if (_mode == slowAES.modeOfOperation.CBC) return ""CBC"";
if (_mode == slowAES.modeOfOperation.OFB) return ""OFB"";
if (_mode == slowAES.modeOfOperation.CFB) return ""CFB"";
return ""???"";
}

]]>

</script>

</component>

</package>

Save that to a file called SlowAES.wsc.  Register it with ""regsvr32 SlowAES.wsc.""
Here's some VBScript code that uses the component.
' '
' byteArrayToHexString'
' convert a byte array to hex string.'
' '
Function byteArrayToHexString(a)
Dim r,b,i
r = """"
For i = 0 To UBound(a)
    b = Hex( (a(i) And &HF0) / 16) & Hex(a(i) And &HF)
    r= r & b
Next
byteArrayToHexString= r
End Function

' '
' hexStringToByteArray'
' convert a string of hex byts to a byte array'
' '
Function hexStringToByteArray(s)
Dim r()
ReDim r(Len(s)/2-1)
Dim x
For i = 0 To  Len(s)-2 Step 2
    x= ""&H"" & Mid(s,i+1,2)
    r(i/2) = CInt(x)
Next
hexStringToByteArray= r
End Function

Function DemoEncryption()
WScript.echo ""Testing Ionic.Com.SlowAES...""

WScript.echo ""key:              "" & byteArrayToHexString(key)
WScript.echo ""iv:               "" & byteArrayToHexString(iv)
WScript.echo ""key length:       "" & keyLengthInBytes & "" bytes""
WScript.echo ""key length:       "" & (keyLengthInBytes*8) & "" bits""
WScript.echo ""plaintext:        "" & plaintext
WScript.echo ""plaintext.length: "" & Len(plaintext)

WScript.echo ""instantiate Ionic.Com.SlowAES""
Dim aes
set aes = CreateObject(""Ionic.Com.SlowAES"")

WScript.echo ""keysize""
aes.KeySize = keyLengthInBytes * 8

WScript.echo ""key""
aes.Key = byteArrayToHexString(key)

WScript.echo ""iv ""
aes.IV= byteArrayToHexString(iv)

WScript.echo ""mode ""
aes.Mode = ""CBC""

WScript.echo ""encrypting... ""
Dim result
result= aes.EncryptString(plaintext)

' result is a comma-separated string '
' if we Eval() on it we convert it to an array '
Dim expr
expr = ""Array("" & result & "")"" 

result= Eval( expr )

WScript.echo ""Cryptotext/Eval: "" & byteArrayToHexString(result)
WScript.echo ""Cryptotext.length: "" & UBound(result)+1

WScript.echo ""decrypting... ""
Dim decrypted
'The javascript way to do this is to pass the byte array.'
' Like so:'
'    var decrypted = aes.DecryptBytesToString(result);'
' '
'This does not work from VBScript. So, convert to a hexstring,'
'pass the hex string, and then convert back, in the COM component.'
decrypted= aes.DecryptHexString(byteArrayToHexString(result))

WScript.echo ""decrypted: "" & decrypted
End Function

dim plaintext, iv, key, keyLengthInBytes

plaintext= ""Hello. This is a test. of the emergency broadcasting system.""
' iv must be a hexstring representation of an array of bytes, length=16'
iv =  hexStringToByteArray(""feedbeeffeedbeefbaadf00dbaadf00d"")
' key must be a hexstring representation of an array of bytes, length=16 or 32'
key = hexStringToByteArray(""cafebabe0099887766554433221100AA"")
keyLengthInBytes= UBound(key)+1

If Err.Number <> 0 Then Err.Clear

Call DemoEncryption

If (Err.Number <> 0) Then WScript.echo(""Error: "" & Err.Description)

If you also want a password-based key derivation capability, then you can grab the very succint JavaScript code for PBKDF2 here, and create another WSC for that, without too much trouble.

EDIT:  I did what I described - grabbed the source for PBKDF2 and integrated it into the code for SlowAES.  I also produced a second, independent implementation in C# that uses the built-in .NET class libraries to do the RFC 2898-key derivation and AES encryption.  
The result is 3 test applications, one in C#, one in JavaScript and another in VBScript.  The source is available. They all take the same set of arguments.  They each use a RFC 2898-compliant key derivation function.  You can specify the password, salt, IV, and plaintext, as well as the number of RFC 2898 iterations to use in the PBKDF2.  You can easily verify that the ciphertext is the same for each of these test programs. Maybe this example will be useful for someone. 
","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","3","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","I know this question is old and OP disappeared, but it is worth noting for future vb6 users that VbCorLib now supports cryptography, including the dreaded Rijndael.
Link: http://vbcorlib.blogspot.com/
","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","1","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","Old question- that really never gets old! One way is to declare encryption classes within vbscript, without needing external added COM objects or wrapper. The following example takes a string, encrypts and decrypts using Rijndael managed class:
'-----------------------------------------------------
Dim obj,arr,i,r,str,enc,asc
dim bytes,bytesd,s,sc,sd
set obj=WScript.CreateObject(""System.Security.Cryptography.RijndaelManaged"")
Set asc = CreateObject(""System.Text.UTF8Encoding"")
s=""This is a private message""
bytes=asc.GetBytes_4(s)
obj.GenerateKey()
obj.GenerateIV()
set enc=obj.CreateEncryptor()
set dec=obj.CreateDecryptor()

bytec=enc.TransformFinalBlock((bytes),0,lenb(bytes))
sc=asc.GetString((bytec))
msgbox sc

byted=dec.TransformFinalBlock((bytec),0,lenb(bytec))
sd=asc.GetString((byted))
msgbox sd
'-----------------------------------------------------

Best,
","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","6","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
"270510","How to encrypt in VBScript using AES?","I am looking to encrypt some data using Rijndael/AES in VBScript using a specific key and IV value. Are there any good function libraries or COM components that would be good to use?
I looked at CAPICOM; it allows a passphrase only, and won't allow setting specific key and IV values.
","Here's my solution. It saves the the encryption key and initialization vector to a file so they can be reused. 
Dim objAes, objAesEncryptor, objAesDecryptor, objUtf8Encoder
Dim objStream, objFileSystem
Dim strMyTextInUtf8, strMyEncyptedInUtf8, strMyText, strEncryptedInAnsi, strDecryptedInAnsi
Dim strMyAesKeyFilename,strMyAesIvFilename
Const adTypeBinary = 1
Const adSaveCreateOverWrite = 2
Const adSaveCreateNotExist = 1

' https://stackoverflow.com/questions/270510/how-to-encrypt-in-vbscript-using-aes#28129895

Set objAes=WScript.CreateObject(""System.Security.Cryptography.RijndaelManaged"")
Set objUtf8Encoder = CreateObject(""System.Text.UTF8Encoding"")
strMyText = ""This is a private message""
strMyTextInUtf8=objUtf8Encoder.GetBytes_4(strMyText)

strMyAesKeyFilename = ""c:\Temp\objAes.Key"" 'objAes.Key
strMyAesIvFilename  = ""c:\Temp\objAes.IV"" 'objAes.IV
Set objFileSystem = CreateObject(""Scripting.FileSystemObject"")
set objStream = createobject(""Adodb.Stream"")
objStream.Type = adTypeBinary
objStream.open
If (objFileSystem.FileExists(strMyAesKeyFilename) And objFileSystem.FileExists(strMyAesKeyFilename)) Then   
   objStream.LoadFromFile strMyAesKeyFilename
   objAes.Key = objStream.Read
   objStream.Close
   objStream.Open
   objStream.LoadFromFile strMyAesIvFilename
   objAes.IV = objStream.Read
Else
   objAes.GenerateKey()
   objAes.GenerateIV()
   objStream.write objAes.Key
   objStream.savetofile strMyAesKeyFilename, adSaveCreateOverWrite
   objStream.Close
   objStream.open
   objStream.write objAes.IV
   objStream.savetofile strMyAesIvFilename, adSaveCreateOverWrite
   objStream.Close
End IF

Set objAesEncryptor = objAes.CreateEncryptor()
Set objAesDecryptor = objAes.CreateDecryptor()

strMyEncyptedInUtf8 = objAesEncryptor.TransformFinalBlock((strMyTextInUtf8),0,lenb(strMyTextInUtf8))
strEncryptedInAnsi = objUtf8Encoder.GetString((strMyEncyptedInUtf8))
WScript.Echo ""Encrypted In Ansi: "" & strEncryptedInAnsi

strMyDecyptedInUtf8 = objAesDecryptor.TransformFinalBlock((strMyEncyptedInUtf8),0,lenb(strMyEncyptedInUtf8))
strDecryptedInAnsi = objUtf8Encoder.GetString((strMyDecyptedInUtf8))
WScript.Echo ""Decrypted In Ansi: "" & strDecryptedInAnsi

Running the script looks like this:
c:\Temp>cscript //nologo TestAesCipher2.vbs
Encrypted In Ansi:  M!???↔???I?!?Q?%&↑?M?n?(?\??o?
Decrypted In Ansi: This is a private message

c:\Temp>cscript //nologo TestAesCipher2.vbs
Encrypted In Ansi:  M!???↔???I?!?Q?%&↑?M?n?(?\??o?
Decrypted In Ansi: This is a private message

","23695","<asp-classic><vbscript><aes><rijndael><rfc2898>","11","-1","6","2018-01-26 12:16:49","","1","5","63550","ALassek","2010-03-22 19:19:06","2008-11-06 22:05:56",""
