post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"18887823","Is it possible to decrypt SHA1","Is it possible to decrypt(retain the actual string) the password which is saved in db using SHA1 algorithm.
Example:If password is ""password"" and it is stored in db as ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"",is any chance to retain the same ""password""(string) from ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"" 
","SHA1 is a one way hash. So you can not really revert it.
That's why applications use it to store the hash of the password and not the password itself.
Like every hash function SHA-1 maps a large input set (the keys) to a smaller target set (the hash values). Thus collisions can occur. This means that two values of the input set map to the same hash value.
Obviously the collision probability increases when the target set is getting smaller. But vice versa this also means that the collision probability decreases when the target set is getting larger and SHA-1's target set is 160 bit.
Jeff Preshing, wrote a very good blog about Hash Collision Probabilities that can help you to decide which hash algorithm to use. Thanks Jeff.
In his blog he shows a table that tells us the probability of collisions for a given input set.

As you can see the probability of a  32-bit hash is 1 in 2 if you have 77163 input values.
A simple java program will show us what his table shows:
public class Main {

    public static void main(String[] args) {
        char[] inputValue = new char[10];

        Map<Integer, String> hashValues = new HashMap<Integer, String>();

        int collisionCount = 0;

        for (int i = 0; i < 77163; i++) {
            String asString = nextValue(inputValue);
            int hashCode = asString.hashCode();
            String collisionString = hashValues.put(hashCode, asString);
            if (collisionString != null) {
                collisionCount++;
                System.out.println(""Collision: "" + asString + "" <-> "" + collisionString);
            }
        }

        System.out.println(""Collision count: "" + collisionCount);
    }

    private static String nextValue(char[] inputValue) {
        nextValue(inputValue, 0);

        int endIndex = 0;
        for (int i = 0; i < inputValue.length; i++) {
            if (inputValue[i] == 0) {
                endIndex = i;
                break;
            }
        }

        return new String(inputValue, 0, endIndex);
    }

    private static void nextValue(char[] inputValue, int index) {
        boolean increaseNextIndex = inputValue[index] == 'z';

        if (inputValue[index] == 0 || increaseNextIndex) {
            inputValue[index] = 'A';
        } else {
            inputValue[index] += 1;
        }

        if (increaseNextIndex) {
            nextValue(inputValue, index + 1);
        }

    }

}

My output end with:
Collision: RvV <-> SWV
Collision: SvV <-> TWV
Collision: TvV <-> UWV
Collision: UvV <-> VWV
Collision: VvV <-> WWV
Collision: WvV <-> XWV
Collision count: 35135

It produced 35135 collsions and that's the nearly the half of 77163. And if I ran the program with 30084 input values the collision count is 13606. This is not exactly 1 in 10, but it is only a probability and the example program is not perfect, because it only uses the ascii chars between A and z.
Let's take the last reported collision and check 
System.out.println(""VvV"".hashCode());
System.out.println(""WWV"".hashCode());

My output is
86390
86390

Conclusion:
If you have a SHA-1 value and you want to get the input value back you can try a brute force attack. This means that you have to generate all possible input values, hash them and compare them with the SHA-1 you have. But that will consume a lot of time and computing power. Some people created so called rainbow tables for some input sets. But these do only exist for some small input sets.
And remember that many input values map to a single target hash value. So even if you would know all mappings (which is impossible, because the input set is unbounded) you still can't say which input value it was.
","105762","<security><spring-security><sha1><sha>","13","6","3","2018-10-08 11:04:05","","0","1","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41"
"18887823","Is it possible to decrypt SHA1","Is it possible to decrypt(retain the actual string) the password which is saved in db using SHA1 algorithm.
Example:If password is ""password"" and it is stored in db as ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"",is any chance to retain the same ""password""(string) from ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"" 
","SHA1 is a cryptographic hash function, so the intention of the design was to avoid what you are trying to do.
However, breaking a SHA1 hash is technically possible. You can do so by just trying to guess what was hashed. This brute-force approach is of course not efficient, but that's pretty much the only way.
So to answer your question: yes, it is possible, but you need significant computing power. Some researchers estimate that it costs $70k - $120k.
As far as we can tell today, there is also no other way but to guess the hashed input. This is because operations such as mod eliminate information from your input. Suppose you calculate mod 5 and you get 0. What was the input? Was it 0, 5 or 500? You see, you can't really 'go back' in this case.
","105762","<security><spring-security><sha1><sha>","13","23","3","2018-10-08 11:04:05","","0","1","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41"
"18887823","Is it possible to decrypt SHA1","Is it possible to decrypt(retain the actual string) the password which is saved in db using SHA1 algorithm.
Example:If password is ""password"" and it is stored in db as ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"",is any chance to retain the same ""password""(string) from ""sha1$4fb4c$2bc693f8a86e2d87f757c382a32e3d50fc945b24"" 
","Since SHA-1 maps several byte sequences to one, you can't ""decrypt"" a hash, but in theory you can find collisions: strings that have the same hash.
It seems that breaking a single hash would cost about 2.7 million dollars worth of computer time currently, so your efforts are probably better spent somewhere else.
","105762","<security><spring-security><sha1><sha>","13","5","3","2018-10-08 11:04:05","","0","1","2681579","","2013-09-19 07:09:48","2013-09-19 06:43:22","2014-05-15 11:48:41"
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","Currently, php mysqli extension do not support new caching_sha2 authentication feature.
You have to wait until they release an update.
Check related post from mysql developers : https://mysqlserverteam.com/upgrading-to-mysql-8-0-default-authentication-plugin-considerations/
They didnt mention PDO, maybe you should try to connect with PDO.
","72949","<php><mysql><hash><sha>","54","23","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","I solve this by SQL command:
ALTER USER 'mysqlUsername'@'localhost' IDENTIFIED WITH mysql_native_password BY 'mysqlUsernamePassword';

which is referenced by https://dev.mysql.com/doc/refman/8.0/en/alter-user.html
if you are creating new user 
 CREATE USER 'jeffrey'@'localhost' IDENTIFIED WITH mysql_native_password BY 'password';

which is referenced by https://dev.mysql.com/doc/refman/8.0/en/create-user.html
this works for me 
","72949","<php><mysql><hash><sha>","54","128","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","ALTER USER 'mysqlUsername'@'localhost' IDENTIFIED WITH mysql_native_password BY 'mysqlUsernamePassword';

Remove quotes (') after ALTER USER and keep quote (') after mysql_native_password BY
It is working for me also.
","72949","<php><mysql><hash><sha>","54","12","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","It's working for me (PHP 5.6 + PDO / MySQL Server 8.0 / Windows 7 64bits)
Edit the file C:\ProgramData\MySQL\MySQL Server 8.0\my.ini: 
default_authentication_plugin=mysql_native_password

Reset MySQL service on Windows, and in the MySQL Shell...
ALTER USER my_user@'%' IDENTIFIED WITH mysql_native_password BY 'password';

","72949","<php><mysql><hash><sha>","54","2","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","I ran the following command
ALTER USER 'root' @ 'localhost' identified with mysql_native_password BY 'root123'; in the command line and finally restart MySQL in local services.
","72949","<php><mysql><hash><sha>","54","2","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","If you're on Windows and it's not possible to use caching_sha2_password at all, you can do the following:

rerun the MySQL Installer
select ""Reconfigure"" next to MySQL Server (the top item)
click ""Next"" until you get to ""Authentication Method""
change ""Use Strong Password Encryption for Authentication (RECOMMENDED)"" to ""Use Legacy Authentication Method (Retain MySQL 5.X Compatibility)
click ""Next""
enter your Root Account Password in Accounts and Roles, and click ""Check""
click ""Next""
keep clicking ""Next"" until you get to ""Apply Configuration""
click ""Execute""

The Installer will make all the configuration changes needed for you.
","72949","<php><mysql><hash><sha>","54","10","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
"50026939","php mysqli_connect: authentication method unknown to the client [caching_sha2_password]","I am using php mysqli_connect for login to a MySQL database (all on localhost)
<?php
//DEFINE ('DB_USER', 'user2');
//DEFINE ('DB_PASSWORD', 'pass2');
DEFINE ('DB_USER', 'user1');
DEFINE ('DB_PASSWORD', 'pass1');
DEFINE ('DB_HOST', '127.0.0.1');
DEFINE ('DB_NAME', 'dbname');

$dbc = mysqli_connect(DB_HOST, DB_USER, DB_PASSWORD, DB_NAME);

if(!$dbc){
    die('error connecting to database');    
}
?>

this is the mysql.user table:

MySQL Server ini File:
[mysqld]
# The default authentication plugin to be used when connecting to the server
default_authentication_plugin=caching_sha2_password
#default_authentication_plugin=mysql_native_password

with caching_sha2_password in the MySQL Server ini file, it's not possible at all to login with user1 or user2;

error: mysqli_connect(): The server requested authentication method unknown to the client [caching_sha2_password] in...

with mysql_native_password in the MySQL Server ini file, it's possible to login with user1, but with user2, same error;

how can I login using caching_sha2_password on the mySql Server?
","I tried this in Ubuntu 18.04
and is the only solution that worked for me:
ALTER USER my_user@'%' IDENTIFIED WITH mysql_native_password BY 'password';

","72949","<php><mysql><hash><sha>","54","0","11","2019-11-09 22:50:54","50027581","2","23","2370483","","2018-06-28 14:20:23","2018-04-25 16:15:32",""
