post_link,title,body_question,body_answer,viewcount,tags,score,score_answer,answercount,LastActivityDate,AcceptedAnswerId,CommentCount,FavoriteCount,LastEditorUserId,LastEditorDisplayName,LastEditDate,CreationDate,ClosedDate
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","echo will normally output a newline, which is suppressed with -n. Try this:
echo -n foobar | sha256sum

","255664","<linux><shell><sha256>","213","322","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","I believe that echo outputs a trailing newline. Try using -n as a parameter to echo to skip the newline.
","255664","<linux><shell><sha256>","213","7","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","echo produces a trailing newline character which is hashed too. try:
/bin/echo -n foobar | sha256sum 

","255664","<linux><shell><sha256>","213","8","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","echo -n works and is unlikely to ever disappear due to massive historical usage, however per recent versions of the POSIX standard, new conforming applications are ""encouraged to use printf"".
","255664","<linux><shell><sha256>","213","28","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","If the command sha256sum is not available (on mavericks for example), you can use :
echo -n ""foobar"" | shasum -a 256
","255664","<linux><shell><sha256>","213","43","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"3358420","Generating a sha256 from the Linux command line","I know the string ""foobar"" generates the SHA 256 hash c3ab8ff13720e8ad9047dd39466b3c8974e592c2fa383d4a3960714caef0c4f2 using
http://hash.online-convert.com/sha256-generator
However the command line shell:
hendry@x201 ~$ echo foobar | sha256sum 
aec070645fe53ee3b3763059376134f058cc337247c978add178b6ccdfb0019f  -

Generates a different hash. What am I missing?
","If you have installed openssl, you can use:
echo -n ""foobar"" | openssl dgst -sha256

For other algorithms you can replace -sha256 with -md4, -md5, -ripemd160, -sha, -sha1, -sha224, -sha384, -sha512 or -whirlpool.
","255664","<linux><shell><sha256>","213","90","6","2015-06-03 02:46:20","3358428","3","50","4534","","2010-07-28 23:46:38","2010-07-28 23:41:05","2014-12-12 20:42:50"
"12416249","Hashing a string with Sha256","I try to hash a string using SHA256, I'm using the following code:
using System;
using System.Security.Cryptography;
using System.Text;
 public class Hash
    {
    public static string getHashSha256(string text)
    {
        byte[] bytes = Encoding.Unicode.GetBytes(text);
        SHA256Managed hashstring = new SHA256Managed();
        byte[] hash = hashstring.ComputeHash(bytes);
        string hashString = string.Empty;
        foreach (byte x in hash)
        {
            hashString += String.Format(""{0:x2}"", x);
        }
        return hashString;
    }
}

However, this code gives significantly different results compared to my friends php, as well as online generators (such as This generator)
Does anyone know what the error is? Different bases?
","Encoding.Unicode is Microsoft's misleading name for UTF-16 (a double-wide encoding, used in the Windows world for historical reasons but not used by anyone else). http://msdn.microsoft.com/en-us/library/system.text.encoding.unicode.aspx
If you inspect your bytes array, you'll see that every second byte is 0x00 (because of the double-wide encoding).
You should be using Encoding.UTF8.GetBytes instead.
But also, you will see different results depending on whether or not you consider the terminating '\0' byte to be part of the data you're hashing. Hashing the two bytes ""Hi"" will give a different result from hashing the three bytes ""Hi"". You'll have to decide which you want to do. (Presumably you want to do whichever one your friend's PHP code is doing.)
For ASCII text, Encoding.UTF8 will definitely be suitable. If you're aiming for perfect compatibility with your friend's code, even on non-ASCII inputs, you'd better try a few test cases with non-ASCII characters such as é and 家 and see whether your results still match up. If not, you'll have to figure out what encoding your friend is really using; it might be one of the 8-bit ""code pages"" that used to be popular before the invention of Unicode. (Again, I think Windows is the main reason that anyone still needs to worry about ""code pages"".)
","230073","<c#><string><hash><sha256>","136","150","4","2019-09-23 07:00:05","12416380","1","46","3739391","","2016-08-11 03:28:46","2012-09-13 23:32:24",""
"12416249","Hashing a string with Sha256","I try to hash a string using SHA256, I'm using the following code:
using System;
using System.Security.Cryptography;
using System.Text;
 public class Hash
    {
    public static string getHashSha256(string text)
    {
        byte[] bytes = Encoding.Unicode.GetBytes(text);
        SHA256Managed hashstring = new SHA256Managed();
        byte[] hash = hashstring.ComputeHash(bytes);
        string hashString = string.Empty;
        foreach (byte x in hash)
        {
            hashString += String.Format(""{0:x2}"", x);
        }
        return hashString;
    }
}

However, this code gives significantly different results compared to my friends php, as well as online generators (such as This generator)
Does anyone know what the error is? Different bases?
","I also had this problem with another style of implementation but I forgot where I got it since it was 2 years ago.
static string sha256(string randomString)
{
    var crypt = new SHA256Managed();
    string hash = String.Empty;
    byte[] crypto = crypt.ComputeHash(Encoding.ASCII.GetBytes(randomString));
    foreach (byte theByte in crypto)
    {
        hash += theByte.ToString(""x2"");
    }
    return hash;
}

When I input something like abcdefghi2013 for some reason it gives different results and results in errors in my login module.
Then I tried modifying the code the same way as suggested by Quuxplusone and changed the encoding from ASCII to UTF8 then it finally worked!
static string sha256(string randomString)
{
    var crypt = new System.Security.Cryptography.SHA256Managed();
    var hash = new System.Text.StringBuilder();
    byte[] crypto = crypt.ComputeHash(Encoding.UTF8.GetBytes(randomString));
    foreach (byte theByte in crypto)
    {
        hash.Append(theByte.ToString(""x2""));
    }
    return hash.ToString();
}

Thanks again Quuxplusone for the wonderful and detailed answer! :)
","230073","<c#><string><hash><sha256>","136","98","4","2019-09-23 07:00:05","12416380","1","46","3739391","","2016-08-11 03:28:46","2012-09-13 23:32:24",""
"12416249","Hashing a string with Sha256","I try to hash a string using SHA256, I'm using the following code:
using System;
using System.Security.Cryptography;
using System.Text;
 public class Hash
    {
    public static string getHashSha256(string text)
    {
        byte[] bytes = Encoding.Unicode.GetBytes(text);
        SHA256Managed hashstring = new SHA256Managed();
        byte[] hash = hashstring.ComputeHash(bytes);
        string hashString = string.Empty;
        foreach (byte x in hash)
        {
            hashString += String.Format(""{0:x2}"", x);
        }
        return hashString;
    }
}

However, this code gives significantly different results compared to my friends php, as well as online generators (such as This generator)
Does anyone know what the error is? Different bases?
","In the PHP version you can send 'true' in the last parameter, but the default is 'false'. The following algorithm is equivalent to the default PHP's hash function when passing 'sha256' as the first parameter:
public static string GetSha256FromString(string strData)
    {
        var message = Encoding.ASCII.GetBytes(strData);
        SHA256Managed hashString = new SHA256Managed();
        string hex = """";

        var hashValue = hashString.ComputeHash(message);
        foreach (byte x in hashValue)
        {
            hex += String.Format(""{0:x2}"", x);
        }
        return hex;
    }

","230073","<c#><string><hash><sha256>","136","4","4","2019-09-23 07:00:05","12416380","1","46","3739391","","2016-08-11 03:28:46","2012-09-13 23:32:24",""
"12416249","Hashing a string with Sha256","I try to hash a string using SHA256, I'm using the following code:
using System;
using System.Security.Cryptography;
using System.Text;
 public class Hash
    {
    public static string getHashSha256(string text)
    {
        byte[] bytes = Encoding.Unicode.GetBytes(text);
        SHA256Managed hashstring = new SHA256Managed();
        byte[] hash = hashstring.ComputeHash(bytes);
        string hashString = string.Empty;
        foreach (byte x in hash)
        {
            hashString += String.Format(""{0:x2}"", x);
        }
        return hashString;
    }
}

However, this code gives significantly different results compared to my friends php, as well as online generators (such as This generator)
Does anyone know what the error is? Different bases?
","public string EncryptPassword(string password, string saltorusername)
        {
            using (var sha256 = SHA256.Create())
            {
                var saltedPassword = string.Format(""{0}{1}"", salt, password);
                byte[] saltedPasswordAsBytes = Encoding.UTF8.GetBytes(saltedPassword);
                return Convert.ToBase64String(sha256.ComputeHash(saltedPasswordAsBytes));
            }
        }

","230073","<c#><string><hash><sha256>","136","1","4","2019-09-23 07:00:05","12416380","1","46","3739391","","2016-08-11 03:28:46","2012-09-13 23:32:24",""
